group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp,wins_before,wins_after
launch_timeout,142,142,-13.527677774603244,-15.916453760081799,-2.388775985478557,-339.20618993795506,29,29
original_exit_retained,320,320,-24.260049044987305,-24.260049044987305,0.0,0.0,38,38
