group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp,wins_before,wins_after
launch_timeout,127,127,-33.91445205250595,-32.22807640169164,1.6863756508143128,214.16970765341773,24,13
original_exit_retained,124,124,5.775571068998916,5.775571068998916,0.0,0.0,38,38
