event_id,mother_decision_time,before,after,difference
2023-06-25T03:00:00+00:00_L,2023-06-25 04:00:00+00:00,,,
2023-06-25T11:00:00+00:00_L,2023-06-25 12:00:00+00:00,,,
2023-06-25T14:00:00+00:00_S,2023-06-25 15:00:00+00:00,,,
2023-07-02T17:00:00+00:00_S,2023-07-02 18:00:00+00:00,-0.0022919766805317896,-0.0020069486135434835,0.00028502806698830607
2023-07-10T12:00:00+00:00_S,2023-07-10 13:00:00+00:00,,,
2023-07-13T13:00:00+00:00_L,2023-07-13 14:00:00+00:00,-0.004463870989689775,-0.004463870989689775,0.0
2023-07-14T17:00:00+00:00_S,2023-07-14 18:00:00+00:00,,,
2023-07-17T22:00:00+00:00_S,2023-07-17 23:00:00+00:00,-0.0010157481818833247,-0.001124383917614158,-0.00010863573573083318
2023-07-18T02:00:00+00:00_S,2023-07-18 03:00:00+00:00,0.0040750231740511,0.0034410024870515183,-0.0006340206869995813
2023-07-19T14:00:00+00:00_S,2023-07-19 15:00:00+00:00,-0.0024302608688318017,-0.0033803557104547335,-0.0009500948416229318
2023-07-20T14:00:00+00:00_S,2023-07-20 15:00:00+00:00,,,
2023-07-23T04:00:00+00:00_L,2023-07-23 05:00:00+00:00,0.002027686462941565,0.0014074858248382207,-0.0006202006381033445
2023-07-24T02:00:00+00:00_S,2023-07-24 03:00:00+00:00,0.0008116225866312923,0.0007627290585425404,-4.889352808875192e-05
2023-07-26T02:00:00+00:00_L,2023-07-26 03:00:00+00:00,-0.00273870083276484,-0.0019445695355303123,0.0007941312972345276
2023-07-26T12:00:00+00:00_L,2023-07-26 13:00:00+00:00,0.0030732949852843396,0.0030732949852843396,0.0
2023-07-28T14:00:00+00:00_L,2023-07-28 15:00:00+00:00,-0.005204172350375809,-0.0035728675778767443,0.0016313047724990648
2023-07-30T13:00:00+00:00_S,2023-07-30 14:00:00+00:00,4.90491533055395e-05,4.90491533055395e-05,0.0
2023-08-06T12:00:00+00:00_S,2023-08-06 13:00:00+00:00,-0.00020523680865502936,-0.0001269629181023988,7.827389055263057e-05
2023-08-11T15:00:00+00:00_S,2023-08-11 16:00:00+00:00,0.0013561475861540253,0.0012392518378680308,-0.00011689574828599447
2023-08-12T01:00:00+00:00_S,2023-08-12 02:00:00+00:00,-0.0005349537691114643,0.0001890795757934678,0.0007240333449049321
2023-08-12T14:00:00+00:00_L,2023-08-12 15:00:00+00:00,,,
2023-08-13T18:00:00+00:00_L,2023-08-13 19:00:00+00:00,,,
2023-08-13T21:00:00+00:00_S,2023-08-13 22:00:00+00:00,,,
2023-08-23T10:00:00+00:00_S,2023-08-23 11:00:00+00:00,9.804092596062738e-06,9.804092596062738e-06,0.0
2023-08-24T14:00:00+00:00_S,2023-08-24 15:00:00+00:00,,,
2023-08-29T06:00:00+00:00_S,2023-08-29 07:00:00+00:00,0.001855317659725205,0.0010636947127090992,-0.0007916229470161058
