event_id,mother_decision_time,before,after,difference
2023-01-02T02:00:00+00:00_L,2023-01-02 03:00:00+00:00,0.0008031467582965152,0.0008031467582965152,0.0
2023-01-06T00:00:00+00:00_L,2023-01-06 01:00:00+00:00,-0.003791062479613359,-0.003791062479613359,0.0
2023-01-08T14:00:00+00:00_L,2023-01-08 15:00:00+00:00,-0.003397842486154377,-0.003397842486154377,0.0
2023-01-08T20:00:00+00:00_L,2023-01-08 21:00:00+00:00,0.011641801071308635,-0.0027071343967849364,-0.014348935468093571
2023-01-18T15:00:00+00:00_S,2023-01-18 16:00:00+00:00,-6.49639617366065e-05,-6.49639617366065e-05,0.0
2023-01-23T10:00:00+00:00_L,2023-01-23 11:00:00+00:00,-0.0030387524495789613,-0.0022662348715306573,0.000772517578048304
2023-01-23T20:00:00+00:00_L,2023-01-23 21:00:00+00:00,-0.007567063135359596,-0.003298402400524479,0.004268660734835117
2023-01-25T20:00:00+00:00_L,2023-01-25 21:00:00+00:00,0.001666357140677423,0.001666357140677423,0.0
2023-01-27T16:00:00+00:00_L,2023-01-27 17:00:00+00:00,-0.0008026902728310841,0.0010213700335419702,0.0018240603063730543
2023-01-28T20:00:00+00:00_S,2023-01-28 21:00:00+00:00,-0.0036851143874805353,-0.0036197998763378685,6.531451114266673e-05
2023-01-30T09:00:00+00:00_S,2023-01-30 10:00:00+00:00,-0.0014222469420048772,-0.004323947001936055,-0.002901700059931178
2023-02-05T11:00:00+00:00_S,2023-02-05 12:00:00+00:00,0.016012270779190207,0.016012270779190207,0.0
2023-02-07T09:00:00+00:00_L,2023-02-07 10:00:00+00:00,-0.003872699859656213,-0.0032991583713160005,0.0005735414883402123
2023-02-11T21:00:00+00:00_L,2023-02-11 22:00:00+00:00,-0.0022611588120481346,-0.0021557789405198795,0.00010537987152825501
2023-02-13T01:00:00+00:00_S,2023-02-13 02:00:00+00:00,-0.004289004029936814,-0.004289004029936814,0.0
2023-02-13T08:00:00+00:00_S,2023-02-13 09:00:00+00:00,0.00210622793247728,0.00210622793247728,0.0
2023-02-14T08:00:00+00:00_S,2023-02-14 09:00:00+00:00,-0.0034656876979024514,-0.0034656876979024514,0.0
2023-02-16T23:00:00+00:00_S,2023-02-17 00:00:00+00:00,-0.01696659432316272,-0.011272735010000588,0.005693859313162132
2023-02-19T17:00:00+00:00_S,2023-02-19 18:00:00+00:00,-0.008067149137750638,-0.00612139224242325,0.0019457568953273885
2023-02-20T09:00:00+00:00_L,2023-02-20 10:00:00+00:00,-0.004699651696722927,-0.0007385556059953374,0.003961096090727589
2023-02-23T02:00:00+00:00_L,2023-02-23 03:00:00+00:00,-0.006292720312761289,-0.005012649868120221,0.0012800704446410682
2023-02-23T11:00:00+00:00_S,2023-02-23 12:00:00+00:00,-0.015878374968458342,-0.0076564891916897065,0.008221885776768635
2023-02-28T19:00:00+00:00_S,2023-02-28 20:00:00+00:00,0.001309920303996794,-0.0023524850193865614,-0.0036624053233833553
2023-03-07T01:00:00+00:00_L,2023-03-07 02:00:00+00:00,-0.0034055939079068436,-0.0013060992100204488,0.002099494697886395
2023-03-11T01:00:00+00:00_L,2023-03-11 02:00:00+00:00,-0.012500485908649049,-0.006334305150631712,0.006166180758017337
2023-03-11T07:00:00+00:00_S,2023-03-11 08:00:00+00:00,-0.015457296251901063,-0.01282325211277535,0.002634044139125713
