timeframe_min,arm,month_utc,raw_signal_candidates,status_rows,skipped_in_position,trades_taken,closed_trades,censored_unclosed_trades,censored_mfe_known_n,censored_mfe_known_mean_r,censored_mfe_known_median_r,wins_net,losses_net,breakeven_net,fee_only_losses,win_rate_net,gross_win_rate,mean_net_r,median_net_r,sum_net_r_trade_units_nonportfolio,mean_gross_r,median_gross_r,sum_gross_r_trade_units_nonportfolio,mean_net_bp,median_net_bp,mean_gross_bp,median_gross_bp,profit_factor_net_r,profit_factor_gross_r,mean_cost_r,median_cost_r,sum_cost_r_trade_units_nonportfolio,fixed_round_trip_cost_bp,mfe_known_n,mfe_known_mean_r,mfe_known_median_r,mfe_known_q25_r,mfe_known_q75_r,mfe_known_q90_r,mfe_known_max_r,mfe_upper_mean_r,stop_bar_excursion_ambiguous_n,net_floating_profit_then_loss_n,net_floating_profit_n,mean_holding_hours,median_holding_hours,mfe_ge_0p5r_n,mfe_ge_0p5r_then_net_loss_n,mfe_ge_1r_n,mfe_ge_1r_then_net_loss_n,mfe_ge_2r_n,mfe_ge_2r_then_net_loss_n,mfe_ge_3r_n,mfe_ge_3r_then_net_loss_n,mfe_ge_5r_n,mfe_ge_5r_then_net_loss_n,mfe_ge_10r_n,mfe_ge_10r_then_net_loss_n,best_net_return_bp,mean_net_bp_ex_best_price_return,mean_net_r_ex_best_price_return,sum_net_r_ex_best_price_return,top_1pct_price_return_removed_n,mean_net_bp_ex_top_1pct_price_returns,mean_net_r_ex_top_1pct_price_returns,sum_net_r_ex_top_1pct_price_returns
5,v9_both,2026-07,2213,2213,340,1873,1873,0,0,,,405,1468,0,38,0.21623064602242392,0.23224773091297385,-0.46100421678149506,-1.16707692307692,-863.4608980317403,-0.18842936527400764,-0.999999999999996,-352.9282011582163,-39.88611383156472,-83.55932203389901,-19.88611383156473,-63.559322033899,0.5057583143496537,0.7367741824084386,0.2725748515074901,0.22950943396226628,510.532696873529,20.0,1873,1.6249833352624012,0.7647058823529148,0.2608695652173834,2.000000000000029,3.9168821839080716,61.062500000001855,1.631835309821457,27,1002,1407,4.055748353799608,2.25,1137,732,813,408,474,84,296,12,122,2,29,1,2318.385400556755,-41.145874255917455,-0.4786588316315963,-896.0493328143482,19,-53.4812917841176,-0.5598482244376983,-1037.9586081074926
5,v9_both,2026-08,10110,10110,1672,8438,8438,0,0,,,2088,6350,0,212,0.2474520028442759,0.2697321640199099,-0.35897230198273666,-1.1313974160206701,-3029.008284130332,-0.08200123394867984,-0.9999999999999946,-691.9264120589604,-33.039370124385115,-79.7593319085295,-13.039370124385124,-59.759331908529504,0.5911793119437381,0.8776412060385279,0.2769710680340622,0.21743303571428574,2337.081872071417,20.0,8438,1.7492791141266897,0.8833333333333329,0.28571428571428464,2.3126021241830057,4.077324414715736,163.03030303030795,1.7564524719873547,113,4464,6552,4.393319902030497,2.75,5434,3346,3975,1894,2455,453,1465,87,565,9,122,1,9596.529304029307,-34.18071997316474,-0.37407033728167444,-3156.0314356454874,85,-50.385272388227484,-0.46085989854605547,-3849.5627325552014
5,v9_both,2026-09,7417,7417,1172,6245,6219,26,26,1.2363994561030909,1.1174242424242418,1783,4436,0,123,0.28670204212895967,0.3042289757195691,-0.1857025428826612,-1.1219512195121957,-1154.88411418727,0.045042065691804786,-0.9999999999999944,280.11660653733395,-20.73881958058539,-87.71397616468101,-0.738819580585395,-67.713976164681,0.771228805573595,1.0695343483081041,0.23074460857446957,0.19823255813953944,1435.0007207246263,20.0,6219,1.908495936055478,0.98360655737706,0.2999999999999956,2.555555555555565,4.56375661375661,49.94444444444533,1.916205774113937,101,3205,4988,4.558423111968699,2.6666666666666665,4068,2285,3081,1306,2058,358,1246,55,527,4,113,1,8461.203954410932,-22.102914590876725,-0.18669887623003556,-1160.893612398361,63,-36.14502379468001,-0.2731847301603554,-1681.7251988671476
5,joint,2026-07,712,712,0,712,712,0,0,,,157,555,0,11,0.2205056179775281,0.23595505617977527,-0.4087361080709824,-1.155315602836882,-291.02010894653944,-0.1547712570185608,-0.999999999999997,-110.19713499721529,-43.0722030338334,-92.169598856267,-23.0722030338334,-72.1695988562665,0.5563872840542539,0.785892098532465,0.25396485105242456,0.2080300000000032,180.8229739493263,20.0,712,1.7647957295315782,0.6961538461538468,0.21709753231492576,1.9491101223581508,4.2458377205577555,54.565217391303264,1.7752982774035109,10,359,516,3.6809456928838946,1.9166666666666667,407,250,298,141,175,24,119,3,56,0,16,0,2318.385400556755,-46.39352174493126,-0.45514563112397677,-323.60854372914747,8,-58.94322502976195,-0.5305299879768703,-373.4931115357167
5,joint,2026-08,3378,3378,1,3377,3377,0,0,,,888,2489,0,65,0.26295528575658866,0.28013029315960913,-0.23534515858214397,-1.1321212121212123,-794.7606005319002,0.03490421011986659,-0.9999999999999968,117.87151757478946,-20.223986485523103,-82.885475873745,-0.22398648552310566,-62.885475873745,0.7305082330331144,1.0519841320274714,0.2702493687020144,0.21098701298701697,912.6321181067025,20.0,3377,1.9780737173164022,0.9302325581395376,0.2727272727272765,2.4920634920635005,4.593478260869573,163.03030303030795,1.9861665905086838,58,1737,2625,3.9121755009377157,2.3333333333333335,2154,1266,1634,747,1049,180,667,27,295,2,77,0,9596.529304029307,-23.072550848827255,-0.2730402109144122,-921.7837520470556,34,-43.542434443750956,-0.3642848445340491,-1217.8042352773261
5,joint,2026-09,2785,2785,4,2781,2772,9,9,1.5396298004768108,1.2857142857142716,873,1899,0,61,0.31493506493506496,0.3347763347763348,0.001866640437537146,-1.1082140540540553,5.174327292852968,0.23268454295999713,-0.9999999999999958,645.001553085112,-4.511102773548004,-82.9734585609885,15.488897226451991,-62.973458560988504,1.0024059195211354,1.3765599470850607,0.23081790252246168,0.20323157894737026,639.8272257922638,20.0,2772,2.191036064521167,1.093671679198003,0.31758373205741486,2.811615566037793,5.123611111111126,68.80000000000148,2.195357294198662,34,1370,2243,4.633597883597883,2.75,1852,979,1443,572,1007,169,648,28,293,2,79,1,4309.866048043105,-6.068077566336402,-0.004772973341346908,-13.225909128872283,28,-20.82391017512657,-0.10225644446562732,-280.59168361368137
15,v9_both,2026-07,585,585,79,506,506,0,0,,,174,332,0,9,0.3438735177865613,0.3577075098814229,0.012587815682603577,-1.0534797290145033,6.36943473539741,0.14509472487093633,-0.9999999999999957,73.41793078469378,-9.280973050015573,-118.558756703293,10.719026949984434,-98.558756703293,1.0184441747646669,1.2426288891759747,0.13250690918833322,0.11771446078431491,67.0484960492966,20.0,506,2.0081496951123294,1.1210456210456212,0.2955882352941125,2.854516685845796,5.114467253176883,12.133333333333258,2.012875449905173,11,264,438,14.611660079051383,10.0,345,171,268,94,189,23,120,3,53,2,6,1,3700.826519994056,-16.627720560993936,0.0020564378545618192,1.0385011165537188,6,-36.0851422012792,-0.038467070267807026,-19.233535133903512
15,v9_both,2026-08,4053,4053,682,3371,3369,2,2,5.652310924369722,5.652310924369722,819,2550,0,44,0.24309884238646481,0.25437815375482337,-0.13679591184906445,-1.079076923076922,-460.86542701949816,0.0039831212008231255,-0.9999999999999974,13.419135325573109,-31.889376682451555,-139.500271591527,-11.889376682451543,-119.500271591527,0.8258255613320706,1.0058587850030005,0.14077903304988829,0.11704347826087003,474.2845623450736,20.0,3369,1.9570741384578525,0.91150442477877,0.318181818181826,2.249999999999998,4.164934006843758,122.97142857142843,1.965746485882079,60,2144,2963,13.909097655090532,8.0,2191,1372,1590,772,946,178,572,35,244,8,70,0,17365.884509624204,-37.0549865061768,-0.16017823093565398,-539.4802817912826,34,-71.60382441323401,-0.3531986815244992,-1177.9176028842048
15,v9_both,2026-09,2467,2467,393,2074,2060,14,14,1.0805315672047375,1.0376801175257084,627,1433,0,17,0.30436893203883497,0.3106796116504854,0.021001470556892735,-1.0688774558774565,43.26302934719903,0.13988786912261905,-0.9999999999999972,288.1690103925952,-5.741395218667051,-146.13194914639752,14.258604781332956,-126.13194914639749,1.0290957393028355,1.2186886391577403,0.11888639856572668,0.10831372549019658,244.90598104539697,20.0,2060,2.0143292648537945,0.9553016824296885,0.27422390109889805,2.7081996434937485,5.091123476417574,28.260869565217774,2.0233265060867303,36,1168,1795,14.674029126213592,8.75,1305,678,1010,386,673,75,460,12,215,0,51,0,3784.4308632543934,-7.582178248522837,0.01566514835274895,32.25454045831008,21,-28.081248928137384,-0.04579709873477755,-93.38028432021143
15,joint,2026-07,232,232,0,232,232,0,0,,,61,171,0,5,0.2629310344827586,0.2801724137931034,-0.2520553677737829,-1.0754591836734693,-58.47684532351764,-0.11890402953189019,-0.9999999999999982,-27.585734851398524,-23.974983211550093,-138.83553951373602,-3.974983211550078,-118.835539513736,0.6727043920917366,0.8227715258650533,0.1331513382418932,0.1169349489795929,30.891110472119223,20.0,232,1.8900576710406434,0.8913533834586466,0.27185314685315204,2.490903646028306,4.721025901472865,13.571428571428552,1.8939104261442163,4,135,196,12.558189655172415,8.625,148,87,110,49,72,13,44,2,22,1,7,1,3700.826519994056,-40.099665043608994,-0.27622415126563343,-63.807778942361324,3,-61.72471322960716,-0.3303958288634384,-75.66064480972739
