timeframe_min,arm,utc_week,matched_n,target_mean_net_bp,control_mean_net_bp,excess_mean_net_bp,excess_sum_bp
5,v9_both,2026-W30,379,-22.69499580404611,-29.427240085284982,6.732244281238872,2551.5205825895323
5,v9_both,2026-W31,1896,-40.08499518376069,-27.04201128542834,-13.042983898332361,-24729.497471238155
5,v9_both,2026-W32,2170,-27.86961529711087,-17.165292859197336,-10.70432243791353,-23228.379690272362
5,v9_both,2026-W33,1895,-29.07924124730948,-23.411234307429044,-5.668006939880433,-10740.873151073421
5,v9_both,2026-W34,1308,0.7304834875357682,-13.73089803323583,14.4613815207716,18915.487029169253
5,v9_both,2026-W35,2540,-58.70862604030085,-25.94018964625775,-32.7684363940431,-83231.82844086947
5,v9_both,2026-W36,1752,-16.03279477211485,-16.78645774545923,0.7536629733443823,1320.4175292993577
5,v9_both,2026-W37,1828,-32.82103892417757,-29.58166053643535,-3.2393783877422253,-5921.583692792788
5,v9_both,2026-W38,1663,-5.130551646645378,-28.976982781694364,23.846431135048984,39656.61497758646
5,v9_both,2026-W39,1037,-34.11071117271737,-9.330702508496445,-24.780008664220922,-25696.868984797096
5,joint,2026-W30,130,-11.402537201823577,-13.352443790182464,1.9499065883588844,253.48785648665498
5,joint,2026-W31,745,-44.65465639450263,-29.25314868740613,-15.401507707096503,-11474.123241786894
5,joint,2026-W32,921,-1.6622101812727568,-24.02697968791433,22.36476950664157,20597.952715616884
5,joint,2026-W33,662,-42.723337266827926,-14.053130275606978,-28.670206991220947,-18979.677028188267
5,joint,2026-W34,594,27.93542378412473,20.561180035895376,7.37424374822935,4380.300786448234
5,joint,2026-W35,987,-48.742716707494196,-28.22546541290283,-20.517251294591368,-20250.52702776168
5,joint,2026-W36,884,10.331106518110948,7.98701101556196,2.34409550254899,2072.180424253307
5,joint,2026-W37,650,-45.45264469252353,-41.1432218875858,-4.309422804937724,-2801.124823209521
5,joint,2026-W38,795,19.817834761081375,-18.27092227734251,38.08875703842389,30280.561845546992
5,joint,2026-W39,477,-21.525512510708598,-31.642042524128534,10.116530013419943,4825.584816401313
15,v9_both,2026-W30,58,-6.343253954635011,-21.520340237551803,15.177086282916802,880.2710044091746
15,v9_both,2026-W31,630,-16.24273491055698,-16.945748902587606,0.7030139920306211,442.8988149792913
15,v9_both,2026-W32,805,-17.51771733655163,-7.422171488399231,-10.095545848152398,-8126.914407762681
15,v9_both,2026-W33,594,0.24598933611728338,50.08928835015123,-49.84329901403393,-29606.919614336155
15,v9_both,2026-W34,509,82.0409765325529,66.48583679739812,15.555139735154809,7917.566125193797
15,v9_both,2026-W35,1211,-104.37771140773259,-48.960160641164464,-55.41755076656813,-67110.653978314
15,v9_both,2026-W36,552,-2.826888024334281,-6.454765268101523,3.627877243767234,2002.5882385595132
15,v9_both,2026-W37,702,-9.355759051975644,-12.141040924986239,2.785281873010593,1955.2678748534363
15,v9_both,2026-W38,526,26.169061455027702,12.093566389927641,14.075495065100059,7403.710404242631
15,v9_both,2026-W39,297,-61.45463777578833,-47.42589622640863,-14.028741549379697,-4166.53624016577
15,joint,2026-W30,36,64.08955605110833,-44.03739430071721,108.12695035182554,3892.5702126657193
15,joint,2026-W31,287,-19.080537749786522,-42.88804718234434,23.807509432557804,6832.75520714409
15,joint,2026-W32,431,18.696520622566823,35.758630558428976,-17.062109935862143,-7353.769382356583
15,joint,2026-W33,270,30.843680683966106,-35.951242350303204,66.7949230342693,18034.62921925271
15,joint,2026-W34,252,196.43109120855806,146.1127656303455,50.31832557821252,12680.218045709556
15,joint,2026-W35,514,-97.41413451070714,-43.69381832432397,-53.72031618638316,-27612.242519800944
15,joint,2026-W36,314,73.58637110084867,24.238412987820436,49.34795811302823,15495.258847490863
15,joint,2026-W37,271,-129.0674019300685,-37.96071817793476,-91.10668375213373,-24689.911296828242
15,joint,2026-W38,234,46.7551323246236,61.666766502077394,-14.911634177453791,-3489.322397524187
15,joint,2026-W39,177,-31.39488725288366,-32.76648428423601,1.37159703135234,242.77267454936418
60,v9_both,2026-W30,29,-134.86187819483538,28.22174427097764,-163.08362246581302,-4729.425051508578
60,v9_both,2026-W31,149,118.08872897928569,68.82696045383416,49.26176852545153,7340.003510292278
60,v9_both,2026-W32,193,85.71607975954613,184.57942041867972,-98.8633406591336,-19080.624747212783
