arm,fold,month,n,known,mean_net_bp
baseline,2023H1,2023-01,11,11,-6.853867436474158
baseline,2023H1,2023-02,12,12,-46.997949678480964
baseline,2023H1,2023-03,5,5,-21.961494626615004
baseline,2023H1,2023-04,12,12,-0.18134652636915954
baseline,2023H1,2023-05,6,6,18.339640890728536
baseline,2023H1,2023-06,9,9,-3.2239747626466397
baseline,2023H2,2023-07,14,14,-23.12324225287034
baseline,2023H2,2023-08,10,10,-7.892107324208196
baseline,2023H2,2023-09,11,11,-36.545699975564446
baseline,2023H2,2023-10,9,9,-41.27700687298107
baseline,2023H2,2023-11,10,10,-28.444189569318905
baseline,2023H2,2023-12,12,12,-16.254883381274073
baseline,2024H1,2024-01,10,10,3.5631354990785096
baseline,2024H1,2024-02,9,9,-39.28815246723076
baseline,2024H1,2024-03,10,10,22.461988846900056
baseline,2024H1,2024-04,9,9,-37.63339222867482
baseline,2024H1,2024-05,11,11,-39.07082454362893
baseline,2024H1,2024-06,6,6,-31.303703644808696
baseline,2024H2,2024-07,10,10,-7.604763661919816
baseline,2024H2,2024-08,12,12,34.18078818900987
baseline,2024H2,2024-09,9,9,-5.5269630560138845
baseline,2024H2,2024-10,16,16,-51.94173260149271
baseline,2024H2,2024-11,16,16,-22.4801349426747
baseline,2024H2,2024-12,12,12,6.080554075391359
candidate,2023H1,2023-01,11,11,-0.38833255260224925
candidate,2023H1,2023-02,12,12,-44.75953240873152
candidate,2023H1,2023-03,5,5,-34.525969475416794
candidate,2023H1,2023-04,12,12,-9.109682085644858
candidate,2023H1,2023-05,6,6,33.026151402974975
candidate,2023H1,2023-06,9,9,-10.168812959964862
candidate,2023H2,2023-07,14,14,-13.398879757934417
candidate,2023H2,2023-08,10,10,-11.987222987574109
candidate,2023H2,2023-09,11,11,-34.62643613036966
candidate,2023H2,2023-10,9,9,-46.367987067939644
candidate,2023H2,2023-11,10,10,-17.094042187164913
candidate,2023H2,2023-12,12,12,-9.099222634371866
candidate,2024H1,2024-01,10,10,1.3760857882444897
candidate,2024H1,2024-02,9,9,-47.56214498370664
candidate,2024H1,2024-03,10,10,17.210354692647282
candidate,2024H1,2024-04,9,9,-53.15037212385588
candidate,2024H1,2024-05,11,11,-36.671686533199214
candidate,2024H1,2024-06,6,6,-36.647323613285124
candidate,2024H2,2024-07,10,10,-15.163193894476601
candidate,2024H2,2024-08,12,12,44.38619525516957
candidate,2024H2,2024-09,9,9,1.3095740367602358
candidate,2024H2,2024-10,16,16,-45.880255604516286
candidate,2024H2,2024-11,16,16,-23.195636598184088
candidate,2024H2,2024-12,12,12,4.759401295229131
