group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp
loss_to_loss,382,382,-43.845960611057535,-49.4128011558931,-5.566840544835557,-2126.533088127183
loss_to_win,15,15,-31.754367311227984,69.4983976084243,101.25276491965228,1518.7914737947842
win_to_win,65,65,108.54400509862243,108.54400509862243,0.0,0.0
