group,n,known,old_mean_net_bp,new_mean_net_bp,mean_delta_bp,sum_delta_event_bp
loss_to_loss,180,180,-55.01421762295346,-61.12591948330941,-6.111701860355945,-1100.10633486407
loss_to_win,16,16,-25.582241762046092,49.887017121779316,75.4692588838254,1207.5081421412065
win_to_win,55,55,110.9609962266239,110.9609962266239,0.0,0.0
