step,factor,value,grid_index,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H2_events,2024H1_events,2024H2_events,2023H1_mean_net_bp,2023H2_mean_net_bp,2024H1_mean_net_bp,2024H2_mean_net_bp
1,ma_reference,SMA20,0,2018,-2.624129056549967,-22.62412905654997,-61.8472349936938,0.2859266600594648,0.606256831823469,-0.9998907046163259,-0.9998907046163259,15.0,137.33375596202444,420.25429242818603,0.4953442947639835,501,True,-23.0504505453028,-25.424801224040678,508,504,501,505,-20.911124145682617,-25.424801224040678,-20.865064174688023,-23.29731564688293
1,ma_reference,EMA20,1,2230,0.6414745013184062,-19.3585254986816,-60.89716648400466,0.30448430493273543,0.6584725379932491,-0.9998523676447724,-0.9998523676447724,16.0,142.2751891401497,640.1866248614141,0.5240317792116896,547,True,-19.39000095170199,-24.00378826557185,547,573,557,553,-17.373441518746993,-17.572688469680394,-24.00378826557185,-18.493632539339917
1,ma_reference,SMA30,2,1791,-1.1766756163640366,-21.176675616364044,-61.13705240009313,0.2953657174762702,0.6258235735363202,-0.9995574778721932,-0.9995658692912813,16.0,138.5927197444681,619.9507309172692,0.5040187850305882,441,True,-24.59898959440491,-26.469622232602248,441,457,451,442,-23.196247322782835,-21.28912595263431,-26.469622232602248,-13.644685005211048
1,ma_reference,EMA30,3,2038,-2.735126775404975,-22.735126775404982,-61.17801933832821,0.2885181550539745,0.6027819304015084,-0.9999040673334159,-0.9999107868910947,16.0,136.91095767472248,404.05586359967606,0.5172528322206624,497,True,-23.290954362141143,-27.636297074493413,497,524,510,507,-22.53927576451613,-21.047935564932423,-27.636297074493413,-19.74070723726748
1,ma_reference,SMA40,4,1639,-0.18161002964723946,-20.18161002964725,-59.69184715349794,0.2946918852959121,0.6327050849462831,-0.9993216698642701,-0.9993606020508811,16.0,135.43807926343823,612.5950055918761,0.5199334631660824,402,True,-22.41585420258611,-28.50815550181686,402,424,408,405,-16.920226139101953,-22.103001301548506,-28.50815550181686,-13.019081318703723
1,ma_reference,EMA40,5,1885,0.6199147716244737,-19.380085228375535,-60.28001380790736,0.29602122015915117,0.6518952331148108,-0.9997009731095843,-0.999720296893916,17.0,142.66747910285113,640.1866248614141,0.523256494182762,461,True,-19.95972263834106,-21.487128684694987,461,486,469,469,-17.51441545670792,-21.487128684694987,-18.454317214121236,-19.95628105705951
1,ma_reference,SMA60,6,1391,4.513177410953961,-15.486822589046046,-56.22323524314686,0.3141624730409777,0.7059947792061558,-0.9950067939337335,-0.9953154305323181,16.0,138.50099005464858,421.39461268997036,0.5213012577399877,340,True,-16.169681866505446,-23.858232448661603,340,369,342,340,-10.867732415338791,-15.669661148708565,-23.858232448661603,-11.486825702447451
1,ma_reference,EMA60,7,1605,2.0660276185795405,-17.933972381420467,-58.872610577225245,0.29657320872274145,0.667217924154667,-0.9992580467096546,-0.9993290315184642,16.0,138.32606627592193,619.9507309172692,0.5196880788056921,384,True,-23.023351094607523,-22.482647073597427,384,428,394,399,-22.482647073597427,-21.52971177338838,-19.011422665463634,-8.6352682373823
1,ma_reference,SMA80,8,1208,-2.3635060370661174,-22.36350603706612,-58.731525872844344,0.28725165562913907,0.5940981281290666,-0.9973051737063243,-0.9973616176353427,15.0,126.25102689055556,435.9562151094454,0.5301898947345403,288,True,-24.02367704895532,-38.42608955995624,301,325,294,288,-13.08461279744352,-23.898533135239024,-38.42608955995624,-13.931782087380407
1,ma_reference,EMA80,9,1426,-0.8795760496411018,-20.87957604964111,-60.20283714860684,0.27980364656381485,0.6221292909720668,-0.999269660972926,-0.9992849056542649,16.0,133.93860776619695,619.9507309172692,0.5281534954522042,343,True,-26.49598196326963,-31.318304363413603,343,384,349,350,-20.621232311636692,-23.778778414156484,-31.318304363413603,-7.5430103715125645
1,ma_reference,SMA120,10,1025,2.8602958148646107,-17.139704185135397,-56.76330715337017,0.30341463414634146,0.677895414168532,-0.9905497004822598,-0.9912237646719763,15.0,135.30862251725713,484.0862919143629,0.5146072402704623,238,True,-17.902327875626025,-22.73236391266529,238,286,253,248,-22.73236391266529,-15.763827153633793,-16.706999208972483,-13.800680696532817
1,ma_reference,EMA120,11,1215,2.0769575850039237,-17.92304241499608,-58.32793724125927,0.302880658436214,0.6685373253684743,-0.9946386216530819,-0.995191733896619,16.0,140.81278560283747,599.1930598592388,0.5304690612681713,287,True,-20.63972269826252,-25.268601696872366,295,325,308,287,-17.047151673159362,-25.268601696872366,-18.68834612892299,-9.68390463918616
