period,months,valid_bootstrap_draws,shared_months,win_rate_delta,win_rate_ci_low,win_rate_ci_high,win_rate_monthly_signflip_p,gt10_rate_delta,gt10_rate_ci_low,gt10_rate_ci_high,gt10_rate_monthly_signflip_p
full,25,2000,21,0.040047961630695406,0.002835404822113445,0.08456927126621343,0.125,0.009360221244117077,0.0003027417743750321,0.020859858192123083,0.1004
earlier,13,2000,9,0.06519223064108237,-0.017282473390262416,0.15238461715515716,0.078125,0.007857602847164436,-0.003422134427472506,0.022333046279041736,0.16015625
later,13,2000,13,0.016471994866571138,-0.02448788215525054,0.05273416630616192,0.58251953125,0.008996431938135834,-0.0030498633403801536,0.025727746741471606,0.42431640625
crossing,2,1511,1,0.12281968001924692,0.09228336495888678,0.12281968001924692,,0.034885119692048605,0.03314358001265023,0.034885119692048605,
