dimension,group,arm,period,events,closed,censored,assets,gt5,gt10,gt20,gt10_rate,recorded_mfe_gt10,total_r,gross_r,mean_r,mean_gross_bp,mean_net_bp,total_nominal_return,win_rate,pf_r,event_drawdown_r,total_r_ex_top5,matched_pairs,unmatched,control_mean_r,paired_target_mean_r,paired_excess_r,paired_excess_bp,control_gt10,paired_target_gt10,random_p,random_blocks
venue,gate,baseline,crossing,20,20,0,20,1,0,0,0.0,1,10.990670121985996,11.808362589715143,0.5495335060992999,119.16005748720869,99.1600574872087,0.1983201149744174,0.5,2.2697854618597515,5.584492080625389,-6.319872490422224,20,0,1.337060314013773,0.5495335060992999,-0.7875268079144732,-372.551267550821,0,0,1.0,2
venue,gate,high_r_entry_v21,full,209,208,1,126,12,1,0,0.004807692307692308,14,19.220558786390992,39.85216939041849,0.09240653262687977,60.43938341881801,40.439383418818025,0.8411391751114149,0.3269230769230769,1.1182601681015216,69.19438862346128,-28.6895540860496,207,2,0.574123400410895,0.09823625574993787,-0.4758871446609573,-89.67489169244986,5,1,0.9982,18
venue,gate,high_r_entry_v21,earlier,28,28,0,23,5,0,0,0.0,5,41.62405068392907,43.32438520536225,1.4865732387117525,542.9596939495318,522.9596939495318,1.464287143058689,0.4642857142857143,3.7170562995859746,11.645583236528264,8.688965212559538,28,0,2.638333527605115,1.4865732387117525,-1.151760288893362,-265.39323025860153,1,0,0.890625,6
venue,gate,high_r_entry_v21,later,175,174,1,116,7,1,0,0.005747126436781609,9,-23.348588350221732,-4.808513899399372,-0.1341872893690904,-17.245833494488828,-37.245833494488835,-0.6480775028041057,0.29310344827586204,0.839845485063554,69.07937519518673,-67.90709720221918,173,2,0.23839686007833608,-0.12852163119292248,-0.36691849127125875,-60.59422759245859,4,1,0.992431640625,12
venue,gate,high_r_entry_v21,crossing,6,6,0,6,0,0,0,0.0,0,0.9450964526836578,1.336298084455616,0.1575160754472763,61.54922476138583,41.54922476138583,0.024929534856831498,0.6666666666666666,1.665410243616329,1.4203214659685852,-1.0503999999999993,6,0,0.6212580530933233,0.15751607544727628,-0.46374197764604697,-108.14845993349002,0,0,,1
venue,okx,baseline,full,13761,13698,63,426,427,114,32,0.008322382829610162,334,620.0359990926461,1745.043060157876,0.04526471011042824,28.524815469678224,8.524815469678204,11.677292230365204,0.29989779529858374,1.0654068029235486,1806.6527704084165,322.30110151152877,13681,80,-0.059529265983788576,0.044515159347898375,0.10404442533168695,16.252381211888633,114,113,0.0481,25
venue,okx,baseline,earlier,4808,4808,0,183,200,43,11,0.00894342762063228,129,1253.9795882060391,1578.2342244506328,0.26081106243886004,107.11624503473774,87.11624503473774,41.88549061270191,0.34629783693843597,1.4106919050241942,729.0624464199734,1056.3269736130073,4772,36,0.026407370867279914,0.268191031739623,0.24178366087234307,62.08728736370876,39,43,0.0703125,13
venue,okx,baseline,later,8847,8784,63,426,216,67,20,0.007627504553734062,195,-888.8866756579541,-96.10107386760156,-0.10119383830350115,-21.655614907825253,-41.65561490782525,-36.59029213503371,0.26821493624772313,0.8613400486261078,1821.4737872884643,-1151.2854417299163,8768,79,-0.13640176170714347,-0.10263208048275399,0.0337696812243895,-6.7609387505970036,69,66,0.2252197265625,13
venue,okx,baseline,crossing,106,106,0,88,11,4,1,0.03773584905660377,10,254.9430865445609,262.90990957484513,2.405123457967556,622.0843162921718,602.0843162921718,6.382093752697021,0.8207547169811321,17.13388502163866,3.057111512842482,178.3402135616654,106,0,1.6427384336298836,2.405123457967556,0.7623850243376723,157.04055140095633,5,4,0.5,2
venue,okx,high_r_entry_v21,full,2203,2191,12,322,114,39,15,0.017800091282519397,103,630.5796052382558,1037.2049769608902,0.2878044752342564,64.5302482193995,44.53024821939948,9.756577384870427,0.3254221816522136,1.3763762719628947,253.44533658605792,428.7086531043411,2187,16,-0.06334605344868369,0.2906163890876919,0.3539624425363756,47.67256113758639,26,39,0.005,21
venue,okx,high_r_entry_v21,earlier,625,625,0,140,46,10,3,0.016,36,427.18922626522044,513.1493020672158,0.6835027620243527,123.90174819288882,103.90174819288882,6.493859262055551,0.4144,2.0801981753018537,96.34670309290146,293.24497299525785,618,7,0.07381562181008133,0.7016173305034594,0.6278017086933781,87.49553264476235,7,10,0.025390625,9
venue,okx,high_r_entry_v21,later,1542,1530,12,314,62,27,12,0.01764705882352941,62,104.90371565386853,421.8818181644586,0.06856452003520819,30.05617291730882,10.056172917308821,1.5385944563482497,0.2751633986928105,1.082142658148889,261.46515668720406,-67.97318588452411,1526,16,-0.18914133431177219,0.07201975973158259,0.2611610940433548,35.24772598324437,15,27,0.0826416015625,13
venue,okx,high_r_entry_v21,crossing,36,36,0,35,6,2,0,0.05555555555555555,5,98.48666331916681,102.17385672921594,2.7357406477546338,498.92324068517473,478.9232406851746,1.7241236664666286,0.9166666666666666,35.77647287058852,2.8319911477411495,52.66653258463359,36,0,1.9914820181756252,2.7357406477546338,0.7442586295790081,98.42028934239019,3,2,,1
