period,metric,delta,blocks,p,total_ci_low,total_ci_high
full,gt10,-271.0,25,1.0,-363.0,-186.97500000000014
full,net_r,-52.36584313579726,25,0.5098,-7139.327742462079,6371.749240960168
full,net_return,14.13590823252004,25,0.4685,-310.0409898572883,304.5320490996991
earlier,gt10,-114.0,13,1.0,-180.0,-53.0
earlier,net_r,-2258.2870026559413,13,0.7685546875,-7986.95385436722,2603.159925842564
earlier,net_return,-88.51030164738364,13,0.7347412109375,-369.12359826290333,144.82737495205933
later,gt10,-153.0,13,1.0,-234.025,-98.0
later,net_r,2597.3402360091786,13,0.11962890625,-1972.3169976418712,6065.020881378036
later,net_return,113.91571451160934,13,0.1048583984375,-69.59596081368011,266.17339041862334
crossing,gt10,-4.0,2,1.0,-8.0,0.0
crossing,net_r,-391.4190764890344,2,0.75,-797.0539734676049,14.215820489536053
crossing,net_return,-11.269504631705686,2,0.75,-24.42761577820537,1.8886065147939972
