period,feature,eligible,unknown,auc_gt10,top_decile_n,events,closed,censored,assets,gt5,gt10,gt20,gt10_rate,recorded_mfe_gt10,total_r,gross_r,mean_r,mean_gross_bp,mean_net_bp,total_nominal_return,win_rate,pf_r,event_drawdown_r,total_r_ex_top5,matched_pairs,unmatched,control_mean_r,paired_target_mean_r,paired_excess_r,paired_excess_bp,control_gt10,paired_target_gt10,random_p,random_blocks
full,negative_reference_risk_fraction,41700,0,0.6078982288531685,4170,4170,4170,0,611,212,86,32,0.02062350119904077,208,1130.121753898948,1911.3314714994067,0.271012411006942,57.68135819430676,37.68135819430676,15.713126367025918,0.3112709832134293,1.3483735732193884,541.3461423188763,878.4070153752616,4166,4,-0.1042611312510647,0.2724821577108623,0.376743288961927,52.25516377437963,45,86,0.0029,25
full,volume_ratio,41700,0,0.4765433746026738,4170,4170,4170,0,744,98,27,6,0.006474820143884892,89,-241.13451288224806,5.346965242318419,-0.0578260222739204,-26.051064649460763,-46.051064649460756,-19.203293958825135,0.2875299760191847,0.9129245182941127,636.6033497581489,-388.6822125466353,4162,8,-0.039916966558977196,-0.05774765399315891,-0.01783068743418173,-50.03353668952032,47,27,0.6394,25
earlier,negative_reference_risk_fraction,15807,0,0.5859103365571751,1581,1581,1581,0,349,114,26,4,0.01644528779253637,85,888.7846876072881,1133.1622438393676,0.5621661528192841,104.6889259318944,84.68892593189443,13.389319189832507,0.3953194180898166,1.8460382375354403,271.90598935894684,730.6333723433124,1561,20,-0.049601530000898654,0.5754515431020887,0.6250530731029873,98.27811660201057,14,26,0.020751953125,13
earlier,volume_ratio,15807,0,0.4260916000220424,1581,1581,1581,0,434,28,4,1,0.002530044275774826,23,-63.79654063682702,14.66164503998779,-0.040352018113110066,-21.83277430484015,-41.832774304840164,-6.61376161759523,0.29411764705882354,0.9354199205222136,230.90873423305945,-139.76809929341618,1569,12,-0.10313629364157467,-0.035870711841087505,0.06726558180048714,-13.299916737143294,10,4,0.2393798828125,13
later,negative_reference_risk_fraction,25567,0,0.6186788845758755,2557,2557,2557,0,534,104,49,25,0.019163081736409855,119,374.2500643133545,901.1243773371741,0.14636295045496853,40.266511685086236,20.266511685086233,5.1821470378765495,0.2835353930387172,1.1783158346420104,495.81430038458257,138.5625975986665,2553,4,-0.12131452709958597,0.14856599272928256,0.2698805198288686,34.90361262524151,29,49,0.10986328125,13
later,volume_ratio,25567,0,0.5177118368741983,2557,2557,2557,0,674,68,22,4,0.008603832616347283,65,-134.36729088048313,27.46420959963777,-0.052548803629441976,-40.52221468386628,-60.522214683866295,-15.475530294664612,0.28822839264763395,0.9228807897532881,420.040406878539,-260.9309904824091,2549,8,-0.0185017943090632,-0.05240428164682719,-0.03390248733776397,-52.27452868645797,36,22,0.71484375,13
crossing,negative_reference_risk_fraction,326,0,0.7858585858585858,33,33,33,0,24,11,5,0,0.15151515151515152,10,149.19637594831792,154.11196754874666,4.52110230146418,630.8391023065468,610.8391023065469,2.0157690376116046,1.0,,0.0,88.70551021691303,33,0,1.697342857954591,4.52110230146418,2.823759443509588,389.14685011870796,4,5,,1
crossing,volume_ratio,326,0,0.283982683982684,33,33,33,0,27,2,0,0,0.0,2,45.26134109602318,46.95632472131009,1.3715557907885811,469.754444552975,449.754444552975,1.4841896670248174,0.6666666666666666,6.367577435573978,2.961348478418927,21.873238812918142,33,0,0.8079960282564421,1.371555790788581,0.5635597625321388,131.8216903558548,1,0,0.25,2
