epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.611,2.38333,9.91115,2.1089,0.26689,0.28121,0.20414,0.06192,2.20048,2.72682,1.98473,0.000665411,0.000665411,0.000665411
2,211.994,2.20437,2.46943,1.9742,0.01353,0.23673,0.02615,0.00587,3.53217,4.2167,3.24351,0.00131889,0.00131889,0.00131889
3,302.018,2.15966,2.35873,1.95904,0.19168,0.23386,0.13668,0.04648,2.20939,2.87639,1.9705,0.00195917,0.00195917,0.00195917
4,391.233,2.0482,2.22512,1.86595,0.25432,0.36011,0.20736,0.07511,2.1233,2.30006,1.91142,0.0019406,0.0019406,0.0019406
5,481.675,2.01931,2.18514,1.85268,0.02671,0.42037,0.05315,0.01209,3.27986,3.73413,2.80891,0.0019208,0.0019208,0.0019208
6,572.172,1.95585,2.10026,1.80383,0.27981,0.28373,0.21313,0.0841,2.08794,2.53462,1.91369,0.001901,0.001901,0.001901
7,662.722,1.99913,2.07792,1.82943,0.28531,0.37016,0.24819,0.0916,1.97313,2.12265,1.8258,0.0018812,0.0018812,0.0018812
8,753.314,1.92361,2.05657,1.79263,0.32124,0.36011,0.2753,0.09388,2.05525,2.07887,1.86796,0.0018614,0.0018614,0.0018614
9,843.718,1.87826,2.06791,1.74799,0.31653,0.3099,0.2213,0.07612,2.15806,2.45289,1.94082,0.0018416,0.0018416,0.0018416
10,931.3,1.87898,1.96532,1.74915,0.16364,0.01291,0.00404,0.00063,3.84563,5.98405,3.83335,0.0018218,0.0018218,0.0018218
11,1020.46,1.8734,1.99551,1.74125,0.28175,0.3056,0.2155,0.08448,1.99857,2.57413,1.85028,0.001802,0.001802,0.001802
12,1109.94,1.83256,1.96397,1.71284,0.38645,0.4132,0.34254,0.11302,1.961,1.9709,1.79901,0.0017822,0.0017822,0.0017822
13,1200.51,1.81701,1.92583,1.70104,0.36082,0.45194,0.3132,0.11466,1.93696,1.97526,1.79533,0.0017624,0.0017624,0.0017624
14,1290.87,1.8056,1.9081,1.69886,0.33059,0.36585,0.29247,0.11168,1.92656,2.11825,1.79088,0.0017426,0.0017426,0.0017426
15,1380.23,1.80205,1.85199,1.69432,0.33631,0.37159,0.28129,0.10716,1.97319,2.06587,1.83822,0.0017228,0.0017228,0.0017228
16,1469.91,1.76344,1.84242,1.66435,0.14944,0.1693,0.06563,0.02041,2.50847,3.23515,2.2525,0.001703,0.001703,0.001703
17,1559.12,1.74825,1.86003,1.6554,0.35035,0.38307,0.29439,0.10265,1.98245,2.054,1.83886,0.0016832,0.0016832,0.0016832
18,1648.46,1.73595,1.87219,1.65098,0.29849,0.30416,0.2445,0.09653,1.94816,2.32316,1.82651,0.0016634,0.0016634,0.0016634
19,1737.85,1.6912,1.77761,1.61674,0.35219,0.25968,0.22168,0.08075,1.98762,2.51448,1.84799,0.0016436,0.0016436,0.0016436
20,1827.31,1.7049,1.74627,1.6212,0.38792,0.49067,0.37683,0.13686,1.93562,1.81663,1.80547,0.0016238,0.0016238,0.0016238
21,1917.66,1.69394,1.736,1.62922,0.34952,0.36233,0.28938,0.11298,1.9368,2.18579,1.81554,0.001604,0.001604,0.001604
22,2006.29,1.68192,1.7548,1.60915,0.11806,0.3142,0.08861,0.02731,2.77784,4.37613,2.48786,0.0015842,0.0015842,0.0015842
23,2095.47,1.66419,1.73676,1.59895,0.10174,0.67145,0.21258,0.07322,2.17771,3.06446,1.97798,0.0015644,0.0015644,0.0015644
24,2184.95,1.62298,1.67664,1.57656,0.24739,0.12195,0.09486,0.02957,2.61781,2.99609,2.26326,0.0015446,0.0015446,0.0015446
