signal_i,side,entry_time,risk,notional,fee_reserve,required_cash,equity_before,cycle_id,cycle_net_before,level_before,accepted,entry_i,exit_i,exit_time,reason,net_r,gross_r,cost_r,full_initial_stop,outcome,censored,pnl,raw_pnl,equity_after,cycle_net_after,level_after,cycle_end
1321,-1,2023-08-03 05:18:00+00:00,1.0,516.9267605633538,1.0338535211267077,52.72652957746209,1000.0010631578948,1,0.0,0,True,1322.0,1329.0,2023-08-03 05:39:00+00:00,initial_stop,-2.033853521126675,-1.0,1.0338535211267077,True,loss,False,-2.03385352112673,-2.033853521126675,997.967209636768,-2.03385352112673,1,
1853,1,2023-08-04 07:54:00+00:00,2.0,702.432122370965,1.40486424474193,71.64807648183843,997.967209636768,1,-2.03385352112673,1,True,1854.0,1862.0,2023-08-04 08:18:00+00:00,cost_be,0.0012007648183685,0.7036328871893328,0.702432122370965,False,net_be,False,0.0024015296366997,0.002401529636737,997.9696111664048,-2.03145199149003,1,
1946,1,2023-08-04 12:33:00+00:00,2.0,1053.3180515759284,2.106636103151857,107.4384412607447,997.9696111664048,1,-2.03145199149003,1,True,1947.0,1947.0,2023-08-04 12:33:00+00:00,initial_stop,-2.0533180515759155,-1.0,1.0533180515759284,True,loss,False,-4.1066361031518,-4.106636103151831,993.8629750632527,-6.13808809464183,2,
2340,-1,2023-08-05 08:15:00+00:00,4.0,7322.600000000001,14.645200000000004,746.9052000000001,993.8629750632527,1,-6.13808809464183,2,True,2341.0,2347.0,2023-08-05 08:33:00+00:00,initial_stop,-4.661299999999905,-1.0,3.6613000000000007,True,loss,False,-18.64519999999959,-18.64519999999962,975.2177750632532,-24.78328809464142,3,
2348,1,2023-08-05 08:39:00+00:00,8.0,6785.703703703447,13.571407407406896,692.1417777777516,975.2177750632532,1,-24.78328809464142,3,True,2349.0,2433.0,2023-08-05 12:51:00+00:00,opposite_v6_next_open,-2.363092592592506,-0.6666666666666666,1.6964259259258616,False,loss,False,-18.904740740740067,-18.90474074074005,956.3130343225132,-43.68802883538149,4,
3870,1,2023-08-08 12:45:00+00:00,16.0,4316.228404099607,8.632456808199215,440.25529721816,956.3130343225132,1,-43.68802883538149,4,True,3871.0,3876.0,2023-08-08 13:00:00+00:00,cost_be,0.0007349926793893,0.5402635431918146,0.5395285505124509,False,net_be,False,0.0117598828702512,0.0117598828702302,956.3247942053836,-43.67626895251123,4,
4847,1,2023-08-10 13:36:00+00:00,16.0,4746.105263157909,9.492210526315818,484.1027368421067,956.3247942053836,1,-43.67626895251123,4,True,4848.0,4853.0,2023-08-10 13:51:00+00:00,cost_be,3.827751198193862e-05,0.5933014354067047,0.5932631578947386,False,net_be,False,0.0006124401917304,0.000612440191711,956.3254066455752,-43.675656512319506,4,
7282,-1,2023-08-15 15:21:00+00:00,16.0,7398.030150753735,14.79606030150747,754.599075376881,956.3254066455752,1,-43.675656512319506,4,True,7283.0,7349.0,2023-08-15 18:39:00+00:00,opposite_v6_next_open,-1.4825427135678897,-0.5577889447236224,0.9247537688442168,False,loss,False,-23.720683417086207,-23.720683417086235,932.604723228489,-67.39633992940571,5,
12055,-1,2023-08-25 14:00:00+00:00,32.0,7914.427503736856,15.828855007473711,807.2716053811594,932.604723228489,1,-67.39633992940571,5,True,12056.0,12057.0,2023-08-25 14:03:00+00:00,initial_stop,-1.4946517189835555,-1.0,0.4946517189835535,True,loss,False,-47.82885500747375,-47.82885500747378,884.7758682210152,-115.22519493687946,6,
54317,-1,2023-11-21 15:06:00+00:00,64.0,6765.396145610256,13.530792291220513,690.0704068522462,884.7758682210152,1,-115.22519493687946,6,True,54318.0,54320.0,2023-11-21 15:12:00+00:00,take_profit,1.0000374732334023,1.2114561027837276,0.2114186295503205,False,profit,False,64.00239828693782,64.00239828693776,948.778266507953,-51.22279664994164,6,
61441,-1,2023-12-06 11:18:00+00:00,64.0,8701.461538461606,17.402923076923212,887.5490769230838,948.778266507953,1,-51.22279664994164,6,True,61442.0,61443.0,2023-12-06 11:21:00+00:00,cost_be,0.000314903846172,0.272235576923091,0.2719206730769252,False,net_be,False,0.0201538461550399,0.0201538461550088,948.798420354108,-51.2026428037866,6,
72044,1,2023-12-28 13:27:00+00:00,64.0,5426.812257837205,10.85362451567441,553.5348502993949,948.798420354108,1,-51.2026428037866,6,True,72045.0,72059.0,2023-12-28 14:09:00+00:00,initial_stop,-1.169587883057411,-1.0,0.1695878830574126,True,loss,False,-74.85362451567426,-74.85362451567428,873.9447958384338,-126.05626731946086,7,
102260,-1,2024-02-29 12:15:00+00:00,128.0,7751.533356618902,15.503066713237803,790.656402375128,873.9447958384338,1,-126.05626731946086,7,True,102261.0,102277.0,2024-02-29 13:03:00+00:00,cost_be,8.382815228902153e-05,0.1212015368494591,0.1211177086971703,False,net_be,False,0.0107300034929949,0.0107300034929947,873.9555258419268,-126.04553731596786,7,
178864,1,2024-08-07 02:27:00+00:00,128.0,7746.997838097505,15.493995676195013,790.1937794859456,873.9555258419268,1,-126.04553731596786,7,True,178865.0,178866.0,2024-08-07 02:30:00+00:00,cost_be,1.969733365460613e-05,0.1210665385539262,0.1210468412202735,False,net_be,False,0.0025212587078158,0.0025212587077895,873.9580471006346,-126.04301605726005,7,
239124,-1,2024-12-10 15:27:00+00:00,128.0,7880.605133435332,15.761210266870664,803.8217236104039,873.9580471006346,1,-126.04301605726005,7,True,239125.0,239126.0,2024-12-10 15:30:00+00:00,cost_be,0.0001019887812307,0.1232364439911611,0.123134455209927,False,net_be,False,0.0130545639975707,0.0130545639975391,873.9711016646322,-126.02996149326248,7,
258838,-1,2025-01-20 17:09:00+00:00,128.0,6011.83415876609,12.02366831753218,613.2070841941411,873.9711016646322,1,-126.02996149326248,7,True,258839.0,258840.0,2025-01-20 17:12:00+00:00,cost_be,2.292344700465144e-05,0.0939578321777255,0.0939349087307201,False,net_be,False,0.0029342012165898,0.0029342012165953,873.9740358658488,-126.02702729204589,7,
258849,-1,2025-01-20 17:42:00+00:00,128.0,3962.043105092517,7.924086210185035,404.1283967194367,873.9740358658488,1,-126.02702729204589,7,True,258850.0,258851.0,2025-01-20 17:45:00+00:00,cost_be,8.04882700738627e-05,0.0619874117871449,0.0619069235170705,False,net_be,False,0.0103024985694446,0.0103024985694544,873.9843383644182,-126.01672479347644,7,
266092,-1,2025-02-04 19:51:00+00:00,128.0,6474.175780545045,12.94835156109009,660.3659296155946,873.9843383644182,1,-126.01672479347644,7,True,266093.0,266094.0,2025-02-04 19:54:00+00:00,cost_be,8.626601696821953e-05,0.101245262587983,0.1011589965710163,False,net_be,False,0.011042050171909,0.0110420501719321,873.9953804145902,-126.00568274330452,7,
266116,-1,2025-02-04 21:03:00+00:00,128.0,7048.595848595866,14.097191697191732,718.9567765567784,873.9953804145902,1,-126.00568274330452,7,True,266117.0,266117.0,2025-02-04 21:03:00+00:00,cost_be,0.0001628001628037,0.110297110297112,0.1101343101343104,False,net_be,False,0.0208384208389134,0.0208384208388837,874.0162188354291,-125.98484432246562,7,
266501,-1,2025-02-05 16:18:00+00:00,128.0,7766.024406478781,15.532048812957562,792.1344894608357,874.0162188354291,1,-125.98484432246562,7,True,266502.0,266513.0,2025-02-05 16:51:00+00:00,initial_stop,-1.1213441313512371,-1.0,0.1213441313512309,True,loss,False,-143.53204881295835,-143.53204881295838,730.4841700224707,-269.51689313542397,8,
279429,1,2025-03-04 14:42:00+00:00,256.0,5616.366814022824,11.232733628045647,572.869415030328,730.4841700224707,1,-269.51689313542397,8,True,279430.0,279443.0,2025-03-04 15:21:00+00:00,initial_stop,-1.0438778657345538,-1.0,0.0438778657345533,True,loss,False,-267.23273362804576,-267.23273362804576,463.25143639442496,-536.7496267634697,9,
279772,1,2025-03-05 07:51:00+00:00,512.0,62334.94331315485,124.6698866263097,6358.164217941795,463.25143639442496,1,-536.7496267634697,9,False,,,,price_risk_exceeds_cash,,,,,,,0.0,,463.25143639442496,-536.7496267634697,9,
