comparison,left,right,shared,only_left,only_right,diff_control_signal_i,diff_control_signal_bar_open,diff_control_exit_time,diff_month,diff_vol_bin,diff_fold,passed
original_control_identity,570,570,570,0,0,0,0,0,0,0,0,True
shared_control_identity,570,450,450,120,0,0,0,0,0,0,0,True
