arm,timeframe,feature,n_closed,n_scored,positive_net,negative_or_zero_net,ranking_available,unavailable_reason,auc_rank,top_decile_n,top_cutoff_score,top_cutoff_tie_total,top_cutoff_tie_selected,top_mean_gross_r,top_mean_net_r,top_mean_gross_bp,top_mean_net_bp,top_matched_pairs,top_matched_random_excess_mean_r,permutation_draws,permutation_auc_p
v9,3m,same_score,76,76,17,59,True,,0.4915254237288136,8,0.0,75,7,0.35716376292067775,-0.16734879568457522,23.847339370720995,3.8473393707211234,8,0.8097813174737377,9999,1.0
v9,3m,lower_score,76,76,17,59,True,,0.5503489531405783,8,0.0,73,5,-0.10093026300462221,-0.5178543965098414,0.16896139017950115,-19.8310386098205,8,0.14396503107131808,9999,0.1139
v9,3m,rv,76,76,17,59,True,,0.7048853439680958,8,8.05610824483487,1,1,0.5939331655347768,-0.12121824514275788,26.92832230874125,6.928322308741375,8,0.43037648108222,9999,0.0048
v9,5m,same_score,52,52,8,44,True,,0.4772727272727273,6,0.0,50,4,-1.0,-1.5794039003674094,-37.294603516755,-57.294603516755,6,-0.2255838843191723,9999,1.0
v9,5m,lower_score,52,52,8,44,True,,0.45454545454545453,6,0.0,48,2,-1.0,-1.400962310075409,-60.43878529478033,-80.43878529478033,6,-0.14414536105604095,9999,1.0
v9,5m,rv,52,52,8,44,True,,0.7301136363636364,6,9.753149452851762,1,1,4.820829343104265,4.314665498782903,249.44655823581033,229.44655823581047,6,5.870110537422811,9999,0.0216
v9,15m,same_score,19,19,5,14,True,,0.5714285714285714,2,0.5605161786079407,1,1,0.9305673215413512,0.7796729365772118,94.58992720881301,74.58992720881301,2,1.627742574736557,9999,0.309
v9,15m,lower_score,19,19,5,14,True,,0.42857142857142855,2,0.5190090537071228,1,1,-0.49782608695652375,-0.6930959572845207,-44.00918676505953,-64.00918676505951,2,0.9226504223935582,9999,1.0
v9,15m,rv,19,19,5,14,True,,0.35714285714285715,2,4.812874437164255,1,1,-0.49782608695652375,-0.7025725959495884,-40.581726650024024,-60.581726650024,2,0.3153123887239574,9999,0.8791
v9,30m,same_score,10,10,3,7,False,constant_score,,1,0.0,10,1,-1.0,-1.143340285824638,-139.528115804563,-159.528115804563,1,0.05370994721522848,9999,
v9,30m,lower_score,10,10,3,7,False,constant_score,,1,0.0,10,1,-1.0,-1.143340285824638,-139.528115804563,-159.528115804563,1,0.05370994721522848,9999,
v9,30m,rv,10,10,3,7,True,,0.5714285714285714,1,6.3218329541388085,1,1,-0.4114799446749675,-0.5435684647302885,-62.303664921465,-82.303664921465,1,0.6779928333466472,9999,0.4707
v9,1H,same_score,3,3,1,2,True,,0.25,1,0.8094080090522766,1,1,-0.6985098039215718,-0.7586236862745136,-232.395505524156,-252.395505524156,1,-2.102761781512631,9999,1.0
v9,1H,lower_score,3,3,1,2,True,,0.25,1,0.5034376978874207,1,1,-0.6985098039215718,-0.7586236862745136,-232.395505524156,-252.395505524156,1,-2.102761781512631,9999,1.0
v9,1H,rv,3,3,1,2,True,,0.5,1,4.922667415844635,1,1,-0.6985098039215718,-0.7586236862745136,-232.395505524156,-252.395505524156,1,-2.102761781512631,9999,1.0
v9,4H,same_score,2,2,1,1,False,constant_score,,1,0.0,2,1,-1.0,-1.0870240581025876,-229.82150495008202,-249.821504950082,1,-0.01725819750514712,9999,
v9,4H,lower_score,2,2,1,1,False,constant_score,,1,0.0,2,1,-1.0,-1.0870240581025876,-229.82150495008202,-249.821504950082,1,-0.01725819750514712,9999,
v9,4H,rv,2,2,1,1,True,,0.0,1,3.2431993040732907,1,1,-1.0,-1.0870240581025876,-229.82150495008202,-249.821504950082,1,-0.01725819750514712,9999,1.0
v9,1Dutc,same_score,0,0,0,0,False,no_binary_outcome,,0,,0,0,,,,,0,,9999,
v9,1Dutc,lower_score,0,0,0,0,False,no_binary_outcome,,0,,0,0,,,,,0,,9999,
v9,1Dutc,rv,0,0,0,0,False,no_binary_outcome,,0,,0,0,,,,,0,,9999,
