signal_i,signal_bar_open,entry_i,entry_time,side,entry_price,initial_stop,initial_risk,initial_risk_frac,protection,mfe_r,trail_armed,exit_i,exit_time,exit_price,exit_reason,gross_return,net_return,gross_r,net_r,censored,exit_time_precision,account_equity_before,account_equity_after,timeframe,stream,arm,fold,event_key,lower_timeframe,rv,volatility,same_hit,same_score,same_detection_id,same_inference_key,same_raw_boxes,lower_hit,lower_score,lower_detection_id,lower_inference_key,lower_raw_boxes
1130,2026-07-15 12:30:00+00:00,1131,2026-07-15 12:33:00+00:00,1,1889.49,1878.56,10.930000000000064,0.005784629714896646,1916.74,5.170173833485788,True,1156,2026-07-15 13:48:00+00:00,1916.74,trailing_stop,0.01442188103668185,0.01242188103668185,2.493138151875557,2.1473943275388705,False,bar_open_or_intrabar_window,1.0,1.0124218810366818,3m,3m,v9,full,ETH_3m_1784118600000_1,1m,17.6120713832577,0.0015719212734545,False,0.0,,3m_1784118780000,0,False,0.0,,1m_1784118780000,0
1354,2026-07-15 23:42:00+00:00,1355,2026-07-15 23:45:00+00:00,-1,1914.97,1923.13,8.160000000000082,0.004261163360261561,1923.13,0.14828431372549317,False,1363,2026-07-16 00:09:00+00:00,1923.13,initial_stop,-0.004261163360261611,-0.006261163360261611,-1.0,-1.4693553921568696,False,bar_open_or_intrabar_window,1.0124218810366818,1.006082942250008,3m,3m,v9,full,ETH_3m_1784158920000_-1,1m,8.05610824483487,0.001184944904858,False,0.0,,3m_1784159100000,0,False,0.0,,1m_1784159100000,0
1368,2026-07-16 00:24:00+00:00,1369,2026-07-16 00:27:00+00:00,-1,1914.51,1924.96,10.450000000000045,0.005458315704801774,1924.96,0.6899521531100483,False,1396,2026-07-16 01:48:00+00:00,1924.96,initial_stop,-0.005458315704801819,-0.007458315704801819,-1.0,-1.3664133971291934,False,bar_open_or_intrabar_window,1.006082942250008,0.9985792580414915,3m,3m,v9,full,ETH_3m_1784161440000_-1,1m,1.7227841147427554,0.0013539702162771,False,0.0,,3m_1784161620000,0,False,0.0,,1m_1784161620000,0
1436,2026-07-16 03:48:00+00:00,1437,2026-07-16 03:51:00+00:00,-1,1917.49,1926.3700000000001,8.88000000000011,0.004631054138483178,1926.3700000000001,0.4639639639639716,False,1466,2026-07-16 05:18:00+00:00,1921.06,opposite_v6_next_open,-0.001861808927295483,-0.003861808927295483,-0.4020270270270149,-0.8338941441441131,False,bar_open_or_intrabar_window,0.9985792580414915,0.9947229357481747,3m,3m,v9,full,ETH_3m_1784173680000_-1,1m,3.057173087863231,0.0011802389449776,False,0.0,,3m_1784173860000,0,False,0.0,,1m_1784173860000,0
1465,2026-07-16 05:15:00+00:00,1466,2026-07-16 05:18:00+00:00,1,1921.06,1916.0900000000001,4.9699999999998,0.00258711336449658,1916.0900000000001,1.6740442655936616,False,1492,2026-07-16 06:36:00+00:00,1916.0900000000001,initial_stop,-0.002587113364496574,-0.004587113364496574,-1.0,-1.7730623742455016,False,bar_open_or_intrabar_window,0.9947229357481747,0.990160028875633,3m,3m,v9,full,ETH_3m_1784178900000_1,1m,3.8509314177437384,0.0010508135150347,False,0.0,,3m_1784179080000,0,False,0.0,,1m_1784179080000,0
1492,2026-07-16 06:36:00+00:00,1493,2026-07-16 06:39:00+00:00,-1,1915.63,1924.48,8.849999999999909,0.004619890062277115,1881.14,5.5559322033898955,True,1627,2026-07-16 13:21:00+00:00,1881.14,trailing_stop,0.018004520705981797,0.016004520705981795,3.897175141242979,3.464264406779686,False,bar_open_or_intrabar_window,0.990160028875633,1.0060070655600086,3m,3m,v9,full,ETH_3m_1784183760000_-1,1m,6.616517472239719,0.0012615620669425,False,0.0,,3m_1784183940000,0,False,0.0,,1m_1784183940000,0
2365,2026-07-18 02:15:00+00:00,2366,2026-07-18 02:18:00+00:00,1,1843.48,1840.01,3.4700000000000273,0.00188230954499101,1840.01,1.5014409221902003,False,2507,2026-07-18 09:21:00+00:00,1842.2,opposite_v6_next_open,-0.0006943389676047351,-0.002694338967604735,-0.3688760806916319,-1.4314005763688584,False,bar_open_or_intrabar_window,1.0060070655600086,1.0032965415215847,3m,3m,v9,full,ETH_3m_1784340900000_1,1m,2.1690239497713044,0.00071943665054,False,0.0,,3m_1784341080000,0,False,0.0,,1m_1784341080000,0
2506,2026-07-18 09:18:00+00:00,2507,2026-07-18 09:21:00+00:00,-1,1842.2,1846.64,4.440000000000055,0.0024101617631093553,1846.64,0.04504504504505474,False,2561,2026-07-18 12:03:00+00:00,1846.64,initial_stop,-0.0024101617631093752,-0.004410161763109375,-1.0,-1.829819819819818,False,bar_open_or_intrabar_window,1.0032965415215847,0.9988718414771063,3m,3m,v9,full,ETH_3m_1784366280000_-1,1m,3.2067518271679756,0.0005272057261242,False,0.0,,3m_1784366460000,0,False,0.0,,1m_1784366460000,0
2562,2026-07-18 12:06:00+00:00,2563,2026-07-18 12:09:00+00:00,1,1846.83,1844.25,2.5799999999999272,0.0013969883530156686,1844.25,0.0,False,2565,2026-07-18 12:15:00+00:00,1844.25,initial_stop,-0.0013969883530157157,-0.0033969883530157157,-1.0,-2.4316511627907715,False,bar_open_or_intrabar_window,0.9988718414771063,0.9954786854654532,3m,3m,v9,full,ETH_3m_1784376360000_1,1m,22.181091160608297,0.0005318783848092,False,0.0,,3m_1784376540000,0,False,0.0,,1m_1784376540000,0
2566,2026-07-18 12:18:00+00:00,2567,2026-07-18 12:21:00+00:00,-1,1842.91,1850.03,7.119999999999891,0.0038634550791953434,1850.03,0.9129213483146207,False,2675,2026-07-18 17:45:00+00:00,1850.03,initial_stop,-0.003863455079195388,-0.005863455079195388,-1.0,-1.5176713483146262,False,bar_open_or_intrabar_window,0.9954786854654532,0.9896417409109299,3m,3m,v9,full,ETH_3m_1784377080000_-1,1m,10.263464581314912,0.0006312455594462,False,0.0,,3m_1784377260000,0,False,0.0,,1m_1784377260000,0
