arm,timeframe,group,metric,n,mean,sd,median,q1,q3,iqr,outlier_lower_fence,outlier_upper_fence,outlier_n
v9,3m,all,net_r,76,-0.8246167309625435,1.9673740708470941,-1.2190214053420587,-1.5869354526230854,-0.21469018170431342,1.372245270918772,-3.645303359001243,1.8436777246738445,7
v9,3m,all,gross_r,76,0.07402151931895976,1.6297694009696784,-0.5219324079413569,-1.0,0.562057237497187,1.562057237497187,-3.3430858562457804,2.9051430937429674,5
v9,3m,all,net_bp,76,-18.439536029725662,63.89445261488058,-32.370476707815996,-49.20350565187025,-4.575877272411,44.62762837945925,-116.14494822105914,62.36556529677788,8
v9,3m,all,gross_bp,76,1.5604639702742091,63.89445261488056,-12.370476707816,-29.203505651870252,15.424122727588,44.62762837945825,-96.14494822105763,82.36556529677537,8
v9,3m,same_hit,net_r,1,-0.0763232157506221,,-0.0763232157506221,-0.0763232157506221,-0.0763232157506221,0.0,-0.0763232157506221,-0.0763232157506221,0
v9,3m,same_hit,gross_r,1,0.2378999179655332,,0.2378999179655332,0.2378999179655332,0.2378999179655332,0.0,0.2378999179655332,0.2378999179655332,0
v9,3m,same_hit,net_bp,1,-4.8578992162659995,,-4.8578992162659995,-4.8578992162659995,-4.8578992162659995,0.0,-4.8578992162659995,-4.8578992162659995,0
v9,3m,same_hit,gross_bp,1,15.142100783733,,15.142100783733,15.142100783733,15.142100783733,0.0,15.142100783733,15.142100783733,0
v9,3m,same_miss,net_r,75,-0.8345939778320358,1.9786859071044893,-1.2345153664302566,-1.6217580733877581,-0.2407821454349513,1.3809759279528069,-3.693221965316968,1.8306817464942589,7
v9,3m,same_miss,gross_r,75,0.07183647400367209,1.6406323283038788,-0.5721311475409936,-1.0,0.6048266411664638,1.6048266411664638,-3.4072399617496956,3.0120666029161596,5
v9,3m,same_miss,net_bp,75,-18.62062452057179,64.305085785693,-33.969883530157,-49.4803348350335,-4.937669410621,44.542665424412505,-116.29433297165225,61.87632872599775,8
v9,3m,same_miss,gross_bp,75,1.3793754794280946,64.30508578569298,-13.969883530157,-29.480334835033503,15.062330589378,44.5426654244115,-96.29433297165076,81.87632872599525,8
v9,3m,lower_hit,net_r,3,-0.2825013973139745,0.88613453909796,0.0702412868632627,-0.6102225278646657,0.22159107532533526,0.831813603190001,-1.8579429326496673,1.4693114801103366,0
