arm,timeframe,detector,n_closed,n_hit,n_miss,hit_win,hit_loss,miss_win,miss_loss,hit_winrate,miss_winrate,winrate_difference_hit_minus_miss,fisher_two_sided_p,association_available,bootstrap_blocks,bootstrap_draws,bootstrap_valid_draws,bootstrap_invalid_draws,bootstrap_ci_low,bootstrap_ci_high,holm14_p
v9,3m,same,76,1,75,0,1,17,58,0.0,0.22666666666666666,-0.22666666666666666,0.9999999999999648,True,10,2000,1276,724,-0.3333333333333333,-0.1289746543778802,1.0
v9,3m,lower,76,3,73,2,1,15,58,0.6666666666666666,0.2054794520547945,0.4611872146118721,0.12381223328591705,True,10,2000,1954,46,-0.20613342898134862,0.861469298245614,1.0
v9,5m,same,52,2,50,0,2,8,42,0.0,0.16,-0.16,0.999999999999998,True,9,2000,1291,709,-0.24444444444444444,-0.08333333333333333,1.0
v9,5m,lower,52,4,48,0,4,8,40,0.0,0.16666666666666666,-0.16666666666666666,0.9999999999999899,True,9,2000,1946,54,-0.2619047619047619,-0.08620689655172414,1.0
v9,15m,same,19,2,17,1,1,4,13,0.5,0.23529411764705882,0.2647058823529412,0.4678362573099434,True,9,2000,1782,218,-0.35294117647058826,0.8571428571428572,1.0
v9,15m,lower,19,2,17,0,2,5,12,0.0,0.29411764705882354,-0.29411764705882354,1.0,True,9,2000,1789,211,-0.6363636363636364,-0.1111111111111111,1.0
v9,30m,same,10,0,10,0,0,3,7,,0.3,,,False,7,2000,0,2000,,,
v9,30m,lower,10,0,10,0,0,3,7,,0.3,,,False,7,2000,0,2000,,,
v9,1H,same,3,1,2,0,1,1,1,0.0,0.5,-0.5,0.9999999999999993,True,3,2000,1320,680,-1.0,0.0,1.0
v9,1H,lower,3,1,2,0,1,1,1,0.0,0.5,-0.5,0.9999999999999993,True,3,2000,1350,650,-1.0,0.0,1.0
v9,4H,same,2,0,2,0,0,1,1,,0.5,,,False,2,2000,0,2000,,,
v9,4H,lower,2,0,2,0,0,1,1,,0.5,,,False,2,2000,0,2000,,,
v9,1Dutc,same,0,0,0,0,0,0,0,,,,,False,0,2000,0,2000,,,
v9,1Dutc,lower,0,0,0,0,0,0,0,,,,,False,0,2000,0,2000,,,
