timeframe,signals_n,actual_v9_trades_n,signal_same_hit_n,signal_same_hit_rate,signal_lower_hit_n,signal_lower_hit_rate,signal_both_hit_n,signal_both_hit_rate,actual_v9_same_hit_n,actual_v9_same_hit_rate,actual_v9_lower_hit_n,actual_v9_lower_hit_rate,actual_v9_both_hit_n,actual_v9_both_hit_rate
3m,106,76,2,0.018867924528301886,4,0.03773584905660377,0,0.0,1,0.013157894736842105,3,0.039473684210526314,0,0.0
5m,58,52,2,0.034482758620689655,4,0.06896551724137931,1,0.017241379310344827,2,0.038461538461538464,4,0.07692307692307693,1,0.019230769230769232
15m,22,19,2,0.09090909090909091,3,0.13636363636363635,0,0.0,2,0.10526315789473684,2,0.10526315789473684,0,0.0
30m,14,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1H,3,3,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333
4H,2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1Dutc,0,0,0,,0,,0,,0,,0,,0,
