population,arm,timeframe,group,n,closed,censored,net_wins,net_winrate,net_winrate_wilson95_low,net_winrate_wilson95_high,mean_net_r,total_net_r,mean_gross_r,total_gross_r,pf_net_r,mean_net_bp,mean_gross_bp,matched_pairs,unmatched,paired_target_mean_r,paired_control_mean_r,paired_excess_mean_r
v9_detection_group,v9,3m,all,76,76,0,17,0.2236842105263158,0.14461182822226148,0.3293456793137355,-0.8246167309625435,-62.670871553153304,0.07402151931895976,5.625635468240941,0.32909946422626624,-18.43953602972566,1.5604639702742107,76,0,-0.8246167309625435,-1.1935559054770855,0.36893917451454156
v9_detection_group,v9,3m,same_hit,1,1,0,0,0.0,0.0,0.7934506856227626,-0.0763232157506221,-0.0763232157506221,0.2378999179655332,0.2378999179655332,0.0,-4.8578992162659995,15.142100783733,1,0,-0.0763232157506221,-1.157353005464485,1.0810297897138628
v9_detection_group,v9,3m,same_miss,75,75,0,17,0.22666666666666666,0.1466136791679065,0.33335535472269406,-0.8345939778320358,-62.594548337402685,0.07183647400367209,5.387735550275407,0.32936857508718864,-18.62062452057178,1.3793754794280937,75,0,-0.8345939778320358,-1.194038610810587,0.3594446329785506
v9_detection_group,v9,3m,lower_hit,3,3,0,2,0.6666666666666666,0.2076596008020477,0.9385080552796037,-0.2825013973139745,-0.8475041919419235,0.03381559037149343,0.1014467711144803,0.34336936560470077,-20.394368558942997,-0.3943685589429992,3,0,-0.2825013973139745,-1.0540858789201735,0.7715844816061987
v9_detection_group,v9,3m,lower_miss,73,73,0,15,0.2054794520547945,0.1286697211101815,0.31173653015141345,-0.8468954433042655,-61.82336736121138,0.07567381776885562,5.52418869712646,0.3288995348690221,-18.359200446333162,1.6407995536666984,73,0,-0.8468954433042655,-1.1992875504040819,0.3523921070998159
v9_detection_group,v9,3m,both_hit,0,0,0,0,,,,,,,,,,,0,0,,,
serial_arm,v9,3m,all,76,76,0,17,0.2236842105263158,0.14461182822226148,0.3293456793137355,-0.8246167309625435,-62.670871553153304,0.07402151931895976,5.625635468240941,0.32909946422626624,-18.43953602972566,1.5604639702742107,76,0,-0.8246167309625435,-1.1935559054770855,0.36893917451454156
serial_arm,v9_same,3m,all,2,2,0,0,0.0,0.0,0.6576197724933469,-0.7567741876383055,-1.513548375276611,-0.3810500410172334,-0.7621000820344668,0.0,-35.300460503895,-15.300460503895499,2,0,-0.7567741876383055,-1.3626028548611313,0.6058286672228258
serial_arm,v9_lower,3m,all,4,4,0,2,0.5,0.15003898915214947,0.8499610108478506,-0.5761354876931524,-2.3045419507726095,-0.22463830722137995,-0.8985532288855198,0.16129062973284283,-31.23579155667025,-11.235791556670248,4,0,-0.5761354876931524,-0.551905205210024,-0.02423028248312853
serial_arm,v9_both,3m,all,0,0,0,0,,,,,,,,,,,0,0,,,
