period,rule,candidates,invalid,censored,closed,gt10,precision,confirmed_gt10_per_candidate,candidate_coverage,coverage,recall,win_rate,mean_r,mean_gross_bp,mean_net_bp,assets,positive_asset_months,matched_pairs,unmatched_closed,random_gt10,paired_gt10,random_precision,random_mean_net_bp,paired_excess_r,paired_excess_net_bp,random_tail_p,random_net_p,precision_delta,precision_ci_low,precision_ci_high,random_tail_holm_p,random_net_holm_p,historical_gate_passed
full,original_all,49207,0,137,49070,448,0.0091298145506419,0.0091043957160566,1.0,1.0,1.0,0.2974526187079682,0.063242342833228,26.942149432663843,6.942149432663825,814,268,48998,72,500,446,0.0102044981427813,6.663175433787717,0.0653722417732384,0.1887283745404673,0.9571,0.1663,0.0,0.0,0.0,,,
full,prior_v2_breakout,24129,0,66,24063,199,0.0082699580268461,0.0082473372290604,0.4903570630194891,0.4903810882412879,0.4441964285714285,0.3047001620745543,0.0623246956275291,24.2191037243622,4.219103724362188,796,134,24022,41,274,198,0.0114062109732745,16.53405968832664,0.034748452831606,-12.261072810314555,0.9998,0.2986,-0.0008598565237957,-0.0019739539345155,0.0001587064968955,,,
full,prior_v21_risk_decile,5701,0,14,5687,100,0.017583963425356,0.0175407823188914,0.1158574999491942,0.1158956592622783,0.2232142857142857,0.3363812203270617,0.2987293611918353,67.34564182123131,47.345641821231304,602,67,5680,7,75,100,0.0132042253521126,10.536207708685932,0.2882467835778622,36.98205208917803,0.1645,0.0154,0.0084541488747141,0.000210963306946,0.0189967587143957,,,
full,risk_atr__low10 & trend_alignment__low40,2352,0,0,2352,36,0.0153061224489795,0.0153061224489795,0.0477980775092974,0.0479315263908701,0.0803571428571428,0.2559523809523809,0.0421506872193649,12.568608276470362,-7.431391723529647,574,32,2351,1,19,36,0.0080816673755848,-2.5465234169484643,0.0887182005032725,-5.040640008202374,0.0927,0.3264,0.0061763078983376,-0.0012096795553624,0.0187697631887702,,,
full,risk_atr__low20 & trend_alignment__low40,4793,0,2,4791,67,0.0139845543727823,0.0139787189651575,0.0974048407746865,0.0976360301609945,0.1495535714285714,0.2627843873930286,0.0417434938661412,15.749028082391904,-4.250971917608105,677,54,4789,2,41,67,0.0085612862810607,-6.986313131915363,0.0763512952343793,2.3288059708502633,0.0316,0.2382,0.0048547398221403,0.0001702950610879,0.0113868263134474,,,
full,reference_risk_fraction__low40 & rope_distance_atr__low40,9558,0,13,9545,132,0.0138292299633315,0.0138104205900816,0.1942406568171195,0.1945180354595475,0.2946428571428571,0.2908328968046097,0.1189890334194713,33.332858523132714,13.332858523132703,727,95,9537,8,97,132,0.0101709132851001,-12.083071207083895,0.1713305597125627,25.575630219151876,0.1017,0.0892,0.0046994154126896,0.0002068606408383,0.0105528440541116,,,
full,reference_risk_fraction__low40 & risk_atr__low40,12312,0,5,12307,168,0.0136507678556918,0.0136452241715399,0.2502083036966285,0.250804972488282,0.375,0.2953603640204761,0.1210352615844446,35.89634767995585,15.89634767995585,740,117,12297,10,123,168,0.0100024396194193,-1.6142608383391632,0.1321591900587264,17.70121810139552,0.0608,0.102,0.0045209533050499,6.711047488355515e-05,0.0099315965552213,,,
full,reference_risk_fraction__low20,10597,0,19,10578,175,0.0165437700888636,0.0165141077663489,0.2153555388460991,0.2155695944568983,0.390625,0.3372093023255814,0.2960142965173474,75.97973365659105,55.97973365659102,701,106,10566,12,135,175,0.0127768313458262,19.188850393120187,0.2232158830541952,36.9991695443213,0.1182,0.0292,0.0074139555382217,0.00027284620978,0.0166021940574597,,,
earlier,original_all,18539,0,0,18539,185,0.0099789632666271,0.0099789632666271,1.0,1.0,1.0,0.3379362425157775,0.265854603830766,97.60976510196622,77.6097651019662,511,114,18406,133,179,185,0.009725089644681,21.24908677006299,0.2331275349452908,58.28203172734273,0.4337158203125,0.075927734375,0.0,0.0,0.0,,,
earlier,prior_v2_breakout,9775,0,0,9775,79,0.008081841432225,0.008081841432225,0.5272668428717838,0.5272668428717838,0.427027027027027,0.3418925831202046,0.2258308598909793,78.5228301455073,58.52283014550729,502,57,9710,65,111,79,0.0114315139031925,27.992237725773936,0.1600590642985199,32.56676230924263,0.924560546875,0.1263427734375,-0.001897121834402,-0.0039570158764936,8.481944142583678e-05,,,
