entry_month,arm,trades,total_r
2024-09,v10,309,123.00646700570309
2024-09,v9,1608,109.78765202895397
2024-09,v9_long,1020,262.3663397939547
2024-10,v10,352,-115.00605080009113
2024-10,v9,1981,-358.86355721452196
2024-10,v9_long,858,-309.2404500292899
2024-11,v10,398,521.5923987882621
2024-11,v9,1638,821.4820143400851
2024-11,v9_long,930,1234.4064197101527
2024-12,v10,384,-180.55226273897048
2024-12,v9,2514,629.2583359288941
2024-12,v9_long,1087,-651.4733958009778
2025-01,v10,419,-135.17054860527534
2025-01,v9,1874,502.76567249784557
2025-01,v9_long,914,-324.0076267917734
2025-02,v10,432,-254.37958301715116
2025-02,v9,2599,-500.48905456093723
2025-02,v9_long,1122,-699.5132482901824
2025-03,v10,551,-137.58110412564673
2025-03,v9,2513,-96.31378297024102
2025-03,v9_long,1354,-358.57113321672654
2025-04,v10,535,656.107757926325
2025-04,v9,2416,671.7646783178421
2025-04,v9_long,1390,1106.2844452494876
2025-05,v10,507,-16.32090817836639
2025-05,v9,3154,1096.5358042812586
2025-05,v9_long,1519,-181.7497952079393
2025-06,v10,477,183.47782589511647
2025-06,v9,2334,946.0532451500114
2025-06,v9_long,1069,444.5223710682027
2025-07,v10,672,1201.1588648736506
2025-07,v9,2742,2494.6204636055977
2025-07,v9_long,1605,2755.625339557696
2025-08,v10,816,369.5532106955144
2025-08,v9,4060,-958.3174998138971
2025-08,v9_long,1938,368.65143155441433
2025-09,v10,821,59.71089487161129
2025-09,v9,4614,-837.1780051306233
2025-09,v9_long,2326,32.835554939358666
2025-10,v10,665,-154.4313843630753
2025-10,v9,3368,332.98298011969837
2025-10,v9_long,1525,-426.19150798946856
2025-11,v10,621,-326.86550130188033
2025-11,v9,3469,296.0425942579178
2025-11,v9_long,1374,-675.2305759172178
2025-12,v10,738,-214.45761873112642
2025-12,v9,4413,-1212.0373751469529
2025-12,v9_long,1987,-690.5643902562969
2026-01,v10,737,-254.48122923364252
2026-01,v9,3536,747.0935137000806
2026-01,v9_long,1801,-537.5035732873174
2026-02,v10,531,-108.92919708513192
2026-02,v9,2838,-394.26517817653894
2026-02,v9_long,1299,-238.25098710447898
2026-03,v10,1170,-288.04217616003376
2026-03,v9,5090,-485.054259936139
2026-03,v9_long,2816,-574.9752365180715
2026-04,v10,1073,38.493477978862195
2026-04,v9,4526,-303.1896801760131
2026-04,v9_long,2753,450.9863792749234
2026-05,v10,89,-42.60725932920614
2026-05,v9,243,-102.72166296723525
2026-05,v9_long,201,-63.828174286547316
