bucket,trades,net_r,mean_net_r,gross_r,win_rate,period
no_break,252,52.68280692257039,0.20905875762924758,69.65653266908457,0.4087301587301587,full
age_0,4124,178.86582957941354,0.04337192763807312,416.77961268184754,0.29170708050436467,full
age_1_3,4574,84.58297734552339,0.01849212447431644,379.6034306214833,0.3014866637516397,full
age_4_7,2445,368.47355863939777,0.1507049319588539,560.3965863707635,0.31533742331288345,full
age_8_12,1677,84.82349073114375,0.050580495367408315,212.81224933168613,0.3106738223017293,full
age_13_48,6044,94.00925522484788,0.01555414547068959,496.69500346154814,0.29698874917273327,full
age_gt_48,11772,61.14026800900552,0.005193702685100707,878.4930536008094,0.27854230377166156,full
no_break,252,52.68280692257039,0.20905875762924758,69.65653266908457,0.4087301587301587,earlier
age_0,2173,597.764517652933,0.27508721475054443,717.3778382147635,0.3442245743212149,earlier
age_1_3,2257,541.279048122491,0.23982235184868894,681.7395193056097,0.35666814355338944,earlier
age_4_7,1213,598.7917430487274,0.4936452951761974,691.769382541622,0.3742786479802143,earlier
age_8_12,866,212.05102113293398,0.2448626110080069,275.82903205568147,0.3418013856812933,earlier
age_13_48,2912,605.5449169085937,0.20794811707025881,789.9755135382562,0.3489010989010989,earlier
age_gt_48,6134,744.9562044873155,0.12144704996532694,1141.2693870571275,0.29279426149331594,earlier
no_break,0,0.0,,0.0,,later
age_0,1918,-498.16790458574286,-0.25973300551915685,-382.55539833200214,0.22419186652763295,later
age_1_3,2277,-525.4276558529905,-0.23075435039657027,-373.49639193941584,0.23803249890206413,later
age_4_7,1198,-287.833445365077,-0.2402616405384616,-191.8576972555495,0.24123539232053423,later
age_8_12,777,-189.3539762803979,-0.24369881117168327,-127.64233557961354,0.24967824967824967,later
age_13_48,3064,-693.2981802343165,-0.2262722520346986,-480.0990606523557,0.23596605744125326,later
age_gt_48,5521,-907.6927217475751,-0.1644073033413467,-494.5080371732898,0.2537583771055968,later
