step,common_events,removed_events,added_events,avoided_loss_r,foregone_profit_r,new_entry_net_r,serial_delta_r,left_10r,retained_10r
v9->v9_long,31062,30836,0,19781.37007244236,22256.748784125546,0.0,-2475.378711683183,306,241
v9_long->v10,11204,19858,1164,13759.744937574458,14050.499887622467,290.4528379615547,-0.30211208645442866,241,94
