epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.064,1.79095,1.66817,1.89825,0.16741,0.21424,0.111,0.04506,1.95429,2.90104,1.87318,0.0001,0.0001,0.0001
2,309.2,1.67124,1.54084,1.79441,0.14403,0.23314,0.09788,0.04009,1.9182,2.91153,1.84985,9.7525e-05,9.7525e-05,9.7525e-05
3,449.179,1.62686,1.49812,1.76608,0.17295,0.26654,0.11606,0.0495,1.90627,2.99396,1.85076,9.505e-05,9.505e-05,9.505e-05
4,590.031,1.584,1.49608,1.72724,0.17404,0.26087,0.12308,0.05094,1.92446,2.84802,1.85956,9.2575e-05,9.2575e-05,9.2575e-05
5,730.562,1.58786,1.46707,1.73362,0.18396,0.32703,0.1329,0.05616,1.91072,2.94955,1.85626,9.01e-05,9.01e-05,9.01e-05
6,871.104,1.57049,1.44485,1.7245,0.20402,0.26276,0.14344,0.06095,1.90169,2.80567,1.84623,8.7625e-05,8.7625e-05,8.7625e-05
7,1012.01,1.54926,1.44868,1.70838,0.15847,0.41021,0.12053,0.0523,1.89857,3.05498,1.85235,8.515e-05,8.515e-05,8.515e-05
8,1151.73,1.5342,1.43271,1.69479,0.20315,0.25268,0.1374,0.05891,1.90221,2.91101,1.86602,8.2675e-05,8.2675e-05,8.2675e-05
9,1291.41,1.53637,1.421,1.69622,0.09779,0.7051,0.10407,0.04263,1.98987,3.26623,1.92978,8.02e-05,8.02e-05,8.02e-05
10,1430.77,1.53336,1.41818,1.70155,0.20093,0.31758,0.14604,0.06035,1.95675,2.9808,1.89892,7.7725e-05,7.7725e-05,7.7725e-05
11,1571.13,1.51281,1.37843,1.67943,0.18579,0.23882,0.13176,0.05412,1.95274,2.95061,1.89892,7.525e-05,7.525e-05,7.525e-05
12,1711.1,1.4942,1.3802,1.6749,0.17181,0.35287,0.12234,0.05024,1.98744,3.12833,1.91913,7.2775e-05,7.2775e-05,7.2775e-05
13,1850.99,1.49207,1.37658,1.67549,0.19304,0.22684,0.13134,0.05422,1.9984,2.99935,1.93092,7.03e-05,7.03e-05,7.03e-05
14,1990.48,1.49462,1.38271,1.67439,0.1114,0.70132,0.12736,0.05255,2.01556,3.21802,1.95361,6.7825e-05,6.7825e-05,6.7825e-05
15,2130.38,1.48885,1.36421,1.6654,0.21247,0.22558,0.13963,0.05757,1.99156,3.03918,1.93345,6.535e-05,6.535e-05,6.535e-05
16,2270.03,1.46505,1.35717,1.65039,0.22586,0.24449,0.15464,0.06267,2.00935,2.941,1.94724,6.2875e-05,6.2875e-05,6.2875e-05
17,2410.72,1.46462,1.33973,1.64984,0.19863,0.32829,0.1388,0.05628,2.00516,3.15535,1.9475,6.04e-05,6.04e-05,6.04e-05
18,2550.44,1.45028,1.32187,1.6402,0.17925,0.3138,0.11752,0.04828,2.02514,3.25027,1.96631,5.7925e-05,5.7925e-05,5.7925e-05
19,2689.95,1.45865,1.33197,1.64544,0.19337,0.25394,0.12816,0.05169,2.04017,3.1342,1.97446,5.545e-05,5.545e-05,5.545e-05
20,2829.52,1.47027,1.34072,1.65304,0.11144,0.66037,0.10902,0.04393,2.05659,3.37224,1.99313,5.2975e-05,5.2975e-05,5.2975e-05
21,2969.01,1.45561,1.34139,1.63918,0.09936,0.67108,0.10023,0.03965,2.05323,3.3722,1.9899,5.05e-05,5.05e-05,5.05e-05
22,3108.19,1.44118,1.3294,1.62752,0.20278,0.30687,0.13222,0.05219,2.05692,3.18123,1.99394,4.8025e-05,4.8025e-05,4.8025e-05
23,3247.67,1.43158,1.32515,1.62415,0.18106,0.29506,0.12014,0.0479,2.06573,3.23792,2.00488,4.555e-05,4.555e-05,4.555e-05
24,3387.16,1.42978,1.3383,1.62447,0.21227,0.23566,0.13418,0.0534,2.06963,3.17065,2.00936,4.3075e-05,4.3075e-05,4.3075e-05
25,3526.95,1.42688,1.33547,1.62219,0.20283,0.26402,0.12747,0.05051,2.07536,3.24052,2.01542,4.06e-05,4.06e-05,4.06e-05
26,3666.29,1.41209,1.31956,1.60693,0.20701,0.23503,0.12687,0.05084,2.05272,3.21744,1.99546,3.8125e-05,3.8125e-05,3.8125e-05
