time,equity,event,trade_id
2026-08-14 16:00:00+00:00,1000.0,start,
2026-08-14 16:05:00+00:00,1000.0,close,
2026-08-14 16:10:00+00:00,1000.0,close,
2026-08-14 16:15:00+00:00,1000.0,close,
2026-08-14 16:20:00+00:00,1000.0,close,
2026-08-14 16:25:00+00:00,1000.0,close,
2026-08-14 16:30:00+00:00,1000.0,close,
2026-08-14 16:35:00+00:00,1000.0,close,
2026-08-14 16:40:00+00:00,1000.0,close,
2026-08-14 16:45:00+00:00,1000.0,close,
2026-08-14 16:50:00+00:00,1000.0,close,
2026-08-14 16:55:00+00:00,1000.0,close,
2026-08-14 17:00:00+00:00,1000.0,close,
2026-08-14 17:05:00+00:00,1000.0,close,
2026-08-14 17:10:00+00:00,1000.0,close,
2026-08-14 17:15:00+00:00,1000.0,close,
2026-08-14 17:20:00+00:00,1000.0,close,
2026-08-14 17:25:00+00:00,1000.0,close,
2026-08-14 17:30:00+00:00,1000.0,close,
2026-08-14 17:35:00+00:00,1000.0,close,
2026-08-14 17:40:00+00:00,1000.0,close,
2026-08-14 17:45:00+00:00,1000.0,close,
2026-08-14 17:50:00+00:00,1000.0,close,
2026-08-14 17:55:00+00:00,1000.0,close,
2026-08-14 18:00:00+00:00,1000.0,close,
2026-08-14 18:05:00+00:00,1000.0,close,
2026-08-14 18:10:00+00:00,1000.0,close,
2026-08-14 18:15:00+00:00,1000.0,close,
2026-08-14 18:20:00+00:00,1000.0,close,
2026-08-14 18:25:00+00:00,1000.0,close,
2026-08-14 18:30:00+00:00,1000.0,close,
2026-08-14 18:35:00+00:00,1000.0,close,
2026-08-14 18:40:00+00:00,1000.0,close,
2026-08-14 18:45:00+00:00,1000.0,close,
2026-08-14 18:50:00+00:00,1000.0,close,
2026-08-14 18:55:00+00:00,1000.0,close,
2026-08-14 19:00:00+00:00,1000.0,close,
2026-08-14 19:05:00+00:00,1000.0,close,
2026-08-14 19:10:00+00:00,1000.0,close,
2026-08-14 19:15:00+00:00,1000.0,close,
2026-08-14 19:20:00+00:00,1000.0,close,
2026-08-14 19:25:00+00:00,1000.0,close,
2026-08-14 19:30:00+00:00,1000.0,close,
2026-08-14 19:35:00+00:00,1000.0,close,
2026-08-14 19:40:00+00:00,1000.0,close,
2026-08-14 19:45:00+00:00,1000.0,close,
2026-08-14 19:50:00+00:00,1000.0,close,
2026-08-14 19:55:00+00:00,1000.0,close,
2026-08-14 20:00:00+00:00,1000.0,close,
2026-08-14 20:05:00+00:00,1000.0,close,
2026-08-14 20:10:00+00:00,1000.0,close,
2026-08-14 20:15:00+00:00,1000.0,close,
2026-08-14 20:20:00+00:00,1000.0,close,
2026-08-14 20:25:00+00:00,1000.0,close,
2026-08-14 20:30:00+00:00,1000.0,close,
2026-08-14 20:35:00+00:00,1000.0,close,
2026-08-14 20:40:00+00:00,1000.0,close,
2026-08-14 20:45:00+00:00,1000.0,close,
2026-08-14 20:50:00+00:00,1000.0,close,
2026-08-14 20:55:00+00:00,1000.0,close,
