entry_month,arm,trades,total_r
2024-09,v8,1867,10.53029704499409
2024-09,v9,1608,109.78765202895397
2024-10,v8,2453,-515.114551998227
2024-10,v9,1981,-358.86355721452196
2024-11,v8,1908,687.7097614086449
2024-11,v9,1638,821.4820143400851
2024-12,v8,3003,303.31122053196856
2024-12,v9,2514,629.2583359288941
2025-01,v8,2486,442.4593434833066
2025-01,v9,1874,502.76567249784557
2025-02,v8,3038,-701.7458315984442
2025-02,v9,2599,-500.48905456093723
2025-03,v8,3139,-372.567189206058
2025-03,v9,2513,-96.31378297024102
2025-04,v8,2917,620.6187504853486
2025-04,v9,2416,671.7646783178421
2025-05,v8,3397,842.3049883169747
2025-05,v9,3154,1096.5358042812586
2025-06,v8,2654,735.8104006415876
2025-06,v9,2334,946.0532451500114
2025-07,v8,3136,2349.30155663317
2025-07,v9,2742,2494.6204636055977
2025-08,v8,4468,-1144.2531409596927
2025-08,v9,4060,-958.3174998138971
2025-09,v8,5290,-876.294741319074
2025-09,v9,4614,-837.1780051306233
2025-10,v8,4127,-54.554233206151515
2025-10,v9,3368,332.98298011969837
2025-11,v8,3844,324.0468506646181
2025-11,v9,3469,296.0425942579178
2025-12,v8,5036,-1407.417427882754
2025-12,v9,4413,-1212.0373751469529
2026-01,v8,4325,532.6636635057197
2026-01,v9,3536,747.0935137000806
2026-02,v8,3227,-345.68445466079595
2026-02,v9,2838,-394.26517817653894
2026-03,v8,5675,-472.98260440011495
2026-03,v9,5094,-484.0375106750898
2026-04,v8,5559,-724.9208915371303
2026-04,v9,4769,-275.89512526713025
2026-05,v8,4842,-126.13718641160725
2026-05,v9,4267,102.64593875715728
2026-06,v8,4535,-1058.3936758920495
2026-06,v9,3983,-728.2752840417235
2026-07,v8,6348,-1372.7224406573418
2026-07,v9,5553,-935.788925025049
2026-08,v8,5793,989.6360367082564
2026-08,v9,4906,1390.2355562967145
2026-09,v8,1679,-687.3874483367862
2026-09,v9,1611,-601.64079463165
