group,arm,period,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,control_receipts,matched_pairs,unmatched_or_cross_period,paired_target_mean_r,control_mean_r,paired_excess_r,control_win_rate,paired_excess_nominal,blocks,mean_ci_low,mean_ci_high,p_month_signflip
binance,v8,full,60570,60335,235,0.29853318969089254,-0.017683290443700147,-1066.9213289206484,0.9748628108614464,0.9763477995698107,336,4889.968414237879,-1201.5724932398973,60570,60241,329,-0.01731031675401499,-0.06462659048424453,0.047316273730229536,0.2887236267658239,-0.00012467875643643088,25,-0.000623346513782013,0.0995582687565263,0.03948025987006497
binance,v8,earlier,24541,24541,0,0.3116009942545129,0.050642346529087806,1242.8138261703439,1.0731252606893302,1.0146453445052668,133,2227.77703863332,1187.4304577492915,24541,24381,160,0.055356392836474866,-0.044837762118475934,0.1001941549549508,0.2921127107173619,0.0011241410488372053,13,0.001987562225478408,0.1984213722826593,0.0399800099950025
binance,v8,later,35679,35446,233,0.2869717316481408,-0.07776957076825551,-2756.6202054515848,0.8911065136847016,0.9395775782325633,193,3372.1645660588647,-2891.2713697708336,35679,35356,323,-0.07724245807424411,-0.08884968343718849,0.011607225362944366,0.28391220726326505,-0.0008880103007953079,13,-0.026668492280931932,0.061347964735804915,0.36081959020489757
binance,v9,full,52354,52129,225,0.30562642674902646,0.02774460606609517,1446.298569619475,1.0409040142112578,1.0191012007410853,294,3716.368598099859,1311.6474053002262,52354,52044,310,0.028176952042061033,-0.029368324074936773,0.05754527611699781,0.2892936745830451,0.0010557487119155213,25,0.004880368101747758,0.11328344417128737,0.030484757621189407
binance,v9,earlier,21009,21009,0,0.3228140320814889,0.11897003611613338,2499.4414887638463,1.1816659603580293,1.0784407835902006,119,1969.3378614218232,2444.058120342794,21009,20853,156,0.12483116567956035,-0.01153183622274813,0.13636300190230843,0.29113317028724883,0.0030928553329150205,13,0.022270465136860713,0.24280363949723655,0.017991004497751123
binance,v9,later,31014,30791,223,0.291481276996525,-0.04517793720722913,-1391.0738645477923,0.9351984572280571,0.970595291724601,168,2271.072118402783,-1525.7250288670411,31014,30709,305,-0.04455412598870029,-0.05102506911215021,0.006470943123449924,0.28551890325311796,-0.00016643039372756375,13,-0.029189531568710094,0.04062327880358679,0.35932033983008493
gate,v8,full,3352,3336,16,0.3195443645083933,0.11910225348193369,397.3251176157308,1.1772452210454871,1.259763431964423,30,250.38438681483092,329.2069053015056,3352,3322,30,0.11671645263362737,0.259659949435055,-0.14294349680142765,0.3317278747742324,-0.00045525967429306964,25,-0.23592805338786485,-0.05378457960348388,0.9970014992503748
gate,v8,earlier,998,998,0,0.3216432865731463,0.21499811381977066,214.56811759213113,1.3292117931347476,1.3089336726779757,10,159.23242231492665,146.44990527790594,998,992,6,0.22257610708864858,0.4779587458400357,-0.2553826387513871,0.3316532258064516,-0.0037587627051349987,13,-0.4460061035040416,-0.02954739474366413,0.9770114942528736
gate,v8,later,2294,2278,16,0.31913959613696224,0.08198463925511998,186.76100822316332,1.1201176572017646,1.2497034092702073,20,137.38827820820265,147.24100822316166,2294,2264,30,0.07825439322276624,0.16388811001550568,-0.08563371679273943,0.3299469964664311,0.0017628591199245547,13,-0.16652488439228025,0.012327544014698268,0.9390304847576212
gate,v9,full,3001,2986,15,0.3278633623576691,0.14355046635829416,428.64169254586636,1.2167378413510235,1.3032332186669628,27,247.77460613580445,360.5234802316412,3001,2973,28,0.14075939297661033,0.2714683082380646,-0.13070891526145434,0.3363605785401951,0.00038782114836974905,25,-0.21275419888291902,-0.03606246663793531,0.9845077461269365
gate,v9,earlier,893,893,0,0.3404255319148936,0.25488457858367813,227.6119286752246,1.4040736519188146,1.3866340623557136,8,125.86577455773313,159.49371636099943,893,887,6,0.263629435529913,0.4607017595236053,-0.19707232399369237,0.33258173618940245,0.0002473816005145193,13,-0.3581825264066,0.028292227504070747,0.9565217391304348
gate,v9,later,2050,2035,15,0.32334152334152333,0.10125638893880613,206.05675149047048,1.1492976547045781,1.2765592355912918,19,136.85592556464712,166.53675149046882,2050,2022,28,0.09688067965581927,0.19077112637473656,-0.09389044671891733,0.3367952522255193,0.001240574004672856,13,-0.1839073584089504,0.02411378206435337,0.9270364817591205
okx,v8,full,31269,31075,194,0.3022365245374095,-0.04351365204623393,-1352.1867373367195,0.9402953580491479,1.0076610897448859,166,3420.0969365468777,-1456.6309592366472,31269,31017,252,-0.042812855705219276,-0.11495214131841991,0.07213928561320063,0.28223232420930455,0.0010838278908054373,25,0.0201612954966257,0.13704890487792717,0.00849575212393803
okx,v8,earlier,11034,11034,0,0.32318288925140476,0.058373918177335136,644.0978131687159,1.0816092316222137,1.1049707032170442,55,1138.5252611725464,592.2237635819389,11034,10978,56,0.0629851102600191,-0.039825929507483156,0.10281103976750225,0.2905811623246493,0.002420383498078285,13,-0.0027909328685357853,0.22794393993736178,0.05297351324337831
okx,v8,later,20077,19883,194,0.287984710556757,-0.11364499550957571,-2259.603445716894,0.8463560782600059,0.9312760787568651,106,2748.6900848635682,-2364.047667616822,20077,19826,251,-0.11274641156812995,-0.17000484570229707,0.05725843413416715,0.27539594471905576,0.0004523037805060329,13,0.006047201977747945,0.11903758969535128,0.027486256871564217
okx,v9,full,26927,26739,188,0.3128763229739332,0.03303138092158872,883.2260944623608,1.0487576769039322,1.0670135420000233,141,2079.912242188847,778.7818725624331,26927,26686,241,0.03388918409495035,-0.060742726281493666,0.09463191037644401,0.2847560518623998,0.002439357596149586,25,0.03278407722065611,0.1613722260274507,0.005497251374312844
okx,v9,earlier,9393,9393,0,0.33908229532630685,0.1656430330495346,1555.8850094342783,1.2587170114982429,1.1843253538898173,49,841.5109983475124,1504.0109598475012,9393,9336,57,0.17153349324467076,-0.004022836700603298,0.1755563299452741,0.29327335047129394,0.004663000259084093,13,0.04633047025656506,0.3300685331283644,0.012993503248375811
okx,v9,later,17383,17195,188,0.29584181448095376,-0.05258331996262568,-904.1701867573486,0.924983156987439,0.9806321578556043,88,1783.472746500926,-1008.6144086572763,17383,17143,240,-0.051507718393667884,-0.10568699063588462,0.05417927224221674,0.2777226856442863,0.0014098584221805227,13,-0.0039078934792689405,0.10438941302876922,0.054972513743128434
