timeframe_min,null_iterations,removed_net_r,random_removed_mean_r,selection_extra_saved_r,p_matched_deletion,forced_rejections,movable_rejections,null_identified,p_bonferroni_3
30,2000,-1624.5971846689808,-1368.713485199363,255.8836994696178,0.0009995002498750624,2777,2790,True,0.0029985007496251873
60,2000,-1114.0213165006412,-998.9242610318086,115.09705546883265,0.0034982508745627187,1686,766,True,0.010494752623688156
240,2000,-196.5470444922777,-194.31290007690998,2.234144415367723,0.3773113443278361,412,82,True,1.0
