group,arm,period,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,control_receipts,matched_pairs,unmatched_or_cross_period,paired_target_mean_r,control_mean_r,paired_excess_r,control_win_rate,paired_excess_nominal,blocks,mean_ci_low,mean_ci_high,p_month_signflip
30,v8,full,57801,57575,226,0.29610073816760746,-0.023915796628461473,-1376.9519908836694,0.9668423812290327,0.9809060256086723,330,6096.176625029487,-1511.6031552029183,57801,57501,300,-0.02381358514361335,-0.1130451134579818,0.08923152831436845,0.28081250760856336,0.0009520292893347171,25,0.019757290803853744,0.1609672151098329,0.011494252873563218
30,v8,earlier,21911,21911,0,0.3215279996348866,0.12872774208247342,2820.553556769075,1.1841217455552546,1.1435475142973315,132,1916.4738266586037,2765.1701883480227,21911,21821,90,0.13128040993060364,-0.04400736911755766,0.1752877790481613,0.28981256587690757,0.0037272643178349247,13,0.06115317478630837,0.31240159189407346,0.005497251374312844
30,v8,later,35829,35605,224,0.2798202499648926,-0.12050649589901528,-4290.633786484439,0.8362016472741859,0.870806396284212,194,4875.524979669901,-4425.284950803688,35829,35534,295,-0.12050947531492187,-0.15872838214704008,0.03821890683211818,0.2742162435976811,-0.0007056311630927583,13,-0.033895002627592985,0.10965089841146741,0.17841079460269865
30,v9,full,49162,48937,225,0.3018779246786685,0.025005683089758,1223.7031133634873,1.036116063398748,1.0197078635807508,281,4638.2353168457175,1089.0519490442384,49162,48866,296,0.02513325666239068,-0.0710799733580883,0.09621323002047898,0.2810952400442025,0.001922371784479538,25,0.016046474925519957,0.1838922856916988,0.012993503248375811
30,v9,earlier,18299,18299,0,0.332641127930488,0.2131898718220991,3901.161464472591,1.3271370668366704,1.219892505833818,116,1531.186200813309,3845.778096051539,18299,18209,90,0.2165798197231144,-0.014601914385247177,0.2311817341083616,0.2891427316162337,0.0058080546053985715,13,0.08958412765838276,0.40070267806095544,0.005497251374312844
30,v9,later,30801,30578,223,0.28271960232847143,-0.0901945435518788,-2757.96875272935,0.8743082495469862,0.8902761251760268,163,3496.226970551769,-2892.619917048599,30801,30509,292,-0.0901863030665883,-0.10792391723854798,0.01773761417195969,0.27513192828345734,-0.00033655485968435217,13,-0.053599158488237084,0.07503849869800643,0.30184907546226886
60,v8,full,28614,28473,141,0.3063604116180241,-0.039887190433327425,-1135.7079732081318,0.9429486651255415,0.9400542106586252,144,2048.9667536398506,-1200.5351142337727,28614,28423,191,-0.03937684565354165,-0.0702443878438866,0.03086754219034494,0.2904338036097527,-0.000292559591915963,25,-0.03245940663197001,0.10063415993352748,0.19590204897551225
60,v8,earlier,11165,11165,0,0.30353784146887597,-0.09893750427168868,-1104.6372351934042,0.858968282326423,0.8471337055004038,38,1426.1643903364863,-1142.6643299946275,11165,11084,81,-0.09367286128855999,-0.08676576056961055,-0.006907100718949438,0.28897509924215087,-0.00274666218741311,13,-0.10282508001886642,0.114180361108792,0.5272363818090955
60,v8,later,17192,17051,141,0.30133130021699606,-0.03952931249222723,-674.0143073049665,0.9439233125373685,0.9760738584385354,95,2048.9667536398524,-738.8414483306072,17192,17003,189,-0.038627269231012167,-0.08529865097997467,0.046671381748962515,0.2875374933835206,0.0010441045341494446,13,-0.03270402506598279,0.13641979159306722,0.1664167916041979
60,v9,full,25150,25016,134,0.3181164055004797,0.02479495593003745,620.2706175458169,1.0376872152611938,0.988385572805851,126,1445.9416961232266,569.1719209166029,25150,24967,183,0.025462215934673234,-0.035413901132472704,0.06087611706714595,0.2923058437137021,0.0011591682296701088,25,-0.015459516770229062,0.1455354815346329,0.08945527236381809
60,v9,earlier,9868,9868,0,0.31738954195379004,-0.02544705606293863,-251.11154922907838,0.9609954191995507,0.8934344049815378,34,1150.8515635348108,-289.1386440303017,9868,9788,80,-0.01901146006058577,-0.05917136926600845,0.0401599092054227,0.28810788720882713,-0.0009268333778643994,13,-0.0773036012712022,0.1751627568894114,0.2698650674662669
60,v9,later,15047,14913,134,0.312009656004828,0.023867637683214756,355.93808076978166,1.0357184046072028,1.0298547766276487,83,1445.9416961232262,304.83938414056763,15047,14866,181,0.02503145216181223,-0.04440657719574049,0.06943802935755271,0.29126866675635676,0.0023690327716269174,13,-0.035893719144243726,0.18765546317611662,0.13543228385807096
240,v8,full,8776,8698,78,0.31030121867095883,0.056435619159595656,490.877015450163,1.0832093776823501,1.1575956461911556,58,1015.7255254684363,422.75880313593785,8776,8656,120,0.058402028883437145,0.2195832546236885,-0.16118122574025132,0.3289048059149723,-0.0025223279575305583,25,-0.23693537694544692,-0.06749691945386758,0.9955022488755623
240,v8,earlier,3497,3497,0,0.31455533314269374,0.1102554862326337,385.5634353555201,1.161431300926563,1.1958541421530318,28,495.0839867129743,317.4452230412949,3497,3446,51,0.12637563024933826,0.2512283909452678,-0.12485276069592947,0.3232733604178758,-0.00018533680907706964,13,-0.26113790644602647,0.052488534576934295,0.9150424787606197
240,v8,later,5029,4951,78,0.30781660270652395,0.027304675993554576,135.1854508440887,1.0402064351601996,1.1534276577141145,30,513.183302076508,94.9295030302664,5029,4909,120,0.03052279433875689,0.1934700542679889,-0.16294725992923204,0.32837645141576693,-0.00226461927885558,13,-0.27020589103970355,-0.051465467374916765,0.9800099950024987
