asset,v8,v9,delta_r
USDC,-2150.290112526523,0.0,2150.290112526523
AVAX,-107.23714781954868,-64.18134071893097,43.05580710061771
LINK,28.070869234340698,68.89968021938691,40.82881098504621
ENJ,-26.22840362544697,9.371378029764571,35.599781655211544
ETHW,76.28675973621507,110.76033945450814,34.47357971829307
ETHFI,-63.72094755521122,-29.516908378336264,34.20403917687496
AUCTION,-67.00221922785065,-34.63770977978463,32.364509448066016
ETH,21.075845527707756,52.46226125913768,31.38641573142992
SNX,-78.61108504665674,-47.395096152224745,31.215988894431995
YGG,32.65701553328738,63.78765567029335,31.13064013700597
NEIRO,20.772671490942006,50.39529349839928,29.622622007457277
ETC,-118.78034353120819,-89.72627504184629,29.054068489361896
ZEN,-47.547255647008825,-19.09154464014081,28.455711006868015
AGLD,-40.70670087378564,-13.278909854170392,27.42779101961525
BRETT,-26.911400613771757,0.25205149770549595,27.163452111477252
RVN,-67.38471073616225,-40.46160826710023,26.923102469062016
YFI,-56.406341453695966,-29.505183845104316,26.90115760859165
MAGIC,52.35406972392521,78.21194795735914,25.857878233433937
MEW,-73.27818034960407,-47.430362935650486,25.847817413953585
ACT,42.928843216697956,68.32437640720217,25.39553319050421
RIF,-19.025027765754317,6.102732548898925,25.12776031465324
ICX,-40.37065898635568,-16.26595475300987,24.10470423334581
FIDA,-0.6482112455096118,23.443242487671544,24.091453733181154
JTO,-8.114278111498745,15.742503042061825,23.85678115356057
MUBARAK,-25.529844932168675,-2.0228280972693806,23.507016834899296
WIF,6.092536472594441,29.173739631776023,23.081203159181584
ONE,-1.37620531969129,21.005301310861498,22.38150663055279
LPT,-61.97494463197707,-40.057787102711195,21.91715752926587
LINEA,-30.6103030845078,-8.946546750448174,21.663756334059627
PLUME,2.9166001270643003,24.397866630104286,21.481266503039986
LTC,-59.03163755832724,-37.76830669335207,21.263330864975167
BCH,-28.328806752743446,-7.2065312483385435,21.122275504404904
CRV,-33.64737693373032,-12.592347600556376,21.055029333173945
ADA,83.44437489808308,104.15244751665449,20.708072618571407
ARB,81.92768580024337,101.81373570068969,19.886049900446324
OP,3.6724338176798046,23.489160004973765,19.81672618729396
MASK,-40.28830774948651,-20.475326909294687,19.812980840191827
XVS,-23.537502554568665,-3.7915107810830806,19.745991773485585
BIGTIME,-38.128884029351696,-18.72764996162117,19.401234067730524
MOVR,62.58105884290552,81.85924725975167,19.27818841684615
SKY,-42.91040060086073,-23.64609914110913,19.264301459751604
TRUST,-41.2241921433752,-22.03465107369188,19.18954106968332
HUMA,-27.64157349088415,-8.476767086982765,19.164806403901384
SAPIEN,-15.58031196304074,3.5305210779968474,19.110833041037587
COMP,-58.7224713043143,-39.91751735270131,18.804953951612987
BIO,22.42373995486499,41.00529813683826,18.581558181973275
