state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,849,849,-22.455271256085556,-2.4552712560855485,129,720,67,276,60.0,89.77620730270907,38,0,102,38,-0.23351767647181962,0
opposite,0,0,,,0,0,0,0,,,0,0,0,0,,0
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
