primary_loss_reason,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
cost_flip,23,-11.598225673573253,-13.079147271086704,-266.7591904921848,0.0,False,0.0,23,0
early_reversal,10,-69.10453227251499,-72.71078595470324,-691.04532272515,0.0,False,0.0,10,0
giveback,14,-32.183562451135096,-29.981292069052294,-450.5698743158913,0.0,False,0.0,14,0
hard_stop,23,-122.63746766786838,-78.45392517057846,-2820.6617563609725,0.0,False,0.0,23,0
other_loss,144,-60.92066330432921,-52.7716761671909,-8772.575515823406,0.0,False,0.0,144,0
