arm,common_events,removed_events,added_events,avoided_loss_r,foregone_profit_r,new_entry_net_r,serial_delta_r,v9_10r,retained_10r
v10_now,7830,54068,1303,36119.71903631609,38930.30709424408,278.88144205386095,-2531.7066158741195,306,32
v10_a12,23883,38015,2394,25329.93815135205,26581.00733952116,536.4109998252868,-714.65818834382,306,135
v10_a48,35718,26180,2251,17426.298552953715,17961.550723889748,342.9673930310665,-192.284777904961,306,192
v10_a200,53037,8861,668,5857.50500435373,6282.319609940321,85.43799969608182,-339.376605890509,306,263
