group,arm,period,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,control_receipts,matched_pairs,unmatched_or_cross_period,paired_target_mean_r,control_mean_r,paired_excess_r,control_win_rate,paired_excess_nominal,blocks,mean_ci_low,mean_ci_high,p_month_signflip
30,v9,full,36355,36294,61,0.3091971124703808,0.06110205406825651,2217.6379503533017,1.0898448145778366,1.0584381080876384,184,3325.202519871889,2082.986786034053,36355,36246,109,0.062025873427297915,-0.04538598992359755,0.10741186335089548,0.2872041052805827,0.002335726105521533,21,0.003126553330693347,0.23515702360438498,0.02848575712143928
30,v9,earlier,18299,18299,0,0.332641127930488,0.2131898718220991,3901.161464472591,1.3271370668366704,1.219892505833818,116,1531.186200813309,3845.778096051539,18299,18209,90,0.2165798197231144,-0.014601914385247177,0.2311817341083616,0.2891427316162337,0.0058080546053985715,13,0.08958412765838276,0.40070267806095544,0.005497251374312844
30,v9,later,17994,17935,59,0.28402564817396153,-0.09835706248896213,-1764.0339157395358,0.8615660805552663,0.8883523882185577,66,2183.194173577962,-1898.6850800587847,17994,17889,105,-0.09678941428123904,-0.08185574395915005,-0.014933670322088985,0.2833025881826821,-0.0010926180006570248,9,-0.13218872818800997,0.07817050025921131,0.6046976511744128
30,v10_now,full,5317,5302,15,0.32723500565824215,0.1272588090038331,674.7262053383231,1.199701021097097,1.0983484182219698,21,314.40351520568663,589.7396925178102,5317,5299,18,0.1279575609380462,-0.07791243466463779,0.20586999560268401,0.27590111341762596,0.0040662410586068416,21,0.07580188700533348,0.36338083648741976,0.0034982508745627187
30,v10_now,earlier,2809,2809,0,0.3549305802776789,0.27962389753940214,785.4635281881806,1.4655568942216557,1.2544247500674561,15,188.05048443887554,730.0801597671282,2809,2800,9,0.2818202082197374,-0.07950356488182606,0.36132377310156344,0.2739285714285714,0.007745244376850388,13,0.15180018714037177,0.5858619821963253,0.00399800099950025
30,v10_now,later,2498,2483,15,0.29359645590012085,-0.05758969564952276,-142.99521429776502,0.9154121259398592,0.9157318302038671,5,314.4035152056864,-227.9817271182779,2498,2480,18,-0.056320283961847295,-0.08335486812366219,0.0270345841618149,0.27580645161290324,-0.00019277965395488137,9,-0.09510728941756212,0.13017282063929517,0.33683158420789605
30,v10_a12,full,15343,15307,36,0.3220095381198145,0.12105046842492583,1852.9195201803395,1.1802858935322043,1.1160224819267432,91,1121.2728299810078,1767.9330073598267,15343,15282,61,0.12192640470021979,-0.03506474353415407,0.15699114823437388,0.28373249574663,0.0033211164721611507,21,0.029603097192434837,0.3139003965992486,0.01249375312343828
30,v10_a12,earlier,7823,7823,0,0.35472325194938004,0.3211501252224145,2512.3574296149486,1.5067257097063207,1.3363392031605188,66,559.175005519256,2456.9740611938964,7823,7789,34,0.3248329692890954,-0.0034388211418144867,0.32827179043090987,0.2870715111054051,0.007609688423598491,13,0.15568803004923337,0.5280496197528056,0.0024987506246876563
30,v10_a12,later,7480,7445,35,0.2847548690396239,-0.09762786974838439,-726.8394902767218,0.8632828254609131,0.8828505186658734,24,784.8794650344713,-811.8260030972347,7480,7422,58,-0.09626683001398165,-0.07837968646319997,-0.01788714355078166,0.2772837510105093,-0.0011328383443250224,9,-0.1382708677257342,0.09680920155192699,0.5857071464267866
30,v10_a48,full,22337,22292,45,0.3213708953884802,0.11256586249607912,2509.3182067625958,1.1674381461751508,1.1177614049068592,118,1657.7195735349828,2424.331693942083,22337,22260,77,0.11363034590603507,-0.033131609784326915,0.146761955690362,0.2853099730458221,0.0032759640743599606,21,0.033176064264437026,0.28574832403464334,0.011494252873563218
30,v10_a48,earlier,11405,11405,0,0.354318281455502,0.29843753026170083,3403.680032634698,1.471045407740981,1.3361435382095197,80,768.5637453652694,3348.2966642136457,11405,11348,57,0.30184746646067734,-0.002364153927815435,0.3042116203884928,0.287539654564681,0.007653281009922796,13,0.15225792483212924,0.47470281903242956,0.0014992503748125937
30,v10_a48,later,10882,10838,44,0.2844620778741465,-0.08998546633015367,-975.2624840862054,0.8742253690129885,0.8865085218666406,37,1190.720690782462,-1060.2489969067183,10882,10808,74,-0.08819225661694388,-0.07134934597448339,-0.016842910642460504,0.28053293856402667,-0.0012770745682343949,9,-0.14095351263683406,0.10458852363939654,0.5962018990504747
30,v10_a200,full,31576,31521,55,0.3115383395196853,0.06257381155021265,1972.3891138742529,1.0920989239589776,1.0551340896470829,159,2857.724829217722,1887.40260105374,31576,31481,95,0.06347431299051383,-0.04052287138606209,0.1039971843765759,0.28731615895301926,0.0020964349491859077,21,-0.0004860464848698187,0.2372907736068311,0.02848575712143928
