led_by,bucket,trades,net_r,mean_net_r,gross_r,win_rate,median_price_move_atr,median_line_drop_atr
line,age_0,2649,234.2792608402636,0.08844064206880467,384.7902732968568,0.3152132880332201,0.2749250564522926,2.7693996591167713
line,age_1_3,3352,429.62925753938,0.128171019552321,649.344909403993,0.3201073985680191,0.33477589617643067,2.742252155254473
line,age_4_12,4001,427.01575033067473,0.1067272557687265,736.6178320292852,0.32141964508872783,0.1568210469127983,2.633538643678059
line,age_13_48,5835,659.7799455204753,0.11307282699579696,1049.5325102757397,0.3086546700942588,0.0942781464022561,2.6677926836696018
line,age_49_200,6038,-99.61582755908708,-0.01649814964542681,308.70059697567837,0.28684995031467375,0.1104790282128363,2.7169796390317886
line,age_gt_200,2619,361.79076689758233,0.13814080446643082,539.7656907923559,0.3142420771286751,0.0773666510541039,2.71628911288131
no_break,no_break,418,-74.30929583578946,-0.17777343501385037,-50.86229253898323,0.27751196172248804,1.970018537989995,0.5372926476518101
price,age_0,5129,355.0895793668417,0.06923173705729024,646.6644630729196,0.3218951062585299,2.436486263556965,0.5048376541542996
price,age_1_3,5261,247.82207929982974,0.04710550832538106,573.4330259117512,0.3261737312298042,2.186072710523317,0.6026207604986377
price,age_4_12,3354,453.1509117494305,0.1351076063653639,704.5767503550874,0.3261776982707215,1.9222361920519155,0.6236399291324386
price,age_13_48,5931,51.763120244099596,0.008727553573444544,426.1598605903353,0.3243972348676446,2.065372055540313,0.559498033543661
price,age_49_200,11177,211.215723117319,0.018897353772686677,974.9115801824048,0.31359040887536904,2.18201579706935,0.4412352187496466
price,age_gt_200,5766,142.34562662406557,0.02468706670552646,524.1004123080057,0.30922650017343045,2.238338962883923,0.4053963148362587
