timeframe_min,side,led_by,crossings,median_price_move_atr,median_line_drop_atr,median_bars_held
30,-1,line,60838,0.0617626534484648,2.595619441853104,49.0
30,-1,price,93971,2.071032488291683,0.4425643764638505,12.0
30,1,line,77951,-0.1138946834635413,2.998416722952259,42.0
30,1,price,85565,2.0485448997236113,0.4927226880339052,11.0
60,-1,line,30635,0.0116854997634306,2.64216960681621,52.0
60,-1,price,48173,2.138792561297531,0.4395973014640763,12.0
60,1,line,42541,-0.1569012925081637,3.0446763484716017,38.0
60,1,price,42468,2.0576550790962562,0.49734918739950107,10.0
240,-1,line,9684,0.1720626875112952,2.3988147022016375,51.0
240,-1,price,15885,2.1262628850954677,0.4818651732921559,14.0
240,1,line,16900,-0.31803149505122474,3.355179652697818,32.0
240,1,price,13431,2.0683866455409543,0.5320674683884368,9.0
