entry_month,arm,trades,total_r
2024-09,v10_a12,526,134.04569439449293
2024-09,v10_a200,1065,97.04480879210222
2024-09,v10_a48,807,136.58030816783386
2024-09,v10_now,169,64.44372918380832
2024-09,v9,1608,109.78765202895397
2024-10,v10_a12,852,-126.04457547447613
2024-10,v10_a200,1744,-353.81407794182854
2024-10,v10_a48,1256,-268.84830550643716
2024-10,v10_now,305,-39.784536224427114
2024-10,v9,1981,-358.86355721452196
2024-11,v10_a12,730,456.0740133553992
2024-11,v10_a200,1464,700.0834489851761
2024-11,v10_a48,1065,610.7102335727476
2024-11,v10_now,295,172.51213593714562
2024-11,v9,1638,821.4820143400851
2024-12,v10_a12,1123,576.3938425352658
2024-12,v10_a200,2179,611.7172031879842
2024-12,v10_a48,1612,784.8318179027341
2024-12,v10_now,508,182.87287971691387
2024-12,v9,2514,629.2583359288941
2025-01,v10_a12,886,241.38587912350135
2025-01,v10_a200,1685,511.77220840498813
2025-01,v10_a48,1237,346.4697276945546
2025-01,v10_now,290,110.03128662551768
2025-01,v9,1874,502.76567249784557
2025-02,v10_a12,1332,-177.29606073921167
2025-02,v10_a200,2322,-430.0092381573972
2025-02,v10_a48,1765,-279.0789166495718
2025-02,v10_now,395,-148.21587641954866
2025-02,v9,2599,-500.48905456093723
2025-03,v10_a12,1157,-60.92936222127877
2025-03,v10_a200,2260,-26.065118526023507
2025-03,v10_a48,1634,6.926001757187493
2025-03,v10_now,381,33.072838040138656
2025-03,v9,2513,-96.31378297024102
2025-04,v10_a12,1026,458.89738410897723
2025-04,v10_a200,2068,769.4585380072592
2025-04,v10_a48,1561,642.9167516451273
2025-04,v10_now,329,171.53367814103643
2025-04,v9,2416,671.7646783178421
2025-05,v10_a12,1182,418.8038978163769
2025-05,v10_a200,2784,837.4290362271174
2025-05,v10_a48,1775,564.0453663148429
2025-05,v10_now,421,126.2763551560597
2025-05,v9,3154,1096.5358042812586
2025-06,v10_a12,981,218.85540340496976
2025-06,v10_a200,1985,760.762241389296
2025-06,v10_a48,1446,446.66142867030266
2025-06,v10_now,325,68.32704273841024
2025-06,v9,2334,946.0532451500114
2025-07,v10_a12,1254,1357.6953577881557
2025-07,v10_a200,2505,2239.359687982227
2025-07,v10_a48,1793,1645.8416352484649
2025-07,v10_now,407,443.1235106248856
2025-07,v9,2742,2494.6204636055977
2025-08,v10_a12,1608,-89.76100459730823
2025-08,v10_a200,3408,-727.3937228377127
2025-08,v10_a48,2290,-303.7867387110608
2025-08,v10_now,753,-144.28027348210446
2025-08,v9,4060,-958.3174998138971
2025-09,v10_a12,1615,-64.45595966785623
2025-09,v10_a200,3973,-697.3958596074657
2025-09,v10_a48,2525,-236.3670617674828
2025-09,v10_now,549,-43.80939781534683
2025-09,v9,4614,-837.1780051306233
2025-10,v10_a12,1882,227.8031365791696
2025-10,v10_a200,3055,264.227090227581
2025-10,v10_a48,2453,397.0611278980102
2025-10,v10_now,683,268.20587192286587
2025-10,v9,3368,332.98298011969837
2025-11,v10_a12,1457,174.61464047753427
2025-11,v10_a200,3060,234.09074792207898
2025-11,v10_a48,2171,257.4194924640621
2025-11,v10_now,478,77.31635084406328
2025-11,v9,3469,296.0425942579178
2025-12,v10_a12,1778,-451.7562414688932
2025-12,v10_a200,3844,-1142.0355816072308
2025-12,v10_a48,2609,-746.0166982367849
2025-12,v10_now,630,-109.01221290197401
2025-12,v9,4413,-1212.0373751469529
2026-01,v10_a12,1402,151.75990144189868
2026-01,v10_a200,3064,601.1184811325429
2026-01,v10_a48,2135,133.13952987751208
2026-01,v10_now,471,33.851660711764204
2026-01,v9,3536,747.0935137000806
2026-02,v10_a12,1222,-221.11693861124837
2026-02,v10_a200,2540,-314.5140013569374
2026-02,v10_a48,1801,-350.5362061199011
2026-02,v10_now,350,-114.32182734247628
2026-02,v9,2838,-394.26517817653894
2026-03,v10_a12,2149,-263.5947576416943
2026-03,v10_a200,4300,-457.2181812337051
2026-03,v10_a48,3015,-299.4483566366508
2026-03,v10_now,673,-213.98052681902786
2026-03,v9,5090,-485.054259936139
2026-04,v10_a12,1842,-216.15781525246794
2026-04,v10_a200,3865,-317.09386346201507
2026-04,v10_a48,2628,-217.74920669123284
2026-04,v10_now,631,-62.110561211540805
2026-04,v9,4526,-303.1896801760131
2026-05,v10_a12,120,-59.917725560041205
2026-05,v10_a200,213,-100.94355528346077
2026-05,v10_a48,159,-63.09981066413291
2026-05,v10_now,27,-7.8018451651972285
2026-05,v9,243,-102.72166296723525
