fold,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p
2024H1,4,4,-419.71315480617375,-439.71315480617375,-432.2347348449407,0.0,0.0,-0.9978051041414854,5.0,-317.1231957262127,-310.6911115620375,0.0,0.25,0.25,1,-583.6920379727761,3,1.0
2024H2,13,12,-572.2804597469863,-592.2804597469863,-524.2020744316989,0.0,0.0,-0.9441193710070501,4.0,-347.1701972108324,-342.16332240711745,0.0,0.38461538461538464,0.46153846153846156,2,-655.9100365294363,5,1.0
2025H1,6,5,-251.8911589526408,-271.8911589526408,-397.32935493204667,0.16666666666666666,0.38460448074703407,-0.6521958114245091,4.0,704.3561709302778,1019.5448754871876,0.2,0.16666666666666666,0.16666666666666666,1,-926.2711603976792,6,0.8307692307692308
