symbol,path,source_rows_read,source_prefix_sha256,source_days_seen,complete_days,discarded_days,discarded_wrong_count,discarded_duplicate,discarded_off_grid,first_daily_bar,last_daily_bar,daily_prefix_sha256,eligible_minimum_history,phase_source_status,holdout_rows_read
NEAR,data/kline_deep/okx_NEAR_USDT_SWAP_15m_158499.csv,69824,ac8dff8cfc24c632f004d457a574fe95e8638c0129fa48af8f766d4aed924f89,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,26b7fa599b12d2aa7d4d4a366e64c35895ec65ca9488211c3b97d66cd136049d,True,eligible,0
OKB,data/kline_deep/okx_OKB_USDT_SWAP_15m_29915.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
ONDO,data/kline_deep/okx_ONDO_USDT_SWAP_15m_67705.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
OP,data/kline_deep/okx_OP_USDT_SWAP_15m_144244.csv,55569,9cea3c73951068c19e1f3353849036ede7f978e34fa0528aae62596fd153028d,579,578,1,1,0,0,2022-06-02 00:00:00+00:00,2023-12-31 00:00:00+00:00,c45bdde95f75959cd516ac3cd13601c0702b531726a344d8c77792dfe2a30184,True,eligible,0
ORDI,data/kline_deep/okx_ORDI_USDT_SWAP_15m_110236.csv,21561,cc9625b9d484b3e6a7ee3627080bdc6abeb200d33bfde6a7d39857c1dcbaec75,225,224,1,1,0,0,2023-05-22 00:00:00+00:00,2023-12-31 00:00:00+00:00,158701371051d339b8e2f9cef32f822fed87d21659fcd20251ccf21f0cc73afd,True,eligible,0
PENGU,data/kline_deep/okx_PENGU_USDT_SWAP_15m_54916.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
PEPE,data/kline_deep/okx_PEPE_USDT_SWAP_15m_111988.csv,23313,e2f7291b04bb13021ec76ca117bacc455dc11c4ac9d188029bc4255fc2e1c706,243,242,1,1,0,0,2023-05-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,129309429562e14e55774584f5fc0bf44d4a9a72e8d126ae1b6a2203bc157e03,True,eligible,0
PI,data/kline_deep/okx_PI_USDT_SWAP_15m_48704.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
POL,data/kline_deep/okx_POL_USDT_SWAP_15m_63010.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
SAND,data/kline_deep/okx_SAND_USDT_SWAP_15m_158499.csv,69823,b72ae82bbe37bb531843c67355f3ae1d51f7d391af81f40e2fb9123994d74061,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,dd00530f96b3be7998bf5c853301ba9866bd780317e82a7a7551bac37d74a543,True,eligible,0
SHIB,data/kline_deep/okx_SHIB_USDT_SWAP_15m_158499.csv,69823,3c893b5a02a7cfd6aa243a5b7b4f2de22a4e29dd855f672d5f6a5d5ee12a8000,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,e0432ea432244a7fc87045c478a618f68a3c52dffb36cfe7f7157f22d75daabd,True,eligible,0
SOL,data/kline_deep/okx_SOL_USDT_SWAP_15m_158499.csv,69823,38c8df05e1c3c6bb50ad1ef8db8fea0d6c2a0758cdb441d1d9c049e98213f0d0,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,ab252bda8b3fee10e487070f1519978e98ebb7267dcbc7a6a132d9271c0fa5de,True,eligible,0
SUI,data/kline_deep/okx_SUI_USDT_SWAP_15m_111797.csv,23121,3f9086684217a4acfe4d8768336ade8c190361cf3a6608a7da4a2fc79a19d552,241,240,1,1,0,0,2023-05-06 00:00:00+00:00,2023-12-31 00:00:00+00:00,e8147123831975ed5c393d6b0c6a76dc4fecf53e428c4604c4b904049a591aa3,True,eligible,0
TIA,data/kline_deep/okx_TIA_USDT_SWAP_15m_94555.csv,5879,35efac458bdfe1318442bddbfc1ea9d47d847b7dc04f8179962e352019c54644,62,61,1,1,0,0,2023-11-01 00:00:00+00:00,2023-12-31 00:00:00+00:00,e1dbc9c1d2f96bb57e89a2b4aa309f76fe925a84c98acdea8e5e67b4a7de1a49,False,insufficient_history,0
TRUMP,data/kline_deep/okx_TRUMP_USDT_SWAP_15m_51790.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
TRX,data/kline_deep/okx_TRX_USDT_SWAP_15m_158499.csv,69822,afcbcf7733633d0cea40c3474092e8339f2cacd4b4a7facefe070ee89d11a40d,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,edc09dbbdd0b2d24a74709875c0bf1280e4fc1cc700938957633cf8af6f76327,True,eligible,0
UNI,data/kline_deep/okx_UNI_USDT_SWAP_15m_158499.csv,69822,51a0e5dbf87065819d1cab9f8ecf285b7b5c618c1b61f315ef031c32629425bc,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,2cdcb401b7659232b02c4eb6d40509f26d9915d812bdec8c829d0432715b62dd,True,eligible,0
VIRTUAL,data/kline_deep/okx_VIRTUAL_USDT_SWAP_15m_55517.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
WLD,data/kline_deep/okx_WLD_USDT_SWAP_15m_104087.csv,15409,389fcf0d9f4405b7482d5c54147bb503ea053784e5cf646bb2a46e644e72ea79,161,160,1,1,0,0,2023-07-25 00:00:00+00:00,2023-12-31 00:00:00+00:00,1e684735215951d9789f6f257d52a0d52838eeefb63e90a19b143dde3581a206,True,eligible,0
XLM,data/kline_deep/okx_XLM_USDT_SWAP_15m_158499.csv,69821,a419849652c2550ad6e33397ad32e884b1056f1062835afb9ad64f8ae4f1fc3e,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,0d4011e220965bc0c98bfc37ea5bb627e3a69fe4fece36b3fcff9ae3665d5808,True,eligible,0
XRP,data/kline_deep/okx_XRP_USDT_SWAP_15m_158499.csv,69821,47fd39e8e82ede7c1485d6776ecff7842f66e061ef312d877d9685794672d979,728,727,1,1,0,0,2022-01-04 00:00:00+00:00,2023-12-31 00:00:00+00:00,2a51f57904c27d5f7456ea31ea31152574584b4f440d04c5fe3ddb12b3d9b5c1,True,eligible,0
ZEC,data/kline_deep/okx_ZEC_USDT_SWAP_15m_23866.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
ZK,data/kline_deep/okx_ZK_USDT_SWAP_15m_72422.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
ZRO,data/kline_deep/okx_ZRO_USDT_SWAP_15m_72214.csv,0,,0,0,0,0,0,0,,,,False,not_listed_yet,0
