symbol,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p
APE,2,1,-597.4611457606538,-617.4611457606538,-617.4611457606538,0.0,0.0,-1.041588238921313,8.0,-379.9606199669501,-353.57167265653857,0.0,0.0,0.0,1,-881.3506188647691,2,1.0
ARB,1,1,-439.94644740708816,-459.94644740708816,-459.94644740708816,0.0,0.0,-0.8363680627364973,5.0,-459.94644740708816,-459.94644740708816,0.0,1.0,1.0,1,-459.94644740708816,1,1.0
ATOM,1,1,-668.7520162008087,-688.7520162008087,-688.7520162008087,0.0,0.0,-1.0299064518917207,18.0,-688.7520162008087,-688.7520162008087,0.0,0.0,0.0,1,-688.7520162008087,1,1.0
BCH,1,1,1039.5448754871877,1019.5448754871876,1019.5448754871876,1.0,inf,1.3445532915335756,32.0,1019.5448754871876,1019.5448754871876,1.0,1.0,1.0,1,1019.5448754871876,1,0.6666666666666666
CHZ,1,1,-490.8977970333428,-510.89779703334284,-510.89779703334284,0.0,0.0,-1.0407416780455478,4.0,-510.89779703334284,-510.89779703334284,0.0,0.0,0.0,1,-510.89779703334284,1,1.0
DOGE,1,1,-563.6920379727761,-583.6920379727761,-583.6920379727761,0.0,0.0,-1.0354803663218792,6.0,-583.6920379727761,-583.6920379727761,0.0,0.0,0.0,1,-583.6920379727761,1,1.0
DOT,1,1,-290.6911115620376,-310.6911115620375,-310.6911115620375,0.0,0.0,-0.8550412426235661,22.0,-310.6911115620375,-310.6911115620375,0.0,1.0,1.0,1,-310.6911115620375,1,1.0
ETHFI,1,1,-943.9806235365955,-963.9806235365955,-963.9806235365955,0.0,0.0,-1.0211868755579654,3.0,-963.9806235365955,-963.9806235365955,0.0,0.0,0.0,1,-963.9806235365955,1,1.0
GALA,1,1,-872.515035615875,-892.515035615875,-892.515035615875,0.0,0.0,-1.0229222410888117,1.0,-892.515035615875,-892.515035615875,0.0,0.0,0.0,1,-892.515035615875,1,1.0
ICP,1,1,-646.0875471740309,-666.0875471740309,-666.0875471740309,0.0,0.0,-0.8247644457318257,9.0,-666.0875471740309,-666.0875471740309,0.0,1.0,1.0,1,-666.0875471740309,1,1.0
INJ,1,1,-523.882904577853,-543.882904577853,-543.882904577853,0.0,0.0,-0.8305411760150728,5.0,-543.882904577853,-543.882904577853,0.0,1.0,1.0,1,-543.882904577853,1,1.0
LINK,1,1,-387.1725199885229,-407.1725199885229,-407.1725199885229,0.0,0.0,-0.8413252469479864,5.0,-407.1725199885229,-407.1725199885229,0.0,1.0,1.0,1,-407.1725199885229,1,1.0
OP,2,1,-388.56709905848885,-408.56709905848885,-408.56709905848885,0.0,0.0,-1.0530195855360895,1.0,-348.80370007225457,-342.16332240711745,0.0,0.0,0.0,1,-474.9708757098603,2,1.0
ORDI,1,1,-816.8491973490122,-836.8491973490122,-836.8491973490122,0.0,0.0,-0.8195874588013632,12.0,-836.8491973490122,-836.8491973490122,0.0,1.0,1.0,1,-836.8491973490122,1,1.0
SHIB,1,1,-330.5081137466423,-350.5081137466423,-350.5081137466423,0.0,0.0,-0.8484103092617732,4.0,-350.5081137466423,-350.5081137466423,0.0,0.0,1.0,1,-350.5081137466423,1,1.0
TRX,2,1,-245.60184631271798,-265.601846312718,-265.601846312718,0.0,0.0,-1.0822438190463133,3.0,-243.64913309767792,-241.20994274045125,0.0,0.0,0.0,1,-289.9937498849847,2,1.0
UNI,1,1,-336.0166959017552,-356.0166959017552,-356.0166959017552,0.0,0.0,-1.0595208519217365,2.0,-356.0166959017552,-356.0166959017552,0.0,0.0,0.0,1,-356.0166959017552,1,1.0
WLD,1,1,-504.20207443169886,-524.2020744316989,-524.2020744316989,0.0,0.0,-1.0396666356887616,1.0,-524.2020744316989,-524.2020744316989,0.0,0.0,0.0,1,-524.2020744316989,1,1.0
XLM,1,1,-484.66495997910863,-504.66495997910863,-504.66495997910863,0.0,0.0,-1.0412656198642087,4.0,-504.66495997910863,-504.66495997910863,0.0,0.0,0.0,1,-504.66495997910863,1,1.0
ZRO,1,1,-906.2711603976792,-926.2711603976792,-926.2711603976792,0.0,0.0,-1.0220684502320743,4.0,-926.2711603976792,-926.2711603976792,0.0,0.0,0.0,1,-926.2711603976792,1,1.0
