period,model,low,high,n,positives,mean_prediction,observed_rate
oof,logistic,0.0,0.001,144,2,0.0004764175417903127,0.013888888888888888
oof,logistic,0.001,0.002,166,4,0.0015476125546451077,0.024096385542168676
oof,logistic,0.002,0.005,601,8,0.003607927999862527,0.013311148086522463
oof,logistic,0.005,0.01,1846,37,0.007780019892973789,0.020043336944745395
oof,logistic,0.01,0.02,4981,99,0.015028397189060733,0.019875527002609916
oof,logistic,0.02,0.05,11667,321,0.03350215117017027,0.027513499614296735
oof,logistic,0.05,0.1,7665,264,0.06959314566727738,0.03444227005870842
oof,logistic,0.1,0.2,1872,54,0.1244924110078854,0.028846153846153848
oof,logistic,0.2,0.5,40,0,0.2353706178852942,0.0
oof,logistic,0.5,1.0,0,0,,
oof,lightgbm,0.0,0.001,0,0,,
oof,lightgbm,0.001,0.002,0,0,,
oof,lightgbm,0.002,0.005,258,1,0.0038691575665236446,0.003875968992248062
oof,lightgbm,0.005,0.01,1398,29,0.007769108418161575,0.02074391988555079
oof,lightgbm,0.01,0.02,5677,122,0.015477870177187549,0.02149022370970583
oof,lightgbm,0.02,0.05,12519,342,0.03192118026022247,0.027318475916606758
oof,lightgbm,0.05,0.1,6948,221,0.07107363518799575,0.031807714450201495
oof,lightgbm,0.1,0.2,2132,74,0.12490768689882699,0.03470919324577861
oof,lightgbm,0.2,0.5,50,0,0.22165998087325328,0.0
oof,lightgbm,0.5,1.0,0,0,,
last_two_quarters,logistic,0.0,0.001,101,1,0.0004374773902771429,0.009900990099009901
last_two_quarters,logistic,0.001,0.002,105,3,0.0015303132109083782,0.02857142857142857
last_two_quarters,logistic,0.002,0.005,325,4,0.0035698861311612195,0.012307692307692308
last_two_quarters,logistic,0.005,0.01,753,26,0.007789450792915457,0.034528552456839307
last_two_quarters,logistic,0.01,0.02,2013,52,0.01523466482615293,0.025832091405861898
last_two_quarters,logistic,0.02,0.05,6641,234,0.034265404297791624,0.03523565728053004
last_two_quarters,logistic,0.05,0.1,5250,204,0.06994500616654861,0.038857142857142854
last_two_quarters,logistic,0.1,0.2,1185,40,0.12370618463146572,0.03375527426160337
last_two_quarters,logistic,0.2,0.5,19,0,0.23163500250361443,0.0
last_two_quarters,logistic,0.5,1.0,0,0,,
last_two_quarters,lightgbm,0.0,0.001,0,0,,
last_two_quarters,lightgbm,0.001,0.002,0,0,,
last_two_quarters,lightgbm,0.002,0.005,122,0,0.0036105114813925776,0.0
