period,score,scored,base_rate,auc_gt5,pr_auc,candidates,invalid,censored,closed,gt5,precision,confirmed_gt5_per_candidate,candidate_coverage,coverage,recall,win_rate,mean_r,mean_gross_bp,mean_net_bp,assets,positive_asset_months,matched_pairs,unmatched_closed,random_gt5,paired_gt5,random_precision,random_mean_net_bp,paired_excess_r,paired_excess_net_bp,random_tail_p,random_net_p,mean_predicted_probability,brier,logloss
oof,logistic,28982,0.02722379407908357,0.5533940257981862,0.03051318766063436,2899,0,0,2899,91,0.03139013452914798,0.03139013452914798,0.09956040936877533,0.10002760334000414,0.11533586818757921,0.289755087961366,0.014239187089474767,7.91045163698115,-12.089548363018864,598,73,2897,2,93,91,0.03210217466344494,-22.67868039353715,0.1230945811815844,10.729715885481367,0.599609375,0.0771484375,0.04342274215110684,0.027608756931647237,0.13380013881588204
oof,lightgbm,28982,0.02722379407908357,0.5448517387191321,0.030309488650877358,2899,0,0,2899,98,0.03380476026215937,0.03380476026215937,0.09956040936877533,0.10002760334000414,0.12420785804816223,0.2845808899620559,0.012420040938120363,13.964270677546342,-6.03572932245367,553,78,2896,3,92,98,0.031767955801104975,-26.04273645634299,0.14943699837497357,19.840857300242607,0.365234375,0.09130859375,0.043839430877528396,0.02768416992185971,0.13353714086914806
oof,risk,28982,0.02722379407908357,0.5526829664996529,0.0325842485054312,2899,0,0,2899,122,0.04208347706105554,0.04208347706105554,0.09956040936877533,0.10002760334000414,0.15462610899873258,0.2890651948947913,0.16706674623045709,43.22653891818462,23.226538918184605,537,86,2893,6,88,122,0.030418250950570342,-16.124913738053383,0.30737068897148895,39.52347452733412,0.1494140625,0.036865234375,,,
last_two_quarters,logistic,16392,0.034407027818448024,0.5313280218017447,0.03616027065598516,1640,0,0,1640,59,0.03597560975609756,0.03597560975609756,0.09923156047679554,0.10004880429477794,0.10460992907801418,0.2914634146341463,0.04248653888464929,29.770234565831863,9.770234565831851,510,48,1638,2,56,59,0.03418803418803419,-9.738336793951696,0.0943225650307657,19.78390163675895,0.421875,0.28125,0.04780738433322181,0.034349009921301916,0.15923823483074248
last_two_quarters,lightgbm,16392,0.034407027818448024,0.5130394426252426,0.0355244217095329,1640,0,0,1640,67,0.04085365853658537,0.04085365853658537,0.09923156047679554,0.10004880429477794,0.11879432624113476,0.2871951219512195,0.06568834775546263,30.345682744199095,10.34568274419909,491,51,1637,3,54,67,0.032987171655467315,-15.335479328732493,0.15657232264534668,25.417249011208344,0.21875,0.1875,0.04800067344893263,0.03448303714617853,0.15969887955741827
last_two_quarters,risk,16392,0.034407027818448024,0.5398958574175937,0.038924294287041625,1640,0,0,1640,73,0.04451219512195122,0.04451219512195122,0.09923156047679554,0.10004880429477794,0.12943262411347517,0.2810975609756098,0.25507512331016535,52.81623251990489,32.81623251990489,419,52,1634,6,52,73,0.03182374541003672,-12.228946639605745,0.3732122233373677,45.38495727131689,0.25,0.078125,,,
2025Q4,logistic,5599,0.01696731559207001,0.5564316860465116,0.019742895737208135,560,0,0,560,12,0.02142857142857143,0.02142857142857143,0.1,0.10001786033220218,0.12631578947368421,0.22142857142857142,-0.30205251933303395,-112.8365606207102,-132.8365606207102,308,10,560,0,12,12,0.02142857142857143,-75.79224510868752,-0.0032028808037325314,-57.04431551202268,0.75,0.625,0.024038067796469685,0.017020244601723213,0.08901047091350585
2025Q4,lightgbm,5599,0.01696731559207001,0.5754934210526316,0.020518260866048327,560,0,0,560,13,0.023214285714285715,0.023214285714285715,0.1,0.10001786033220218,0.1368421052631579,0.19464285714285715,-0.34143211645289967,-136.0787534110817,-156.07875341108175,311,13,560,0,14,13,0.025,-66.81441486515973,-0.13731404030552816,-89.26433854592197,1.0,0.875,0.02441240501656054,0.016949631947168222,0.08838570106898108
2025Q4,risk,5599,0.01696731559207001,0.5285878212974296,0.020824772160072676,560,0,0,560,8,0.014285714285714285,0.014285714285714285,0.1,0.10001786033220218,0.08421052631578947,0.24285714285714285,-0.39787187628530885,-32.2195089066592,-52.219508906659236,239,7,560,0,12,8,0.02142857142857143,-51.94980305252612,0.004266625170763534,-0.26970585413311643,0.875,0.5,,,
2026Q1,logistic,6991,0.0185953368616793,0.5480060094402027,0.021425316477469744,700,0,0,700,15,0.02142857142857143,0.02142857142857143,0.10012873694750393,0.10012873694750393,0.11538461538461539,0.28285714285714286,-0.08408920891666832,-7.457670275673774,-27.45767027567378,334,12,700,0,24,15,0.03428571428571429,-24.44443101822672,0.0735688049293827,-3.0132392574470517,1.0,0.25,0.04866687561733266,0.02028489103675739,0.1100261552240942
