rule,dimension,value,closed,gt5,precision,mean_net_bp
original_all,asset,0G,79,3,0.0379746835443038,-156.3047776608758
original_all,asset,1000000BOB,27,2,0.07407407407407407,-100.22193788299765
original_all,asset,1000000MOG,35,1,0.02857142857142857,4.118834788634823
original_all,asset,1000BONK,45,1,0.022222222222222223,-154.60531473440048
original_all,asset,1000CAT,26,1,0.038461538461538464,67.10677240250565
original_all,asset,1000CHEEMS,30,1,0.03333333333333333,-151.65688439340184
original_all,asset,1000FLOKI,40,0,0.0,95.28012414666838
original_all,asset,1000LUNC,30,0,0.0,-153.05063530695477
original_all,asset,1000PEPE,46,1,0.021739130434782608,-17.44853295309596
original_all,asset,1000RATS,44,1,0.022727272727272728,-169.2037817270164
original_all,asset,1000SATS,37,3,0.08108108108108109,168.55415010260148
original_all,asset,1000SHIB,34,0,0.0,-150.3298190650627
original_all,asset,1000WHY,12,0,0.0,-270.9528087396131
original_all,asset,1000X,6,0,0.0,-289.6267936555068
original_all,asset,1000XEC,41,1,0.024390243902439025,-41.154053788741614
original_all,asset,1INCH,69,0,0.0,-211.25675006948464
original_all,asset,1MBABYDOGE,39,0,0.0,-140.11284236958826
original_all,asset,2Z,76,8,0.10526315789473684,108.51914334271957
original_all,asset,4,42,1,0.023809523809523808,34.924330788870336
original_all,asset,42,9,0,0.0,-302.373398135264
original_all,asset,A,56,0,0.0,-69.94292593956351
original_all,asset,A2Z,15,1,0.06666666666666667,-0.86466217510243
original_all,asset,AAOI,4,0,0.0,-294.45625265662375
original_all,asset,AAPL,18,0,0.0,82.68591861423428
original_all,asset,AAVE,63,2,0.031746031746031744,-9.743177836249755
original_all,asset,ACE,30,0,0.0,-310.13724693286224
original_all,asset,ACH,76,6,0.07894736842105263,70.25482767216883
original_all,asset,ACT,90,5,0.05555555555555555,141.44943854874015
original_all,asset,ACU,42,1,0.023809523809523808,109.51221080141713
original_all,asset,ACX,34,2,0.058823529411764705,51.943098887045885
original_all,asset,ADA,69,0,0.0,13.747686850532594
original_all,asset,ADBE,5,0,0.0,168.0417565756372
original_all,asset,AEON,10,0,0.0,507.6814945612821
original_all,asset,AERO,68,0,0.0,-107.62227733318508
original_all,asset,AEVO,85,3,0.03529411764705882,-82.82466658355165
original_all,asset,AGLD,78,1,0.01282051282051282,-107.72447661204522
original_all,asset,AGT,25,0,0.0,-545.046575432663
original_all,asset,AI,43,2,0.046511627906976744,-63.25854622445768
original_all,asset,AI16Z,4,0,0.0,-188.73852895830052
original_all,asset,AIA,19,0,0.0,-266.09569034252775
original_all,asset,AIGENSYN,41,1,0.024390243902439025,-166.1985174784461
original_all,asset,AIN,19,2,0.10526315789473684,8.624488487717835
original_all,asset,AIO,35,1,0.02857142857142857,-186.12036352280313
original_all,asset,AIOT,27,1,0.037037037037037035,149.021216776951
original_all,asset,AIXBT,90,0,0.0,-192.92823633863244
original_all,asset,AKE,33,1,0.030303030303030304,228.07648434009673
original_all,asset,AKT,42,1,0.023809523809523808,243.96340102159286
original_all,asset,ALAB,6,0,0.0,31.722331948328495
original_all,asset,ALCH,30,3,0.1,294.3583548667736
original_all,asset,ALGO,43,2,0.046511627906976744,-47.84675753894736
original_all,asset,ALICE,25,1,0.04,69.63849927572359
original_all,asset,ALL,33,0,0.0,-103.29059382120987
original_all,asset,ALLO,84,0,0.0,-147.9277214919759
original_all,asset,ALPINE,27,0,0.0,-66.33813707844436
original_all,asset,ALT,46,0,0.0,-100.11550064266484
original_all,asset,AMAT,9,0,0.0,-120.67724258212031
original_all,asset,AMD,15,0,0.0,-228.14933812483795
original_all,asset,AMZN,7,0,0.0,-71.42299684519944
original_all,asset,ANIME,86,3,0.03488372093023256,-165.06322768324324
original_all,asset,ANKR,37,1,0.02702702702702703,-10.620547927375553
original_all,asset,APE,74,2,0.02702702702702703,-83.00740777864554
original_all,asset,API3,54,0,0.0,-165.40074860304063
original_all,asset,APLD,4,0,0.0,-61.13037403208277
original_all,asset,APP,4,0,0.0,21.958146691107235
original_all,asset,APR,53,2,0.03773584905660377,25.387377524494696
original_all,asset,APT,65,1,0.015384615384615385,-171.25416803617657
original_all,asset,AR,91,0,0.0,-90.90485823340165
original_all,asset,ARB,81,3,0.037037037037037035,-63.63156102293758
original_all,asset,ARC,50,3,0.06,122.14655342702171
original_all,asset,ARIA,41,3,0.07317073170731707,187.1080728151282
original_all,asset,ARK,34,0,0.0,-114.86874726279345
original_all,asset,ARKM,56,0,0.0,-202.67569608908693
original_all,asset,ARM,6,0,0.0,-41.0727338806615
original_all,asset,ARPA,31,3,0.0967741935483871,174.37061248802652
original_all,asset,ARX,18,0,0.0,-129.5561312083932
original_all,asset,ASML,6,0,0.0,-104.33909170908517
original_all,asset,ASR,27,0,0.0,-194.63803908114832
original_all,asset,ASTER,79,6,0.0759493670886076,18.524196528795482
original_all,asset,ASTR,48,1,0.020833333333333332,-142.4806882913541
original_all,asset,ASTS,3,0,0.0,-349.98508261590365
original_all,asset,AT,81,4,0.04938271604938271,-103.20489604373554
original_all,asset,ATA,21,1,0.047619047619047616,-229.90440173389774
original_all,asset,ATH,81,0,0.0,-222.2121501963689
original_all,asset,ATOM,69,2,0.028985507246376812,38.679251734772194
original_all,asset,AUCTION,74,2,0.02702702702702703,-81.56148046684507
original_all,asset,AVA,34,1,0.029411764705882353,-62.836377049249194
original_all,asset,AVAAI,35,0,0.0,37.56861861690183
original_all,asset,AVAX,87,0,0.0,-178.44368166340294
original_all,asset,AVGO,6,0,0.0,-2.380758308948005
original_all,asset,AVNT,80,0,0.0,-253.73980341524594
original_all,asset,AWE,40,1,0.025,-126.32934871056747
original_all,asset,AXL,30,0,0.0,-139.37402636591762
original_all,asset,AXS,83,4,0.04819277108433735,-15.440491183477528
original_all,asset,AXTI,2,0,0.0,129.135263344938
original_all,asset,AZTEC,53,1,0.018867924528301886,-126.20658646885754
original_all,asset,B,37,1,0.02702702702702703,-205.17435089750035
original_all,asset,B2,33,1,0.030303030303030304,-72.57808784593193
original_all,asset,B3,12,0,0.0,-150.112442194653
original_all,asset,BABY,75,2,0.02666666666666667,-147.58645125756604
original_all,asset,BAKE,1,0,0.0,-946.829268292682
original_all,asset,BAN,45,5,0.1111111111111111,156.2834121742205
original_all,asset,BANANA,28,1,0.03571428571428571,-11.50485701318615
original_all,asset,BANANAS31,25,1,0.04,-100.55675004398923
original_all,asset,BAND,79,1,0.012658227848101266,-140.33548860353386
original_all,asset,BANK,36,5,0.1388888888888889,424.448853953127
original_all,asset,BARD,55,0,0.0,-219.20220254783288
original_all,asset,BAS,36,1,0.027777777777777776,260.87347485155624
original_all,asset,BASED,40,0,0.0,-179.74090631997692
original_all,asset,BAT,76,2,0.02631578947368421,-151.4732305404488
original_all,asset,BB,47,0,0.0,-182.2055307790691
original_all,asset,BCH,71,0,0.0,-55.65727825828827
original_all,asset,BE,3,1,0.3333333333333333,995.623822662245
original_all,asset,BEAMX,39,1,0.02564102564102564,-118.1923794536558
original_all,asset,BEAT,52,3,0.057692307692307696,4563.5202797517195
original_all,asset,BEL,28,0,0.0,-168.17929870001328
original_all,asset,BERA,62,1,0.016129032258064516,-89.00802983412326
original_all,asset,BICO,62,0,0.0,-264.68279829955657
original_all,asset,BID,13,1,0.07692307692307693,-90.72795015044646
original_all,asset,BIGTIME,81,0,0.0,-96.71189105064362
original_all,asset,BILL,35,3,0.08571428571428572,186.07061101739652
original_all,asset,BIO,62,5,0.08064516129032258,6.996711208853191
original_all,asset,BIRB,26,0,0.0,-2.99856525203613
original_all,asset,BLEND,15,0,0.0,-286.2264245873556
original_all,asset,BLESS,50,8,0.16,1078.3791558455514
original_all,asset,BLUAI,38,0,0.0,-218.9329294335377
original_all,asset,BLUR,70,6,0.08571428571428572,-34.28151581880075
original_all,asset,BMNR,11,0,0.0,-15.99528035013146
original_all,asset,BMT,26,1,0.038461538461538464,226.2883862465053
original_all,asset,BNB,78,2,0.02564102564102564,28.21847937377302
original_all,asset,BNT,37,0,0.0,-197.1143480281459
original_all,asset,BOB,8,0,0.0,129.65212722215514
original_all,asset,BOME,60,3,0.05,259.66355358866207
original_all,asset,BONK,45,1,0.022222222222222223,-167.27627731402634
original_all,asset,BOT,8,0,0.0,-105.30870612398401
original_all,asset,BP,13,0,0.0,-177.43773172367767
original_all,asset,BR,30,0,0.0,-414.845839660788
original_all,asset,BRETT,85,0,0.0,-197.60054817926743
original_all,asset,BREV,61,0,0.0,-156.27080439712066
original_all,asset,BRKB,1,0,0.0,-29.468389387511998
original_all,asset,BROCCOLI714,40,2,0.05,583.3254144350262
original_all,asset,BROCCOLIF3B,21,1,0.047619047619047616,-132.91387607169565
original_all,asset,BSB,46,0,0.0,-52.299818033201774
original_all,asset,BSP,7,0,0.0,279.0399551765214
original_all,asset,BSV,29,0,0.0,-113.11049142312999
original_all,asset,BTC,68,0,0.0,-117.60536123956226
original_all,asset,BTCDOM,37,0,0.0,-9.94863521878851
original_all,asset,BTR,32,2,0.0625,67.50054438099303
original_all,asset,BTW,15,1,0.06666666666666667,13.456749633603492
original_all,asset,BULLA,23,3,0.13043478260869565,698.1030244079016
original_all,asset,BX,6,0,0.0,2.99633058821149
original_all,asset,BZ,19,3,0.15789473684210525,170.81432778686167
original_all,asset,C,47,0,0.0,-204.28319619027698
original_all,asset,C98,26,1,0.038461538461538464,-12.388967294833861
original_all,asset,CAKE,23,1,0.043478260869565216,-5.1419005810070795
original_all,asset,CAP,30,0,0.0,-397.1940039472768
original_all,asset,CARV,23,0,0.0,27.03400540487735
