bar,setup_id,match_status,matched_control_count,candidate_net_return,control_mean_net_return,paired_excess_return
5m,53fcd5841c0bcbaf,matched_exact,3,-0.004858623215593825,0.0022565354025170254,-0.007115158618110851
5m,0ca78f94b97b4eab,unmatched_insufficient_exact_stratum,0,-0.005508432803363437,,
5m,b90e41205cc8133c,matched_exact,3,-0.004605747093219479,-0.005084069567212448,0.0004783224739929688
5m,7c28a1c99c750292,matched_exact,3,-0.0036346093572948695,0.0017946449039754082,-0.005429254261270278
5m,48c9cfa07c15d51e,matched_exact,3,-0.004387222674826051,-0.004526115436822796,0.00013889276199674505
5m,2d44121ab698a65b,matched_exact,3,-0.0037544281285299946,-0.002623083850647762,-0.0011313442778822327
5m,923b54e8aea4b62f,matched_exact,3,-0.004964037920715645,-0.0017591721543886607,-0.003204865766326985
5m,3139cfb9565d0644,matched_exact,3,0.003940594059405946,-0.004179101097712947,0.008119695157118894
5m,842f681b332e2580,matched_exact,3,-0.0038383482275772245,-0.0025656445045020276,-0.001272703723075197
5m,d9bcb9ffc6288b9d,matched_exact,3,0.005670394349617249,-0.0001812713303070221,0.005851665679924271
5m,cda67fc6c29c98e5,matched_exact,3,-0.004317508292334347,-1.97194449741035e-05,-0.004297788847360244
5m,83af799b38c3c3f4,matched_exact,3,0.00603561105330064,0.007242726828596097,-0.001207115775295457
5m,3e3f64fe07f33e8a,matched_exact,3,-0.003982881597717645,-0.0012346845048042752,-0.0027481970929133697
5m,e50c90b88b9a3822,matched_exact,3,-0.003930179114888464,3.874215763014869e-17,-0.003930179114888503
5m,ada92ddfb530aaa0,unmatched_insufficient_exact_stratum,0,-0.004901787677074941,,
5m,46d992b0905eb5d8,matched_exact,3,-0.00537903361362657,0.0089468320935547,-0.01432586570718127
5m,3a0989096181e3e5,matched_exact,3,-0.004503462467723705,0.006117229479675489,-0.010620691947399194
5m,cd74522778dbd633,matched_exact,3,-0.003658222821509847,0.0027936027429582583,-0.0064518255644681055
5m,0cd167d73748513b,matched_exact,3,-0.004488301919797209,-0.00010443460310260826,-0.004383867316694601
5m,cc74b2494a868616,matched_exact,3,1.734723475976807e-18,-0.004485233345400073,0.004485233345400075
