bar,target_r,candidate_rows,decision_rows,all_folds_gross_positive,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided
5m,2.0,9343,9343,True,755,3.6201687645429077,-16.379831235457093,-37.098832303761306,0.4105960264900662,0.3760957522761044,-0.9965795340933121,-0.9965795340933121,264,443,48,0,114,True,-16.458754102501068,-18.98163573655294,180,-18.98163573655294,114,-15.706162294689971,227,-15.734655813280023,234,-15.332516149492982,664,2.202229452703839,0.09420905790942091
5m,3.0,9343,9343,False,755,2.6821426984126413,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.3549744231155662,-0.9971106401265801,-0.9971106401265801,141,454,158,2,114,True,-17.6843960795863,-21.06814222464793,180,-21.06814222464793,114,-16.264488351127824,227,-16.91190811344184,234,-15.34000789949557,664,0.4413060442176171,0.4091059089409106
5m,4.0,9343,9343,False,755,2.4083195614544812,-17.591680438545524,-37.26734624236448,0.3748344370860927,0.3447755328137879,-0.9971574158902293,-0.9971574158902293,95,454,204,2,114,True,-17.572818446844686,-21.62397097378084,180,-21.62397097378084,114,-16.012882586605887,227,-16.60179589834762,234,-16.21934902574076,664,-0.43659059982646514,0.5870341296587034
5m,5.0,9343,9343,False,755,2.4921169878636205,-17.507883012136382,-37.26734624236448,0.37350993377483444,0.34908686192077804,-0.9972091330873947,-0.9972091330873947,72,455,226,2,114,True,-17.797409907726813,-21.646821847689314,180,-21.646821847689314,114,-17.313246789196707,227,-15.939354884230031,234,-15.94051302944552,664,-0.7325099102471304,0.6327236727632723
5m,6.0,9343,9343,False,755,3.0536449262303083,-16.9463550737697,-37.26734624236448,0.37350993377483444,0.3699635100128431,-0.9964814366534739,-0.9964814366534739,63,455,235,2,114,True,-17.04092554863246,-21.14670098124285,180,-21.14670098124285,114,-16.178731641322976,227,-15.53842675762937,234,-15.455100952904791,664,-0.34579328981473906,0.5618643813561864
5m,8.0,9343,9343,False,755,4.142744992963789,-15.857255007036217,-37.26734624236448,0.37350993377483444,0.41045438727243916,-0.9947808056610056,-0.9947808056610056,49,455,244,7,114,True,-16.5155423201349,-20.28962995537621,180,-20.28962995537621,114,-16.08821705317396,227,-14.3952494033586,234,-13.753486238121337,664,0.04986587309437107,0.4950650493495065
