symbol,minutes,fold,bars,eligible_decisions,signals,status
AAVE,15,development,70176,70175.0,325,ok
AAVE,15,validation,35040,35039.0,137,ok
AAVE,60,development,17544,17543.0,74,ok
AAVE,60,validation,8760,8759.0,42,ok
AAVE,240,development,4386,4385.0,19,ok
AAVE,240,validation,2190,2189.0,9,ok
ADA,15,development,70176,70175.0,339,ok
ADA,15,validation,35040,35039.0,140,ok
ADA,60,development,17544,17543.0,74,ok
ADA,60,validation,8760,8759.0,31,ok
ADA,240,development,4386,4385.0,20,ok
ADA,240,validation,2190,2189.0,9,ok
APE,15,development,70176,70175.0,342,ok
APE,15,validation,35040,35039.0,139,ok
APE,60,development,17544,17543.0,89,ok
APE,60,validation,8760,8759.0,39,ok
APE,240,development,4386,4385.0,23,ok
APE,240,validation,2190,2189.0,9,ok
APT,15,development,70176,70175.0,358,ok
APT,15,validation,35040,35039.0,147,ok
APT,60,development,17544,17543.0,89,ok
APT,60,validation,8760,8759.0,35,ok
APT,240,development,4386,4385.0,18,ok
APT,240,validation,2190,2189.0,7,ok
ARB,15,development,62344,62003.0,287,ok
ARB,15,validation,35040,35039.0,124,ok
ARB,60,development,15586,15245.0,73,ok
ARB,60,validation,8760,8759.0,33,ok
ARB,240,development,3896,3555.0,12,ok
ARB,240,validation,2190,2189.0,14,ok
ATOM,15,development,70176,70175.0,283,ok
ATOM,15,validation,35040,35039.0,133,ok
ATOM,60,development,17544,17543.0,76,ok
ATOM,60,validation,8760,8759.0,35,ok
ATOM,240,development,4386,4385.0,15,ok
ATOM,240,validation,2190,2189.0,13,ok
AVAX,15,development,70176,70175.0,319,ok
AVAX,15,validation,35040,35039.0,128,ok
AVAX,60,development,17544,17543.0,62,ok
AVAX,60,validation,8760,8759.0,34,ok
AVAX,240,development,4386,4385.0,14,ok
AVAX,240,validation,2190,2189.0,8,ok
BCH,15,development,70176,70175.0,368,ok
BCH,15,validation,35040,35039.0,125,ok
BCH,60,development,17544,17543.0,86,ok
BCH,60,validation,8760,8759.0,44,ok
BCH,240,development,4386,4385.0,23,ok
BCH,240,validation,2190,2189.0,9,ok
BNB,15,development,70176,70175.0,343,ok
BNB,15,validation,35040,35039.0,153,ok
BNB,60,development,17544,17412.0,85,ok
BNB,60,validation,8760,8759.0,44,ok
BNB,240,development,4386,4097.0,25,ok
BNB,240,validation,2190,2189.0,10,ok
BTC,15,development,70176,70175.0,379,ok
BTC,15,validation,35040,35039.0,158,ok
BTC,60,development,17544,17543.0,84,ok
BTC,60,validation,8760,8759.0,41,ok
BTC,240,development,4386,4385.0,14,ok
BTC,240,validation,2190,2189.0,10,ok
CFX,15,development,70176,70175.0,356,ok
CFX,15,validation,35040,35039.0,172,ok
CFX,60,development,17544,17543.0,79,ok
CFX,60,validation,8760,8759.0,39,ok
CFX,240,development,4386,4385.0,27,ok
CFX,240,validation,2190,2189.0,10,ok
CHZ,15,development,70176,70175.0,311,ok
CHZ,15,validation,35040,35039.0,144,ok
CHZ,60,development,17544,17543.0,75,ok
CHZ,60,validation,8760,8759.0,39,ok
CHZ,240,development,4386,4385.0,22,ok
CHZ,240,validation,2190,2189.0,11,ok
CRV,15,development,70176,70175.0,321,ok
CRV,15,validation,35040,35039.0,140,ok
CRV,60,development,17544,17543.0,73,ok
CRV,60,validation,8760,8759.0,44,ok
CRV,240,development,4386,4385.0,20,ok
CRV,240,validation,2190,2189.0,9,ok
DOGE,15,development,70176,70175.0,410,ok
DOGE,15,validation,35040,35039.0,136,ok
DOGE,60,development,17544,17543.0,96,ok
DOGE,60,validation,8760,8759.0,37,ok
DOGE,240,development,4386,4385.0,24,ok
DOGE,240,validation,2190,2189.0,8,ok
DOT,15,development,70176,70175.0,283,ok
DOT,15,validation,35040,35039.0,137,ok
DOT,60,development,17544,17543.0,65,ok
DOT,60,validation,8760,8759.0,28,ok
DOT,240,development,4386,4385.0,15,ok
DOT,240,validation,2190,2189.0,10,ok
EIGEN,15,development,8806,8465.0,40,ok
EIGEN,15,validation,35040,35039.0,140,ok
EIGEN,60,development,2201,1860.0,10,ok
EIGEN,60,validation,8760,8759.0,31,ok
EIGEN,240,development,550,209.0,0,ok
EIGEN,240,validation,2190,2189.0,4,ok
ENA,15,development,0,,0,not_listed_or_no_data
ENA,15,validation,10146,9805.0,32,ok
