fold,minutes,policy,baseline_n,n,retained_pct,symbols,universe_symbols,matched_n,matched_pct,mean_gross_bp,mean_net_bp,median_net_bp,win_pct,loss_count,loss_removed_pct,winner_retained_pct,control_net_bp,matched_case_net_bp,boundary_marks,tail_n,tail_retained_n,tail_count_pct,tail_profit_pct,excess_bp,p,months,p_resolution,ci_low,ci_high,p_holm_validation,portfolio_net_pct,portfolio_mdd_pct,portfolio_min_equity,incremental_net_pct,positive_delta_months,incremental_excess_bp,incremental_p,incremental_months,incremental_p_resolution,incremental_ci_low,incremental_ci_high,incremental_p_holm_validation
development,15,P00,13062,13062,100.0,48,54,13062,100.0,8.169287584110553,-11.830712415889447,-85.41961222734705,26.802939825447865,9561,0.0,100.0,-29.5212647626221,-11.830712415889447,2,1307,1307,100.0,100.0,17.69055234673265,0.0095,24,0.0001,4.116373774219298,30.94225612403644,,-28.543988071415825,39.42976482319117,0.6753928723956802,,,,,,,,,
development,15,P02,13062,10276,78.67095391211147,48,54,10276,100.0,6.580715666104771,-13.419284333895229,-85.55779721100552,26.91708836123005,7510,21.451730990482165,79.00599828620393,-30.50348011527852,-13.419284333895229,2,1307,1028,78.65340474368784,77.16517643052386,17.084195781383293,0.016,24,0.0001,2.1729916034174472,31.243696203583283,,-22.51832891069242,31.886300779316954,0.745877171848547,6.025659160723407,12.0,25.106913169680865,0.1206,24.0,0.0001,-14.530036134894338,65.84243814306105,
development,15,Q01,13062,12827,98.20088807227071,48,54,12827,100.0,8.54034299737127,-11.459657002628733,-85.35947712418277,26.81063381928744,9388,1.8094341596067376,98.2290774064553,-29.199275652029826,-11.459657002628733,2,1307,1285,98.31675592960978,98.41400212636945,17.7396186494011,0.0113,24,0.0001,3.9958319305649406,31.09562186226202,,-27.857507712837503,38.77312492807149,0.6802689102034806,0.686480358578323,15.0,2.860334827409679,0.2526,24.0,0.0001,-5.26448514506812,9.701428675980715,
development,15,Q02,13062,12704,97.25922523350177,48,54,12704,100.0,7.915035225946414,-12.084964774053587,-85.50099423599355,26.794710327455917,9300,2.7298399748980184,97.22936303913168,-29.315046821066144,-12.084964774053587,2,1307,1269,97.09257842387146,96.87839102007841,17.23008204701256,0.0121,24,0.0001,3.584299979179526,30.498945799542323,,-28.488267275640922,38.51732592714691,0.6778179406997191,0.055720795774905074,13.0,0.23216998239543743,0.4897,24.0,0.0001,-12.485837509127608,11.76164519980201,
validation,15,P00,7529,7529,100.0,54,54,7528,99.98671802364191,9.991641525893336,-10.008358474106666,-97.62899688329661,28.11794395005977,5412,0.0,100.0,-24.330019726918724,-9.951326718263678,22,753,753,100.0,100.0,14.37869300865505,0.055908203125,12,0.000244140625,-1.2937068900953173,29.713875644282712,0.252685546875,-4.931337720246476,14.111774130510657,0.9290335533583824,,,,,,,,,
validation,15,P02,7529,5980,79.42621862133086,54,54,5980,100.0,5.6652413225267715,-14.334758677473229,-99.43299013294603,27.55852842809365,4332,19.955654101995567,77.84600850259802,-25.48087123180035,-14.334758677473229,19,753,589,78.22045152722443,77.69969626427623,11.146112554327123,0.12451171875,12,0.000244140625,-5.749484938197632,28.777994593377358,0.252685546875,-4.428724868205958,12.18666591433174,0.9252868338995739,0.5026128520405182,6.0,4.188440433670987,0.46142578125,12.0,0.000244140625,-79.21467714463165,80.97546883186659,
validation,15,Q01,7529,7412,98.4460087661044,54,54,7411,99.98650836481382,10.369269454532963,-9.630730545467037,-97.64812189459569,28.17053426875337,5324,1.6260162601625994,98.63013698630137,-24.57375509789329,-9.572747454667596,22,753,743,98.67197875166002,98.70871393145273,15.001007643225691,0.050537109375,12,0.000244140625,-0.8287262422463721,30.006131622862963,0.252685546875,-5.489301482331788,15.372558008927484,0.9298934517614603,-0.5579637620853117,7.0,-4.6496980173776,0.6005859375,12.0,0.000244140625,-39.87694175550321,26.85878427435754,
validation,15,Q02,7529,7328,97.3303227520255,54,54,7327,99.98635371179039,9.346337447819971,-10.653662552180029,-98.00390039003901,28.111353711790393,5268,2.6607538802660757,97.30751062824751,-24.426427277093563,-10.595154328635884,21,753,735,97.60956175298804,97.00024952330492,13.831272948457679,0.06201171875,12,0.000244140625,-1.9831158354681326,28.774848602412145,0.252685546875,-6.119877517783701,15.139665434329785,0.928917855513372,-1.1885397975372247,7.0,-9.904498312810206,0.75341796875,12.0,0.000244140625,-38.132045180377816,16.029946356095277,1.0
development,60,P00,3090,3090,100.0,47,54,3089,99.96763754045307,59.218358307069686,39.218358307069686,-145.5002064791183,30.80906148867314,2138,0.0,100.0,-17.464340810118564,39.25717737993947,20,309,309,100.0,100.0,56.72151819005804,0.0031,24,0.0001,21.172564240158486,93.60939498208113,,15.995287395186764,10.372342137811131,0.9790839071402632,,,,,,,,,
development,60,P02,3090,2424,78.44660194174757,47,54,2423,99.95874587458746,54.66390401974436,34.66390401974436,-149.56096307015386,30.734323432343235,1679,21.468662301216092,78.25630252100841,-17.799856249957003,34.711513455075526,16,309,250,80.90614886731392,79.16215321811862,52.51136970503252,0.0179,24,0.0001,8.073502526816778,98.67276016391352,,9.93797792611395,11.099132281866797,0.967734902424426,-6.0573094690728135,12.0,-25.238789454470062,0.9283,24.0,0.0001,-57.14598413536097,4.976331723800532,
