trade_number,signal_i,i,phase,reason,price,qty
18,13881,13901,full,initial_stop,2042.6651000000002,1.0
19,13902,13903,entry,next_open,2031.55,1.0
19,13902,13951,full,initial_stop,2092.4964999999997,1.0
20,14782,14783,entry,next_open,2124.26,1.0
20,14782,14936,partial,take_profit,2028.3600000000001,0.5
20,14782,14939,tail,opposite_signal_close,2008.99,0.5
21,14939,14940,entry,next_open,2008.98,1.0
21,14939,15218,full,initial_stop,1948.7106,1.0
22,15629,15630,entry,next_open,1907.96,1.0
22,15629,15825,partial,take_profit,1960.02,0.5
22,15629,16144,tail,opposite_signal_close,2100.11,0.5
23,16144,16145,entry,next_open,2100.11,1.0
23,16144,16312,partial,take_profit,2067.9900000000002,0.5
23,16144,16339,tail,opposite_signal_close,2043.99,0.5
24,16339,16340,entry,next_open,2044.0,1.0
24,16339,16387,partial,take_profit,2102.39,0.5
24,16339,16450,tail,break_even,2044.0,0.5
25,16452,16453,entry,next_open,2020.39,1.0
25,16452,16509,full,initial_stop,1959.7783000000002,1.0
26,16738,16739,entry,next_open,2003.29,1.0
26,16738,16770,partial,take_profit,1944.69,0.5
26,16738,16847,tail,break_even,2003.29,0.5
27,19193,19194,entry,next_open,1909.35,1.0
27,19193,19340,full,initial_stop,1966.6305,1.0
28,19668,19669,entry,next_open,1990.51,1.0
28,19668,19945,full,initial_stop,1930.7947,1.0
29,20120,20121,entry,next_open,1869.59,1.0
29,20120,20266,partial,take_profit,1942.55,0.5
29,20120,20355,tail,opposite_signal_close,2040.84,0.5
30,20355,20356,entry,next_open,2040.84,1.0
30,20355,20535,partial,take_profit,1955.67,0.5
30,20355,20576,tail,opposite_signal_close,1911.34,0.5
31,20576,20577,entry,next_open,1911.34,1.0
31,20576,20794,partial,take_profit,1980.01,0.5
31,20576,20801,tail,opposite_signal_close,2030.47,0.5
32,20801,20802,entry,next_open,2030.47,1.0
32,20801,21002,partial,take_profit,1984.1200000000001,0.5
32,20801,21011,tail,opposite_signal_close,1952.57,0.5
33,21011,21012,entry,next_open,1952.57,1.0
33,21011,21285,partial,take_profit,1999.06,0.5
33,21011,21299,tail,opposite_signal_close,2062.98,0.5
34,21299,21300,entry,next_open,2062.98,1.0
34,21299,21377,full,initial_stop,2124.8694,1.0
35,21666,21667,entry,next_open,2073.83,1.0
35,21666,21936,full,initial_stop,2011.6151,1.0
36,21939,21940,entry,next_open,2010.0,1.0
36,21939,22167,partial,take_profit,1988.5900000000001,0.5
36,21939,22167,tail,break_even_marketable,1988.5900000000001,0.5
37,22747,22748,entry,next_open,2014.44,1.0
37,22747,23099,full,initial_stop,2074.8732,1.0
38,23789,23790,entry,next_open,2132.0,1.0
38,23789,23943,full,initial_stop,2195.96,1.0
39,24634,24635,entry,next_open,2179.93,1.0
39,24634,24690,full,initial_stop,2245.3278999999998,1.0
40,24691,24692,entry,next_open,2243.82,1.0
40,24691,24858,full,initial_stop,2311.1346000000003,1.0
41,25354,25355,entry,next_open,2308.82,1.0
41,25354,25374,full,initial_stop,2239.5554,1.0
42,25404,25405,entry,next_open,2186.74,1.0
42,25404,25668,full,initial_stop,2121.1378,1.0
43,26377,26378,entry,next_open,2074.47,1.0
43,26377,26797,partial,take_profit,2072.78,0.5
43,26377,26797,tail,break_even_marketable,2072.78,0.5
44,27646,27647,entry,next_open,2082.12,1.0
44,27646,27943,full,initial_stop,2019.6563999999998,1.0
45,27947,27948,entry,next_open,1989.73,1.0
45,27947,28177,partial,take_profit,1996.46,0.5
45,27947,28382,tail,break_even,1989.73,0.5
46,29335,29336,entry,next_open,2144.9,1.0
46,29335,29559,partial,take_profit,2117.12,0.5
46,29335,29566,tail,opposite_signal_close,2096.17,0.5
47,29566,29567,entry,next_open,2096.17,1.0
47,29566,29666,full,initial_stop,2033.2849,1.0
48,30484,30485,entry,next_open,2033.2,1.0
48,30484,30594,partial,take_profit,2069.12,0.5
48,30484,30683,tail,opposite_signal_close,2084.69,0.5
49,30683,30684,entry,next_open,2084.69,1.0
49,30683,30799,full,initial_stop,2147.2307,1.0
50,30972,30973,entry,next_open,2098.29,1.0
50,30972,31237,partial,take_profit,2127.95,0.5
50,30972,31261,tail,opposite_signal_close,2230.4,0.5
51,31261,31262,entry,next_open,2230.39,1.0
51,31261,31449,partial,take_profit,2203.5,0.5
51,31261,31483,tail,break_even,2230.39,0.5
52,32021,32022,entry,next_open,2243.48,1.0
52,32021,32359,full,initial_stop,2310.7844,1.0
53,32949,32950,entry,next_open,2259.55,1.0
53,32949,32980,full,initial_stop,2327.3365000000003,1.0
54,32983,32984,entry,next_open,2340.11,1.0
54,32983,33174,full,initial_stop,2410.3133000000003,1.0
55,34032,34033,entry,next_open,2436.41,1.0
55,34032,34251,partial,take_profit,2396.21,0.5
55,34032,34496,tail,opposite_signal_close,2327.18,0.5
56,34496,34497,entry,next_open,2327.17,1.0
56,34496,34704,full,initial_stop,2257.3549000000003,1.0
57,35341,35342,entry,next_open,2373.44,1.0
57,35341,35584,partial,take_profit,2381.12,0.5
57,35341,35584,tail,break_even_marketable,2381.12,0.5
58,35633,35634,entry,next_open,2338.01,1.0
58,35633,36518,partial,take_profit,2320.03,0.5
58,35633,36518,tail,break_even_marketable,2320.03,0.5
59,36756,36757,entry,next_open,2395.17,1.0
59,36756,36811,partial,take_profit,2324.98,0.5
