trade_number,signal_i,i,phase,reason,price,qty
1,1421,1422,entry,next_open,2922.26,1.0
1,1421,1508,partial,take_profit,2955.93,0.5
1,1421,1593,tail,break_even,2922.26,0.5
2,1605,1606,entry,next_open,2899.1,1.0
2,1605,1635,partial,take_profit,2969.38,0.5
2,1605,1637,tail,opposite_signal_close,2979.87,0.5
3,1637,1638,entry,next_open,2979.87,1.0
3,1637,1788,partial,take_profit,2904.38,0.5
3,1637,2492,tail,break_even,2979.87,0.5
4,2493,2494,entry,next_open,2983.0,1.0
4,2493,3248,partial,take_profit,2959.11,0.5
4,2493,3265,tail,break_even,2983.0,0.5
5,3575,3576,entry,next_open,2993.99,1.0
5,3575,3801,full,initial_stop,3083.8097,1.0
6,3814,3815,entry,next_open,3084.77,1.0
6,3814,3999,partial,take_profit,3086.61,0.5
6,3814,3999,tail,break_even_marketable,3086.61,0.5
7,4703,4704,entry,next_open,3211.95,1.0
7,4703,4948,full,initial_stop,3308.3084999999996,1.0
8,4950,4951,entry,next_open,3292.99,1.0
8,4950,4991,partial,take_profit,3192.85,0.5
8,4950,5034,tail,break_even,3292.99,0.5
9,5035,5036,entry,next_open,3287.13,1.0
9,5035,5180,partial,take_profit,3212.29,0.5
9,5035,5430,tail,opposite_signal_close,3118.66,0.5
10,5430,5431,entry,next_open,3118.65,1.0
10,5430,5657,partial,take_profit,3134.94,0.5
10,5430,5658,tail,break_even,3118.65,0.5
11,5747,5748,entry,next_open,3081.67,1.0
11,5747,5825,partial,take_profit,3132.03,0.5
11,5747,5861,tail,break_even,3081.67,0.5
12,6195,6196,entry,next_open,3080.43,1.0
12,6195,6284,partial,take_profit,3099.44,0.5
12,6195,6570,tail,opposite_signal_close,3163.6,0.5
13,6570,6571,entry,next_open,3163.61,1.0
13,6570,6675,partial,take_profit,3088.76,0.5
13,6570,6968,tail,break_even,3163.61,0.5
14,8814,8815,entry,next_open,3181.76,1.0
14,8814,8911,full,initial_stop,3086.3072,1.0
15,9009,9010,entry,next_open,3004.06,1.0
15,9009,9078,full,initial_stop,2913.9382,1.0
16,9333,9334,entry,next_open,3054.42,1.0
16,9333,9528,partial,take_profit,2984.79,0.5
16,9333,11583,tail,opposite_signal_close,2820.53,0.5
17,11583,11584,entry,next_open,2820.52,1.0
