open_time,open,high,low,close,upper,lower,k,d,signal,rsi,valid,gate,signal_close
2025-12-25 08:25:00+00:00,2919.43,2923.39,2918.3,2922.26,2955.6002677014894,2930.0409322985106,17.557218071722637,16.962124399653415,1,25.66792562034992,True,1,2025-12-25 08:30:00+00:00
2025-12-25 23:45:00+00:00,2896.87,2899.36,2888.52,2899.1,2965.7228943794626,2907.9434056205373,19.62908096901599,17.34906499173214,1,24.82223532187956,True,1,2025-12-25 23:50:00+00:00
2025-12-26 02:25:00+00:00,2983.78,2992.81,2977.35,2979.87,2971.208033322094,2897.629166677907,87.72894139229079,90.25549868898582,-1,83.30601345272814,True,-1,2025-12-26 02:30:00+00:00
2025-12-29 01:45:00+00:00,2976.29,2985.0,2976.29,2983.0,2961.402386629548,2924.547113370452,84.42302717709686,85.34954047291399,-1,72.97516203684657,True,-1,2025-12-29 01:50:00+00:00
2025-12-30 08:15:00+00:00,2987.35,2997.69,2987.35,2990.28,2957.103025510338,2918.601474489662,80.6334910007019,83.85796730170033,-1,86.19620306337208,True,-1,2025-12-30 08:20:00+00:00
2025-12-31 13:25:00+00:00,2994.2,2995.5,2992.58,2992.75,2992.4919461643553,2957.6765538356444,81.20491944888438,85.3341515660262,-1,55.259321723400426,True,0,2025-12-31 13:30:00+00:00
2025-12-31 14:05:00+00:00,3000.71,3027.86,2996.88,3015.81,2994.92996694374,2958.1306330562606,80.16572793615337,81.10474943480084,-1,74.06922229256378,True,-1,2025-12-31 14:10:00+00:00
2026-01-01 19:55:00+00:00,2994.7,2994.79,2992.8,2993.99,2991.2878052848696,2974.1159947151305,83.83566272086911,90.78315988699535,-1,64.70705544191537,True,0,2026-01-01 20:00:00+00:00
2026-01-02 06:30:00+00:00,3022.02,3024.83,3021.61,3021.97,3019.7255003795276,2972.2938996204734,87.64347456982047,88.45070875640488,-1,66.40012851967742,True,0,2026-01-02 06:35:00+00:00
2026-01-02 15:50:00+00:00,3091.95,3092.33,3078.0,3084.77,3076.2552185561253,2980.924781443875,80.86424967407129,89.00690250375753,-1,59.81321821266472,True,0,2026-01-02 15:55:00+00:00
