signal_i,entry_i,exit_i,side,entry_price,initial_risk,initial_stop,exit_price,exit_reason,tp_i,tp_price,partial,gross_r,net_r,tail_price_r,gross_pnl,fees,net_pnl,censored,ambiguous_bar_count,entry_open_beyond_target,same_open_be_approximation,marketable_be_approximation,signal_time,entry_time,exit_time,signal_close,month,hold_hours,rsi,gate_passed
1421,1422,1593,1,2922.26,87.6678,2834.5922,2922.26,break_even,1508.0,2955.93,True,0.1920317379927386,0.1251730395880792,0.0,16.83499999999981,5.861355,10.97364499999981,False,0,False,False,False,2025-12-25T08:25:00+00:00,2025-12-25T08:30:00+00:00,2025-12-25T22:45:00+00:00,2025-12-25T08:30:00+00:00,2025-12,14.333333333333334,25.66792562034992,True
1605,1606,1637,1,2899.1,86.973,2812.127,2979.87,opposite_signal_close,1635.0,2969.38,True,0.8683729433272406,0.8008379037172467,0.9286790153265954,75.52500000000009,5.873724999999999,69.6512750000001,False,0,False,False,False,2025-12-25T23:45:00+00:00,2025-12-25T23:50:00+00:00,2025-12-26T02:25:00+00:00,2025-12-25T23:50:00+00:00,2025-12,2.6666666666666665,24.82223532187956,True
1637,1638,2492,-1,2979.87,89.39609999999999,3069.2661,2979.87,break_even,1788.0,2904.38,True,0.42222199849881475,0.35597755383064694,-0.0,37.74499999999989,5.921995,31.823004999999892,False,0,False,False,False,2025-12-26T02:25:00+00:00,2025-12-26T02:30:00+00:00,2025-12-29T01:40:00+00:00,2025-12-26T02:30:00+00:00,2025-12,71.25,83.30601345272814,True
2493,2494,3265,-1,2983.0,89.49,3072.49,2983.0,break_even,3248.0,2959.11,True,0.13347860096100053,0.06694541289529485,-0.0,11.944999999999936,5.954055,5.990944999999936,False,0,False,False,False,2025-12-29T01:45:00+00:00,2025-12-29T01:50:00+00:00,2025-12-31T18:05:00+00:00,2025-12-29T01:50:00+00:00,2025-12,64.33333333333333,72.97516203684657,True
2859,2860,3471,-1,2990.29,89.7087,3079.9987,2990.29,break_even,3248.0,2959.11,True,0.17378470538531848,0.10729182342403712,-0.0,15.589999999999918,5.96499,9.625009999999918,False,0,False,False,False,2025-12-30T08:15:00+00:00,2025-12-30T08:20:00+00:00,2026-01-01T11:15:00+00:00,2025-12-30T08:20:00+00:00,2025-12,51.0,86.19620306337208,True
3209,3210,3524,-1,2992.75,89.7825,3082.5325,2992.75,break_even,3248.0,2959.11,True,0.18734163116420166,0.12086230612869919,-0.0,16.819999999999936,5.968680000000001,10.851319999999935,False,0,False,False,False,2025-12-31T13:25:00+00:00,2025-12-31T13:30:00+00:00,2026-01-01T15:40:00+00:00,2025-12-31T13:30:00+00:00,2025-12,26.25,55.259321723400426,False
3217,3218,3662,-1,3015.81,90.4743,3106.2843,3015.81,break_even,3248.0,2959.11,True,0.3133486526007928,0.24699533458672693,-0.0,28.34999999999991,6.0032700000000006,22.34672999999991,False,0,False,False,False,2025-12-31T14:05:00+00:00,2025-12-31T14:10:00+00:00,2026-01-02T03:10:00+00:00,2025-12-31T14:10:00+00:00,2025-12,37.083333333333336,74.06922229256378,True
3575,3576,3801,-1,2993.99,89.81969999999998,3083.8097,3083.8097,initial_stop,,,False,-1.0000000000000002,-1.067666666666667,-1.0000000000000002,-89.81970000000001,6.0777997,-95.89749970000001,False,0,False,False,False,2026-01-01T19:55:00+00:00,2026-01-01T20:00:00+00:00,2026-01-02T14:45:00+00:00,2026-01-01T20:00:00+00:00,2026-01,18.833333333333332,64.70705544191537,False
3702,3703,3819,-1,3021.97,90.6591,3112.6290999999997,3112.6290999999997,initial_stop,,,False,-0.9999999999999984,-1.0676666666666652,-0.9999999999999984,-90.65909999999985,6.1345991,-96.79369909999986,False,0,False,False,False,2026-01-02T06:30:00+00:00,2026-01-02T06:35:00+00:00,2026-01-02T16:15:00+00:00,2026-01-02T06:35:00+00:00,2026-01,9.75,66.40012851967742,False
3814,3815,3999,-1,3084.77,92.5431,3177.3131,3086.61,break_even_marketable,3999.0,3086.61,True,-0.01988262766213954,-0.08656917695646836,-0.01988262766213954,-1.8400000000001455,6.171380000000001,-8.011380000000146,False,1,False,False,True,2026-01-02T15:50:00+00:00,2026-01-02T15:55:00+00:00,2026-01-03T07:15:00+00:00,2026-01-02T15:55:00+00:00,2026-01,15.416666666666666,59.81321821266472,False
4703,4704,4948,-1,3211.95,96.35849999999999,3308.3084999999996,3308.3084999999996,initial_stop,,,False,-0.9999999999999982,-1.0676666666666648,-0.9999999999999982,-96.35849999999982,6.5202585,-102.87875849999982,False,0,False,False,False,2026-01-05T17:55:00+00:00,2026-01-05T18:00:00+00:00,2026-01-06T14:20:00+00:00,2026-01-05T18:00:00+00:00,2026-01,20.416666666666668,70.58331459170748,True
4716,4717,4994,-1,3218.03,96.54090000000001,3314.5709,3218.03,break_even,4991.0,3192.85,True,0.13041104858148353,0.06387479296339835,-0.0,12.590000000000146,6.423470000000001,6.166530000000145,False,0,False,False,False,2026-01-05T19:00:00+00:00,2026-01-05T19:05:00+00:00,2026-01-06T18:10:00+00:00,2026-01-05T19:05:00+00:00,2026-01,23.166666666666668,62.29780332935504,False
4947,4948,5031,-1,3286.37,98.5911,3384.9611,3286.37,break_even,4991.0,3192.85,True,0.47428216137156387,0.4080897768662688,-0.0,46.75999999999999,6.52598,40.234019999999994,False,0,False,False,False,2026-01-06T14:15:00+00:00,2026-01-06T14:20:00+00:00,2026-01-06T21:15:00+00:00,2026-01-06T14:20:00+00:00,2026-01,7.0,86.05097645867112,True
4950,4951,5034,-1,3292.99,98.7897,3391.7796999999996,3292.99,break_even,4991.0,3192.85,True,0.5068342144980695,0.4406743820459009,-0.0,50.069999999999936,6.535909999999999,43.534089999999935,False,0,False,False,False,2026-01-06T14:30:00+00:00,2026-01-06T14:35:00+00:00,2026-01-06T21:30:00+00:00,2026-01-06T14:35:00+00:00,2026-01,7.0,76.32785729732015,True
5035,5036,5430,-1,3287.13,98.6139,3385.7439,3118.66,opposite_signal_close,5180.0,3212.29,True,1.2336496173460354,1.1682166002967147,1.7083798531444376,121.6550000000002,6.452605,115.2023950000002,False,0,False,False,False,2026-01-06T21:35:00+00:00,2026-01-06T21:40:00+00:00,2026-01-08T06:30:00+00:00,2026-01-06T21:40:00+00:00,2026-01,32.916666666666664,72.00318085130216,True
