stream,stage,base_risk_usdt,max_level,reset_mode,leverage_cap,initial_balance,final_balance,min_balance,max_balance,profit,return,max_realized_drawdown,n_candidates,n_accepted,n_rejected,ruined,max_requested_level,max_executed_level,max_executed_notional,max_effective_leverage,wins,losses,capped_cycle_resets,ending_level
ETH_3m_OKX,1_levels,10,1,win,10,1000.0,108.21577525101542,108.21577525101542,1000.0,-891.7842247489846,-0.8917842247489846,0.8917842247489846,744,78,666,False,1,1,9678.894736842234,9.761309123926363,13,65,19,1
ETH_3m_OKX,1_levels,10,2,win,10,1000.0,211.26585396374776,211.26585396374776,1000.0,-788.7341460362522,-0.7887341460362522,0.7887341460362522,744,44,700,False,2,2,9678.894736842234,9.791623629571916,5,39,6,2
ETH_3m_OKX,1_levels,10,3,win,10,1000.0,445.3863346977438,445.3863346977438,1000.0,-554.6136653022562,-0.5546136653022562,0.5546136653022562,744,25,719,False,3,3,9678.894736842234,9.678894736842235,3,22,2,3
ETH_3m_OKX,1_levels,10,4,win,10,1000.0,799.6370115926735,799.6370115926735,1000.0,-200.3629884073265,-0.20036298840732647,0.2003629884073265,744,4,740,False,4,3,9678.894736842234,9.678894736842235,0,4,0,4
ETH_3m_OKX,1_levels,10,5,win,10,1000.0,799.6370115926735,799.6370115926735,1000.0,-200.3629884073265,-0.20036298840732647,0.2003629884073265,744,4,740,False,4,3,9678.894736842234,9.678894736842235,0,4,0,4
ETH_3m_OKX,1_levels,10,6,win,10,1000.0,799.6370115926735,799.6370115926735,1000.0,-200.3629884073265,-0.20036298840732647,0.2003629884073265,744,4,740,False,4,3,9678.894736842234,9.678894736842235,0,4,0,4
ETH_3m_OKX,1_levels,10,7,win,10,1000.0,799.6370115926735,799.6370115926735,1000.0,-200.3629884073265,-0.20036298840732647,0.2003629884073265,744,4,740,False,4,3,9678.894736842234,9.678894736842235,0,4,0,4
ETH_3m_OKX,1_levels,10,8,win,10,1000.0,799.6370115926735,799.6370115926735,1000.0,-200.3629884073265,-0.20036298840732647,0.2003629884073265,744,4,740,False,4,3,9678.894736842234,9.678894736842235,0,4,0,4
ETH_3m_OKX,2_reset,10,4,win,10,1000.0,799.6370115926735,799.6370115926735,1000.0,-200.3629884073265,-0.20036298840732647,0.2003629884073265,744,4,740,False,4,3,9678.894736842234,9.678894736842235,0,4,0,4
ETH_3m_OKX,2_reset,10,4,recovery,10,1000.0,799.6370115926735,799.6370115926735,1000.0,-200.3629884073265,-0.20036298840732647,0.2003629884073265,744,4,740,False,4,3,9678.894736842234,9.678894736842235,0,4,0,4
ETH_3m_OKX,3_base_risk,1,4,win,10,1000.0,86.51644049047562,70.2608229190984,1000.0,-913.4835595095244,-0.9134835595095244,0.9297391770809016,744,218,526,False,4,4,8465.664739884838,9.72217835629852,39,179,13,4
ETH_3m_OKX,3_base_risk,2,4,win,10,1000.0,181.40767201690468,181.40767201690468,1000.0,-818.5923279830953,-0.8185923279830953,0.8185923279830953,744,99,645,False,4,4,8465.664739884838,9.589031216728218,14,85,6,4
ETH_3m_OKX,3_base_risk,5,4,win,10,1000.0,447.44728208246914,447.44728208246914,1000.0,-552.5527179175308,-0.5525527179175309,0.5525527179175308,744,32,712,False,4,4,9247.537688442493,9.798141231563786,4,28,2,4
ETH_3m_OKX,3_base_risk,10,4,win,10,1000.0,799.6370115926735,799.6370115926735,1000.0,-200.3629884073265,-0.20036298840732647,0.2003629884073265,744,4,740,False,4,3,9678.894736842234,9.678894736842235,0,4,0,4
ETH_3m_OKX,3_base_risk,20,4,win,10,1000.0,817.6790115926736,817.6790115926736,1000.0,-182.32098840732635,-0.18232098840732636,0.18232098840732636,744,3,741,False,3,2,7352.657657657601,7.6118301404813415,0,3,0,3
