stream,stage,base_risk_usdt,max_level,reset_mode,leverage_cap,initial_balance,final_balance,min_balance,max_balance,profit,return,max_realized_drawdown,n_candidates,n_accepted,n_rejected,ruined,max_requested_level,max_executed_level,max_executed_notional,max_effective_leverage,wins,losses,capped_cycle_resets,ending_level
ETH_3m_OKX,3_base_risk,50,4,win,10,1000.0,814.6595675501164,814.6595675501164,1000.0,-185.34043244988356,-0.18534043244988352,0.18534043244988357,744,2,742,False,2,1,9190.822072072002,9.190822072072002,0,2,0,2
ETH_3m_OKX,4_capacity,20,4,win,3,1000.0,864.251147160379,864.251147160379,1019.7598391874919,-135.748852839621,-0.13574885283962101,0.15249540730199446,744,9,735,False,1,1,2965.4670684459793,2.9132403522408437,1,8,0,1
ETH_3m_OKX,4_capacity,20,4,win,5,1000.0,923.3234502980325,923.3234502980325,1000.0,-76.67654970196747,-0.07667654970196747,0.07667654970196748,744,2,742,False,2,1,4946.5171898356475,4.946517189835648,0,2,0,2
ETH_3m_OKX,4_capacity,20,4,win,10,1000.0,817.6790115926736,817.6790115926736,1000.0,-182.32098840732635,-0.18232098840732636,0.18232098840732636,744,3,741,False,3,2,7352.657657657601,7.6118301404813415,0,3,0,3
ETH_3m_OKX,4_capacity,20,4,win,20,1000.0,544.9473011354172,544.9473011354172,1000.0,-455.0526988645828,-0.45505269886458277,0.45505269886458277,744,5,739,False,4,3,18495.075376884986,19.147004900687485,0,5,0,4
ETH_5m_Binance,1_levels,10,1,win,10,1000.0,85.01657212150347,85.01657212150347,1000.0,-914.9834278784965,-0.9149834278784965,0.9149834278784965,439,82,357,False,1,1,7898.093220339192,9.76077560850309,16,66,21,1
ETH_5m_Binance,1_levels,10,2,win,10,1000.0,146.92314676290857,146.92314676290857,1000.0,-853.0768532370914,-0.8530768532370914,0.8530768532370915,439,53,386,False,2,2,7898.093220339192,9.796343011621415,10,43,7,2
ETH_5m_Binance,1_levels,10,3,win,10,1000.0,307.0034284022898,307.0034284022898,1000.0,-692.9965715977103,-0.6929965715977102,0.6929965715977102,439,39,400,False,3,3,7898.093220339192,9.653811922807568,9,30,2,3
ETH_5m_Binance,1_levels,10,4,win,10,1000.0,435.4240997776012,435.4240997776012,1000.0,-564.5759002223988,-0.5645759002223988,0.5645759002223988,439,25,414,False,4,4,7898.093220339192,9.512816446847236,5,20,0,3
ETH_5m_Binance,1_levels,10,5,win,10,1000.0,435.4240997776012,435.4240997776012,1000.0,-564.5759002223988,-0.5645759002223988,0.5645759002223988,439,25,414,False,4,4,7898.093220339192,9.512816446847236,5,20,0,3
ETH_5m_Binance,1_levels,10,6,win,10,1000.0,435.4240997776012,435.4240997776012,1000.0,-564.5759002223988,-0.5645759002223988,0.5645759002223988,439,25,414,False,4,4,7898.093220339192,9.512816446847236,5,20,0,3
ETH_5m_Binance,1_levels,10,7,win,10,1000.0,435.4240997776012,435.4240997776012,1000.0,-564.5759002223988,-0.5645759002223988,0.5645759002223988,439,25,414,False,4,4,7898.093220339192,9.512816446847236,5,20,0,3
ETH_5m_Binance,1_levels,10,8,win,10,1000.0,435.4240997776012,435.4240997776012,1000.0,-564.5759002223988,-0.5645759002223988,0.5645759002223988,439,25,414,False,4,4,7898.093220339192,9.512816446847236,5,20,0,3
ETH_5m_Binance,2_reset,10,4,win,10,1000.0,435.4240997776012,435.4240997776012,1000.0,-564.5759002223988,-0.5645759002223988,0.5645759002223988,439,25,414,False,4,4,7898.093220339192,9.512816446847236,5,20,0,3
ETH_5m_Binance,2_reset,10,4,recovery,10,1000.0,571.9770880723202,571.9770880723202,1014.9131690829628,-428.02291192767984,-0.4280229119276798,0.43642756297158203,439,15,424,False,4,4,7239.688195991098,9.559520844161076,3,12,0,4
ETH_5m_Binance,3_base_risk,1,4,recovery,10,1000.0,72.67672156430385,70.49781074948908,1000.0,-927.3232784356961,-0.9273232784356962,0.9295021892505109,439,173,266,False,4,4,7812.059701492393,9.75420761721625,29,144,19,4
ETH_5m_Binance,3_base_risk,2,4,recovery,10,1000.0,96.66820591291562,96.66820591291562,1000.0,-903.3317940870844,-0.9033317940870844,0.9033317940870844,439,94,345,False,4,4,8246.292134831663,9.684245362471723,18,76,10,3
ETH_5m_Binance,3_base_risk,5,4,recovery,10,1000.0,341.01812859112556,341.01812859112556,1000.0,-658.9818714088744,-0.6589818714088744,0.6589818714088744,439,46,393,False,4,4,9719.420289855474,9.778142081315652,12,34,3,4
ETH_5m_Binance,3_base_risk,10,4,recovery,10,1000.0,571.9770880723202,571.9770880723202,1014.9131690829628,-428.02291192767984,-0.4280229119276798,0.43642756297158203,439,15,424,False,4,4,7239.688195991098,9.559520844161076,3,12,0,4
ETH_5m_Binance,3_base_risk,20,4,recovery,10,1000.0,654.726826809204,632.9377186610562,1047.295743555146,-345.273173190796,-0.345273173190796,0.39564566880364815,439,13,426,False,3,3,9549.03790087455,9.732807129542595,4,9,0,3
ETH_5m_Binance,3_base_risk,50,4,recovery,10,1000.0,747.2200168231643,747.2200168231643,1068.3941033632439,-252.77998317683569,-0.2527799831768357,0.3006138704145238,439,6,433,False,2,2,9049.610244988873,8.951793226703154,1,5,0,2
ETH_5m_Binance,4_capacity,50,4,recovery,3,1000.0,885.1298026353683,885.1298026353683,1000.0,-114.87019736463174,-0.11487019736463178,0.11487019736463173,439,2,437,False,1,1,2979.906429942437,2.9799064299424374,0,2,0,1
ETH_5m_Binance,4_capacity,50,4,recovery,5,1000.0,799.5134649572749,785.8952723646826,1000.0,-200.4865350427251,-0.20048653504272507,0.21410472763531743,439,5,434,False,1,1,4577.978841870833,4.899078921009671,1,4,0,1
ETH_5m_Binance,4_capacity,50,4,recovery,10,1000.0,747.2200168231643,747.2200168231643,1068.3941033632439,-252.77998317683569,-0.2527799831768357,0.3006138704145238,439,6,433,False,2,2,9049.610244988873,8.951793226703154,1,5,0,2
ETH_5m_Binance,4_capacity,50,4,recovery,20,1000.0,319.1919445791185,319.1919445791185,1001.288688524589,-680.8080554208815,-0.6808080554208815,0.6812188650113967,439,8,431,False,3,3,17190.250696379113,18.603217490961264,2,6,0,3
