symbol,side,ma,candidates,unknown,passed,known_reject,common_ready
ARUSDT,1,sma20,221,0,221,0,221
ARUSDT,1,ema20,221,0,221,0,221
ARUSDT,1,sma60,221,0,210,11,221
ARUSDT,1,ema60,221,0,213,8,221
ARUSDT,1,sma120,221,0,174,47,221
ARUSDT,1,ema120,221,0,174,47,221
BOMEUSDT,-1,none,260,0,260,0,260
BOMEUSDT,-1,sma20,260,0,260,0,260
BOMEUSDT,-1,ema20,260,0,260,0,260
BOMEUSDT,-1,sma60,260,0,254,6,260
BOMEUSDT,-1,ema60,260,0,256,4,260
BOMEUSDT,-1,sma120,260,0,207,53,260
BOMEUSDT,-1,ema120,260,0,229,31,260
BOMEUSDT,1,none,204,0,204,0,204
BOMEUSDT,1,sma20,204,0,204,0,204
BOMEUSDT,1,ema20,204,0,204,0,204
BOMEUSDT,1,sma60,204,0,196,8,204
BOMEUSDT,1,ema60,204,0,196,8,204
BOMEUSDT,1,sma120,204,0,156,48,204
BOMEUSDT,1,ema120,204,0,163,41,204
BTCUSDT,-1,none,275,0,275,0,275
BTCUSDT,-1,sma20,275,0,275,0,275
BTCUSDT,-1,ema20,275,0,275,0,275
BTCUSDT,-1,sma60,275,0,252,23,275
BTCUSDT,-1,ema60,275,0,258,17,275
BTCUSDT,-1,sma120,275,0,188,87,275
BTCUSDT,-1,ema120,275,0,200,75,275
BTCUSDT,1,none,267,0,267,0,267
BTCUSDT,1,sma20,267,0,266,1,267
BTCUSDT,1,ema20,267,0,267,0,267
BTCUSDT,1,sma60,267,0,254,13,267
BTCUSDT,1,ema60,267,0,256,11,267
BTCUSDT,1,sma120,267,0,213,54,267
BTCUSDT,1,ema120,267,0,221,46,267
DASHUSDT,-1,none,249,0,249,0,249
DASHUSDT,-1,sma20,249,0,249,0,249
DASHUSDT,-1,ema20,249,0,249,0,249
DASHUSDT,-1,sma60,249,0,238,11,249
DASHUSDT,-1,ema60,249,0,243,6,249
DASHUSDT,-1,sma120,249,0,200,49,249
DASHUSDT,-1,ema120,249,0,209,40,249
DASHUSDT,1,none,212,0,212,0,212
DASHUSDT,1,sma20,212,0,212,0,212
DASHUSDT,1,ema20,212,0,212,0,212
DASHUSDT,1,sma60,212,0,205,7,212
DASHUSDT,1,ema60,212,0,202,10,212
DASHUSDT,1,sma120,212,0,160,52,212
DASHUSDT,1,ema120,212,0,162,50,212
ENAUSDT,-1,none,221,0,221,0,221
ENAUSDT,-1,sma20,221,0,221,0,221
ENAUSDT,-1,ema20,221,0,221,0,221
ENAUSDT,-1,sma60,221,0,213,8,221
ENAUSDT,-1,ema60,221,0,218,3,221
ENAUSDT,-1,sma120,221,0,186,35,221
ENAUSDT,-1,ema120,221,0,191,30,221
ENAUSDT,1,none,224,0,224,0,224
ENAUSDT,1,sma20,224,0,224,0,224
ENAUSDT,1,ema20,224,0,224,0,224
ENAUSDT,1,sma60,224,0,212,12,224
ENAUSDT,1,ema60,224,0,214,10,224
ENAUSDT,1,sma120,224,0,155,69,224
ENAUSDT,1,ema120,224,0,169,55,224
ETHUSDT,-1,none,281,0,281,0,281
ETHUSDT,-1,sma20,281,0,281,0,281
ETHUSDT,-1,ema20,281,0,281,0,281
ETHUSDT,-1,sma60,281,0,271,10,281
ETHUSDT,-1,ema60,281,0,267,14,281
ETHUSDT,-1,sma120,281,0,207,74,281
ETHUSDT,-1,ema120,281,0,211,70,281
ETHUSDT,1,none,244,0,244,0,244
ETHUSDT,1,sma20,244,0,244,0,244
ETHUSDT,1,ema20,244,0,244,0,244
ETHUSDT,1,sma60,244,0,239,5,244
ETHUSDT,1,ema60,244,0,241,3,244
ETHUSDT,1,sma120,244,0,210,34,244
ETHUSDT,1,ema120,244,0,211,33,244
FILUSDT,-1,none,241,0,241,0,241
FILUSDT,-1,sma20,241,0,241,0,241
FILUSDT,-1,ema20,241,0,241,0,241
FILUSDT,-1,sma60,241,0,234,7,241
FILUSDT,-1,ema60,241,0,237,4,241
FILUSDT,-1,sma120,241,0,183,58,241
FILUSDT,-1,ema120,241,0,202,39,241
FILUSDT,1,none,212,0,212,0,212
FILUSDT,1,sma20,212,0,212,0,212
FILUSDT,1,ema20,212,0,212,0,212
FILUSDT,1,sma60,212,0,207,5,212
FILUSDT,1,ema60,212,0,205,7,212
FILUSDT,1,sma120,212,0,177,35,212
FILUSDT,1,ema120,212,0,183,29,212
HYPEUSDT,-1,none,141,0,141,0,138
HYPEUSDT,-1,sma20,141,0,141,0,138
HYPEUSDT,-1,ema20,141,0,141,0,138
