symbol,timeframe,htf,chart_bars,first,last,base_bars,base_first,v9_candidates,common_candidates,chart_gaps,chart_partial_buckets,real_adapter_trade_parity,baseline_trades,identical_mask_reuses
1000PEPEUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,314298,2023-05-05 16:30:00+00:00,488,488,0,0,True,407,9
AAVEUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,582540,2020-10-16 07:00:00+00:00,427,427,0,0,True,356,9
AEROUSDT,5m,15m,147573,2024-12-04 14:15:00+00:00,2026-04-30 23:55:00+00:00,147573,2024-12-04 14:15:00+00:00,395,389,0,0,True,337,5
API3USDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,440310,2022-02-22 03:30:00+00:00,468,468,0,0,True,394,9
APTUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,371496,2022-10-19 02:00:00+00:00,444,444,0,0,True,376,9
ARBUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,326700,2023-03-23 15:00:00+00:00,439,439,0,0,True,368,9
ARUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,482646,2021-09-28 03:30:00+00:00,456,456,0,0,True,376,8
BOMEUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,223338,2024-03-16 12:30:00+00:00,464,464,0,0,True,398,9
BTCUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,604224,2020-08-02 00:00:00+00:00,542,542,0,0,True,443,8
DASHUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,604224,2020-08-02 00:00:00+00:00,461,461,0,0,True,382,9
ENAUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,218442,2024-04-02 12:30:00+00:00,445,445,0,0,True,376,9
ETHUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,604224,2020-08-02 00:00:00+00:00,525,525,0,0,True,421,9
FILUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,581112,2020-10-16 06:00:00+00:00,453,453,0,0,True,372,9
HYPEUSDT,5m,15m,96642,2025-05-30 10:30:00+00:00,2026-04-30 23:55:00+00:00,96642,2025-05-30 10:30:00+00:00,292,283,0,0,True,237,5
JUPUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,236226,2024-01-31 18:30:00+00:00,475,475,0,0,True,387,9
MUBARAKUSDT,5m,15m,117915,2025-03-17 13:45:00+00:00,2026-04-30 23:55:00+00:00,117915,2025-03-17 13:45:00+00:00,298,289,0,0,True,259,5
NEARUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,581376,2020-10-15 08:00:00+00:00,434,434,0,0,True,358,9
ONEUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,537036,2021-03-18 07:00:00+00:00,393,393,0,0,True,342,8
OPUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,411672,2022-06-01 14:00:00+00:00,440,440,0,0,True,368,9
PENDLEUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,290274,2023-07-28 02:30:00+00:00,456,456,0,0,True,365,9
PIEVERSEUSDT,5m,15m,48246,2025-11-14 11:30:00+00:00,2026-04-30 23:55:00+00:00,48246,2025-11-14 11:30:00+00:00,123,115,0,0,True,97,5
PUMPUSDT,5m,15m,87462,2025-07-01 00:00:00+00:00,2026-04-30 23:55:00+00:00,87462,2025-07-01 00:00:00+00:00,231,222,1,0,True,192,5
SOLUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,590316,2020-09-14 07:00:00+00:00,472,472,0,0,True,376,9
UNIUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,590604,2020-09-18 07:00:00+00:00,437,437,0,0,True,362,9
USELESSUSDT,5m,15m,74445,2025-08-15 12:15:00+00:00,2026-04-30 23:55:00+00:00,74445,2025-08-15 12:15:00+00:00,213,207,0,0,True,168,5
WIFUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,240021,2024-01-18 14:15:00+00:00,452,452,0,0,True,389,9
XTZUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,604224,2020-08-02 00:00:00+00:00,343,343,0,0,True,288,9
ZECUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,602784,2020-08-02 00:00:00+00:00,459,459,0,0,True,380,8
ZENUSDT,5m,15m,173724,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,569868,2020-11-24 07:00:00+00:00,418,418,0,0,True,349,8
