scope,symbol,ma,period,direction,entries,closed,censored,win_rate,net_r,gross_r,mean_net_r,net_bp,mean_net_bp,pf,pf_nominal,event_drawdown_r,realized_10r,random_pairs,random_mean_r,paired_strategy_mean_r,random_excess_r
actual,1000PEPEUSDT,ema120,earlier,both,213,213,0,0.2676056338028169,-71.13347650661119,-35.46136251949723,-0.33395998359911355,-9303.189499484019,-43.67694600696723,0.5813912569553673,0.60678955645486,71.8063304569602,0,213,-0.2597077286762524,-0.33395998359911355,-0.07425225492286114
actual,1000PEPEUSDT,ema120,earlier,long,117,117,0,0.24786324786324787,-46.120182502012476,-26.32986150775445,-0.39418959403429465,-5364.023830114339,-45.84635752234478,0.5247051113650695,0.5958405110219661,46.120182502012476,0,117,-0.2024120808785036,-0.39418959403429465,-0.191777513155791
actual,1000PEPEUSDT,ema120,earlier,short,96,96,0,0.2916666666666667,-25.013294004598713,-9.131501011742788,-0.26055514588123657,-3939.1656693696773,-41.03297572260081,0.6568511892865325,0.6207790580778652,34.45804795550893,0,96,-0.32953679942975883,-0.26055514588123657,0.06898165354852215
actual,1000PEPEUSDT,ema120,later,both,120,120,0,0.21666666666666667,-45.87627719916391,-16.94302189252494,-0.38230230999303255,-4243.561648335785,-35.36301373613154,0.5796099755184068,0.6167822984557564,50.186822653095504,1,120,-0.26022527761391623,-0.38230230999303255,-0.12207703237911631
actual,1000PEPEUSDT,ema120,later,long,51,51,0,0.17647058823529413,-29.19381385775529,-17.242686908706045,-0.5724277227010841,-2083.0014046997626,-40.843164798034564,0.3910737283500684,0.5721291717467443,32.07720703518373,0,51,-0.24139824808739493,-0.5724277227010841,-0.33102947461368926
actual,1000PEPEUSDT,ema120,later,short,69,69,0,0.2463768115942029,-16.68246334140862,0.2996650161811041,-0.24177483103490754,-2160.560243636022,-31.31246729907278,0.7273429701441934,0.6518149126007867,24.503971256891564,1,69,-0.2741409081335189,-0.24177483103490754,0.03236607709861148
actual,1000PEPEUSDT,ema120,full,both,333,333,0,0.24924924924924924,-117.0097537057751,-52.40438441202218,-0.3513806417590844,-13546.751147819803,-40.68093437783724,0.5806946679296072,0.6099754147840206,121.9931531100557,1,333,-0.2598942327979331,-0.3513806417590844,-0.09148640896115127
actual,1000PEPEUSDT,ema120,full,long,168,168,0,0.2261904761904762,-75.31399635976776,-43.57254841646049,-0.44829759737957,-7447.025234814104,-44.32753115960776,0.4805142427687211,0.5894771363655822,78.19738953719619,0,168,-0.2142471673526313,-0.44829759737957,-0.23405043002693862
actual,1000PEPEUSDT,ema120,full,short,165,165,0,0.2727272727272727,-41.69575734600733,-8.83183599556169,-0.2527015596727717,-6099.725913005699,-36.96803583639818,0.6890191642385431,0.6323855811197008,58.962019212400506,1,165,-0.30637124488769485,-0.2527015596727717,0.05366968521492313
actual,1000PEPEUSDT,ema20,earlier,both,251,251,0,0.27091633466135456,-80.94214350044415,-38.967186244644175,-0.3224786593643193,-10527.333386820048,-41.941567278167526,0.5906270835112498,0.6184253936314331,83.01820041375608,0,251,-0.2956670484792013,-0.3224786593643193,-0.02681161088511801
actual,1000PEPEUSDT,ema20,earlier,long,141,141,0,0.2695035460992908,-44.93689266984275,-21.710578798630056,-0.31870136645278546,-5491.629203383111,-38.947724846688736,0.5961646954525824,0.6508660109717371,46.384489422502234,0,141,-0.23621204405106777,-0.31870136645278546,-0.08248932240171762
actual,1000PEPEUSDT,ema20,earlier,short,110,110,0,0.2727272727272727,-36.00525083060141,-17.256607446014108,-0.3273204620963765,-5035.7041834369375,-45.779128940335795,0.583499021682874,0.575400759216756,41.99362715509197,0,110,-0.37187755415526325,-0.3273204620963765,0.04455709205888682
actual,1000PEPEUSDT,ema20,later,both,156,156,0,0.25,-35.93916136893091,1.7603760108913065,-0.2303792395444289,-3246.8281225135916,-20.813000785343533,0.7287923361735312,0.7571794865347266,51.547620391805864,2,156,-0.5242753982353744,-0.2303792395444289,0.29389615869094554
actual,1000PEPEUSDT,ema20,later,long,73,73,0,0.2328767123287671,-12.97322409209824,3.902399760269981,-0.1777153985218937,-447.5623416891183,-6.130990982042716,0.7830198730743199,0.9260544274219301,27.426289640201507,1,73,-0.8635582907022278,-0.1777153985218937,0.6858428921803339
actual,1000PEPEUSDT,ema20,later,short,83,83,0,0.26506024096385544,-22.965937276832666,-2.1420237493786773,-0.2766980394799116,-2799.265780824473,-33.72609374487317,0.6842100937007293,0.6175196323583263,29.358350211970375,1,83,-0.22586996269223844,-0.2766980394799116,-0.05082807678767328
actual,1000PEPEUSDT,ema20,full,both,407,407,0,0.2628992628992629,-116.88130486937506,-37.20681023375287,-0.28717765324170774,-13774.16150933364,-33.843148671581424,0.6460690147833039,0.6637208370148318,133.16261784259902,2,407,-0.3832908876977837,-0.28717765324170774,0.09611323445607581
actual,1000PEPEUSDT,ema20,full,long,214,214,0,0.2570093457943925,-57.91011676194099,-17.808179038360084,-0.2706080222520607,-5939.191545072231,-27.753231519029118,0.6614734487722452,0.7273333807154421,72.36318231004427,1,214,-0.4502133337965569,-0.2706080222520607,0.1796053115444962
actual,1000PEPEUSDT,ema20,full,short,193,193,0,0.2694300518134715,-58.971188107434074,-19.39863119539278,-0.30555019744784495,-7834.969964261411,-40.59569929669125,0.6295136089498428,0.5914736669063879,71.35197736706233,1,193,-0.30908672466598314,-0.30555019744784495,0.00353652721813815
actual,1000PEPEUSDT,ema60,earlier,both,242,242,0,0.2768595041322314,-69.7227830380979,-29.766765028423947,-0.28811067371114835,-9179.589199667429,-37.93218677548524,0.628505391467239,0.65320319426117,72.36134400002926,0,242,-0.31744437443511864,-0.28811067371114835,0.029333700723970336
actual,1000PEPEUSDT,ema60,earlier,long,136,136,0,0.27205882352941174,-38.79613830053874,-16.510157582409832,-0.285265722798079,-4532.120473219848,-33.324415244263584,0.6350777806821747,0.6978180174273875,40.24373505319823,0,136,-0.2739723669112147,-0.285265722798079,-0.01129335588686427
actual,1000PEPEUSDT,ema60,earlier,short,106,106,0,0.2830188679245283,-30.92664473755915,-13.25660744601411,-0.2917607994109354,-4647.4687264475815,-43.84404458912813,0.6199181071857209,0.5948740441988717,36.91502106204971,0,106,-0.37321978031484443,-0.2917607994109354,0.08145898090390913
actual,1000PEPEUSDT,ema60,later,both,149,149,0,0.2483221476510067,-33.53676991344659,2.5782264173522336,-0.22507899270769524,-3064.9821489656747,-20.57034999305822,0.7367708164125375,0.7616278914899517,46.98711686735604,2,149,-0.5514027455793974,-0.22507899270769524,0.3263237528717022
actual,1000PEPEUSDT,ema60,later,long,67,67,0,0.22388059701492538,-11.680631378752292,3.7202501667309082,-0.17433778177242226,-467.8678173335492,-6.983101751247004,0.7906308247922591,0.9185099016352087,23.97558485789006,1,67,-0.9039716537162017,-0.17433778177242226,0.7296338719437794
actual,1000PEPEUSDT,ema60,later,short,82,82,0,0.2682926829268293,-21.8561385346943,-1.142023749378675,-0.26653827481334513,-2597.114331632126,-31.672125995513735,0.6948130324867158,0.6350607451285449,28.248551469832005,1,82,-0.26332814990664266,-0.26653827481334513,-0.0032101249067024665
actual,1000PEPEUSDT,ema60,full,both,391,391,0,0.2659846547314578,-103.2595529515445,-27.188538611071706,-0.2640909282648197,-12244.571348633104,-31.316039254816125,0.6722824376574392,0.6886521183567547,117.94525790442236,2,391,-0.40659986625224787,-0.2640909282648197,0.14250893798742822
actual,1000PEPEUSDT,ema60,full,long,203,203,0,0.2561576354679803,-50.47676967929104,-12.78990741567892,-0.2486540378290199,-4999.988290553397,-24.63048418991821,0.6886131502164482,0.7589134437463083,62.77172315842882,1,203,-0.4819031660044863,-0.2486540378290199,0.23324912817546642
actual,1000PEPEUSDT,ema60,full,short,188,188,0,0.2765957446808511,-52.78278327225345,-14.398631195392785,-0.28075948549070984,-7244.5830580797065,-38.53501626638142,0.6549782755421466,0.6102596573802618,65.16357253188171,1,188,-0.32528832449850115,-0.28075948549070984,0.04452883900779132
actual,1000PEPEUSDT,none,earlier,both,251,251,0,0.27091633466135456,-80.94214350044415,-38.967186244644175,-0.3224786593643193,-10527.333386820048,-41.941567278167526,0.5906270835112498,0.6184253936314331,83.01820041375608,0,251,-0.2956670484792013,-0.3224786593643193,-0.02681161088511801
actual,1000PEPEUSDT,none,earlier,long,141,141,0,0.2695035460992908,-44.93689266984275,-21.710578798630056,-0.31870136645278546,-5491.629203383111,-38.947724846688736,0.5961646954525824,0.6508660109717371,46.384489422502234,0,141,-0.23621204405106777,-0.31870136645278546,-0.08248932240171762
actual,1000PEPEUSDT,none,earlier,short,110,110,0,0.2727272727272727,-36.00525083060141,-17.256607446014108,-0.3273204620963765,-5035.7041834369375,-45.779128940335795,0.583499021682874,0.575400759216756,41.99362715509197,0,110,-0.37187755415526325,-0.3273204620963765,0.04455709205888682
actual,1000PEPEUSDT,none,later,both,156,156,0,0.25,-35.93916136893091,1.7603760108913065,-0.2303792395444289,-3246.8281225135916,-20.813000785343533,0.7287923361735312,0.7571794865347266,51.547620391805864,2,156,-0.5242753982353744,-0.2303792395444289,0.29389615869094554
