window,arm,trades,win_rate_pct,gross_bp,net_bp,pf_currency,pf_unit,matched_trades,coverage_pct,matched_case_bp,random_control_bp,excess_bp,avg_hold_hours,max_gross_trade_pct,min_gross_trade_pct,largest_5_share_of_positive_pnl_pct,return_pct,dd_pct,close_dd_pct,final_equity,fees,profitable_years,nonpositive_equity_seen,exposure_pct,n_raw_signals
development,R1_BE_on,55,14.545454545454545,136.70552137678652,116.66588114544415,2.1338193373261616,2.1882090419850173,53,96.36363636363636,127.28831002101708,-95.31660304518567,222.60491306620278,126.54545454545455,27.09388078061928,-3.009530203540265,86.79734418128739,10.876235998632634,6.672475138969455,6.1912009236743675,554.3811799931632,9.728552184321872,3,False,20.454026922199407,87
development,BE_off,43,25.581395348837212,124.29930413110536,104.26185099532417,1.4002530599120977,1.44422212767633,42,97.67441860465115,114.38151049801712,-141.51031143782038,255.89182193583756,231.8139534883721,25.967417233103102,-3.0095715682090427,80.06530921843445,7.276134597171224,12.683350720788091,12.345071451385447,536.3806729858561,7.7103168568206515,2,False,28.850102669404514,87
development,R1_BE_on_slope,39,20.51282051282051,240.91602974159238,220.84020303568371,3.605074386973312,3.688042969892812,33,84.61538461538461,290.98257231836806,-91.59676012515713,382.5793324435252,156.51282051282053,27.09388078061928,-3.009530203540265,86.77937292245772,15.044494023419652,5.066013788454553,4.723777594210744,575.2224701170983,7.068168415407533,3,False,17.83025325119781,87
development,SMA_comparator,87,13.793103448275861,91.28913485467322,71.28844139130172,1.8229788779066394,1.833546622154389,76,87.35632183908046,81.18320322835412,-61.2443537456891,142.4275569740432,72.45977011494253,24.35682746743372,-3.0113991513365113,67.60941756673017,10.828128209784671,6.520372804940568,6.050934030039193,554.1406410489234,15.445393664244145,3,False,18.788501026694046,196
exposed_replication,R1_BE_on,14,14.285714285714285,366.0212893397426,346.0741991645382,3.8548918009920565,3.901594690629401,14,100.0,346.0741991645382,15.268871007568697,330.80532815696944,98.0,34.82585239741277,-3.000473660566054,100.0,8.093185106647471,4.14547738764834,3.913124797227234,540.4659255332374,2.358787410691445,2,False,12.233676975945016,30
exposed_replication,BE_off,10,40.0,780.6852676344025,761.0315815891988,4.899240468718202,4.963631573899071,10,100.0,761.0315815891988,-56.62793190327553,817.6595134924743,263.6,34.82585239741277,-3.000351357159683,100.0,13.1176433467189,3.577653198950287,2.7775381192404254,565.5882167335945,1.7106630115282695,2,False,22.920962199312715,30
exposed_replication,R1_BE_on_slope,11,18.181818181818183,450.637666484289,430.58069912934286,5.559187530851361,5.641935862235079,11,100.0,430.58069912934286,27.306543183851154,403.27415594549177,100.72727272727273,30.71827617866906,-3.0003759714115557,100.0,7.967434775352067,3.6319965425592717,3.3983992679935384,539.8371738767603,1.8787335374693197,2,False,9.862542955326461,30
exposed_replication,SMA_comparator,33,12.121212121212121,62.545901755082376,42.55401233129772,1.3802675570752694,1.3995666713410375,32,96.96969696969697,53.876290956023865,-110.50842844361783,164.3847193996417,51.39393939393939,25.360714885947957,-3.0005896262256053,100.0,2.2288102560240386,3.697814547728124,3.595824126267392,511.14405128012015,5.483255911738493,1,False,15.532646048109966,75
continuous,R1_BE_on,69,13.043478260869565,170.3132453138603,150.27946324173683,2.4237618323885175,2.4645832740832154,67,97.10144927536231,159.68567062379586,-74.16911598634904,233.85478661014483,122.02898550724638,34.825852397412774,-3.009530203540265,80.06907721619152,18.09296722927911,6.672475138969455,6.191200923674364,590.4648361463956,12.313670483347849,5,False,18.593696471394313,117
continuous,BE_off,53,28.30188679245283,248.1457123392746,228.18066808850807,1.9798265659850844,2.0067560799222255,52,98.11320754716981,238.73729340016746,-125.18677691194638,363.9240703121139,237.81132075471697,34.82585239741277,-3.0095715682090427,58.297953817586645,21.3482353297743,12.683350720788091,12.345071451385447,606.7411766488715,9.545450011571742,4,False,27.372387804042482,117
continuous,R1_BE_on_slope,50,18.0,269.2250338285197,249.13552642382638,3.879759418029488,3.9417758480245526,44,88.0,305.60075657513175,-70.82423001130326,376.42498658643507,146.0,30.71827617866906,-3.009530203540265,79.07907027770109,22.38998117921085,5.066013788454553,4.723777594210744,611.9499058960542,9.206290501122423,5,False,16.032887975334017,117
continuous,SMA_comparator,120,13.333333333333334,83.38474575228575,63.386473399800636,1.6766519056006157,1.6943214904770019,108,90.0,73.09226625877476,-75.84111661914947,148.93338287792426,66.66666666666667,25.360714885947957,-3.0113991513365113,56.4111721502552,13.298276897883788,6.520372804940568,6.050934030039193,566.4913844894189,21.522383556176276,4,False,17.977046933881464,271
