arm,period,timeframe_min,side,original_source_confirmations,folded_market_events,multi_venue_confirmed_events
v7,development,30,-1,15195,11789,3353
v7,development,30,1,15091,11648,3392
v7,development,60,-1,7424,5673,1731
v7,development,60,1,8560,6474,2070
v7,development,240,-1,2430,1542,620
v7,development,240,1,2517,1547,695
v7,validation,30,-1,24491,19060,5299
v7,validation,30,1,25311,19373,5774
v7,validation,60,-1,11749,8899,2693
v7,validation,60,1,12845,9611,3034
v7,validation,240,-1,3099,2004,841
v7,validation,240,1,3881,2422,1096
v8,development,30,-1,13067,10238,2785
v8,development,30,1,13021,10137,2843
v8,development,60,-1,6463,4969,1474
v8,development,60,1,7238,5547,1679
v8,development,240,-1,2239,1434,564
v8,development,240,1,2111,1318,571
v8,validation,30,-1,21207,16613,4481
v8,validation,30,1,21343,16509,4709
v8,validation,60,-1,9895,7612,2155
v8,validation,60,1,10733,8140,2440
v8,validation,240,-1,2764,1824,732
v8,validation,240,1,3214,2039,892
