arm,period,timeframe_min,side,sample,source_signals,market_events,executed,occupied_or_unmapped,censored,closed,wins,win_rate,pf,mean_net_r,realized_10r,realized_10r_rate,mfe_10r
v7,development,30,-1,baseline,15195,11789,12274,2921,2,12272,4251,0.3463983050847458,1.2345790883441454,0.12722381142931857,35,0.002852020860495437,228
v7,development,30,-1,confirmed_event_leaders,3353,3353,2703,650,0,2703,973,0.3599704032556419,1.341526674399484,0.21445361477338484,4,0.0014798372179060304,50
v7,development,30,-1,event_leaders,11789,11789,9571,2218,2,9569,3288,0.34360957257811686,1.2173054197859539,0.1109340268240312,32,0.003344132093217682,184
v7,development,30,-1,multi_venue_confirmed,6731,3353,5406,1325,0,5406,1936,0.35812060673325935,1.3190981624051823,0.19967277689861307,7,0.0012948575656677765,94
v7,development,30,1,baseline,15091,11648,12263,2828,0,12263,3758,0.30645029764331727,1.0457354963205852,0.09964321152990575,108,0.008806980347386447,366
v7,development,30,1,confirmed_event_leaders,3392,3392,2789,603,0,2789,892,0.31982789530297595,1.0496992607911124,0.17364485701773164,22,0.007888131946934385,73
v7,development,30,1,event_leaders,11648,11648,9507,2141,0,9507,2906,0.30566950667928894,1.0470774653492803,0.0868174847749048,89,0.009361523088250763,289
v7,development,30,1,multi_venue_confirmed,6805,3392,5545,1260,0,5545,1744,0.31451758340847613,1.0454320582223637,0.1588541715885785,41,0.00739404869251578,150
v7,development,60,-1,baseline,7424,5673,6055,1369,0,6055,1859,0.30701899256812554,0.8471905460553046,-0.14730765680864674,2,0.00033030553261767135,34
v7,development,60,-1,confirmed_event_leaders,1731,1731,1420,311,0,1420,440,0.30985915492957744,0.8053033960986924,-0.14446604540646196,0,0.0,10
v7,development,60,-1,event_leaders,5673,5673,4641,1032,0,4641,1430,0.3081232492997199,0.8632850850022075,-0.1459611260639203,2,0.00043094160741219563,25
v7,development,60,-1,multi_venue_confirmed,3477,1731,2834,643,0,2834,869,0.3066337332392378,0.7997626241816533,-0.14808894156347135,0,0.0,19
v7,development,60,1,baseline,8560,6474,6758,1802,0,6758,2187,0.32361645457235866,0.9308045037398603,0.043269433740520405,51,0.007546611423498076,159
v7,development,60,1,confirmed_event_leaders,2070,2070,1626,444,0,1626,542,0.3333333333333333,0.9521025796479619,0.10371949772644426,13,0.007995079950799507,34
v7,development,60,1,event_leaders,6474,6474,5126,1348,0,5126,1637,0.3193523214982442,0.9175114021860756,0.019860751920172646,39,0.007608271556769411,126
v7,development,60,1,multi_venue_confirmed,4150,2070,3258,892,0,3258,1092,0.3351749539594843,0.9630853103705634,0.1102690368873021,25,0.007673419275629221,67
v7,development,240,-1,baseline,2430,1542,2027,403,0,2027,476,0.23482979773063642,0.5559891770820345,-0.37587282932915406,0,0.0,1
v7,development,240,-1,confirmed_event_leaders,620,620,516,104,0,516,119,0.23062015503875968,0.5030554333379292,-0.40737445377302844,0,0.0,0
v7,development,240,-1,event_leaders,1542,1542,1296,246,0,1296,306,0.2361111111111111,0.5793154131213121,-0.359522266170709,0,0.0,1
v7,development,240,-1,multi_venue_confirmed,1506,620,1247,259,0,1247,289,0.23175621491579793,0.5098644771484208,-0.40590103146739304,0,0.0,0
v7,development,240,1,baseline,2517,1547,2083,434,0,2083,819,0.3931829092654825,1.7526251761912204,0.5774596148224687,30,0.014402304368698993,102
v7,development,240,1,confirmed_event_leaders,695,695,575,120,0,575,247,0.4295652173913043,2.1537740639041516,0.8343333448184419,12,0.020869565217391306,30
v7,development,240,1,event_leaders,1547,1547,1283,264,0,1283,480,0.37412314886983633,1.5582159776376534,0.4580166800375382,15,0.011691348402182385,66
v7,development,240,1,multi_venue_confirmed,1663,695,1375,288,0,1375,586,0.42618181818181816,2.1169238557054233,0.796330654878287,27,0.019636363636363636,66
v7,validation,30,-1,baseline,24491,19060,20204,4287,217,19987,6024,0.30139590733977084,0.919264112115564,-0.1310573598503411,47,0.0023515284935207883,171
v7,validation,30,-1,confirmed_event_leaders,5299,5299,4434,865,50,4384,1353,0.3086222627737226,0.9291389712299927,-0.08494726025887978,6,0.0013686131386861315,34
v7,validation,30,-1,event_leaders,19060,19060,15749,3311,166,15583,4681,0.300391452223577,0.9289729481887121,-0.1385896726825478,42,0.002695244818070975,134
v7,validation,30,-1,multi_venue_confirmed,10699,5299,8889,1810,101,8788,2696,0.3067819754210287,0.9073141963406295,-0.09469838084792372,11,0.0012517068730086482,71
v7,validation,30,1,baseline,25311,19373,20336,4975,42,20294,5471,0.2695870700699714,0.8508170138126221,-0.1177726182007164,159,0.007834828027988568,489
v7,validation,30,1,confirmed_event_leaders,5774,5774,4620,1154,4,4616,1290,0.27946273830155977,0.8703991801297714,-0.05718027266220675,38,0.008232235701906412,107
v7,validation,30,1,event_leaders,19373,19373,15688,3685,37,15651,4191,0.2677784167145869,0.8464516925011751,-0.13204766375720212,121,0.007731135390709859,380
v7,validation,30,1,multi_venue_confirmed,11675,5774,9268,2407,9,9259,2570,0.2775677718976131,0.8679521136424012,-0.06343489220327406,76,0.008208229830435253,216
v7,validation,60,-1,baseline,11749,8899,9410,2339,111,9299,3216,0.3458436391009786,1.133054007939581,0.03215242028060018,25,0.0026884611248521348,152
