arm,period,timeframe_min,side,sample,sampled,matched,unmatched,mean_net_r_difference,mean_net_return_difference
v7,development,30,-1,multi_venue_confirmed,277,277,0,-0.4044809619949185,-0.011623140977924714
v7,development,30,1,multi_venue_confirmed,268,268,0,-0.33859380606011114,-0.013913295951948809
v7,development,60,-1,multi_venue_confirmed,278,278,0,0.07192659706901922,0.008255927766330187
v7,development,60,1,multi_venue_confirmed,282,282,0,0.214343829980047,0.008780593313122913
v7,development,240,-1,multi_venue_confirmed,400,400,0,-0.2154943533047804,-0.014782110462763485
v7,development,240,1,multi_venue_confirmed,428,425,3,-0.5264148681024482,-0.020611308096018365
v7,validation,30,-1,multi_venue_confirmed,393,391,2,-0.19474356367440757,-0.010520444197761067
v7,validation,30,1,multi_venue_confirmed,413,413,0,0.0996523550564237,0.007563926282077674
v7,validation,60,-1,multi_venue_confirmed,405,405,0,0.1598951602557326,0.0046384109394266345
v7,validation,60,1,multi_venue_confirmed,432,432,0,0.07991167391725025,0.004190312686990328
v7,validation,240,-1,multi_venue_confirmed,532,532,0,-0.052740156734076754,0.004628842422005553
v7,validation,240,1,multi_venue_confirmed,611,601,10,-0.4318886723934939,-0.03550997541217881
v8,development,30,-1,multi_venue_confirmed,268,268,0,-0.3448703937635596,-0.0125294236841334
v8,development,30,1,multi_venue_confirmed,252,252,0,-0.15093489336923724,-0.005697033471034143
v8,development,60,-1,multi_venue_confirmed,271,271,0,-0.014381746847786786,0.003000130790613309
v8,development,60,1,multi_venue_confirmed,276,276,0,0.21578858385579452,0.007579279596586289
v8,development,240,-1,multi_venue_confirmed,383,383,0,-0.19749802547691112,-0.013422824556751166
v8,development,240,1,multi_venue_confirmed,409,404,5,-0.4840130664314513,-0.012199115005091183
v8,validation,30,-1,multi_venue_confirmed,379,377,2,-0.10206761187792839,-0.008916094611278324
v8,validation,30,1,multi_venue_confirmed,403,403,0,0.08969818741486672,0.007119402103822905
v8,validation,60,-1,multi_venue_confirmed,384,384,0,0.22916114756594638,0.015696084030869466
v8,validation,60,1,multi_venue_confirmed,411,411,0,-0.011640949712666222,-0.00226780245099732
v8,validation,240,-1,multi_venue_confirmed,502,502,0,-0.032766585797842473,0.0064932576141234054
v8,validation,240,1,multi_venue_confirmed,585,576,9,-0.3636801226332762,-0.027257212741358477
